
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Stephen Hill*,Georgia Tech,ACC,13,28,820,29.3,5,4,29,7.3,0,32,849,26.5,5,stephen-hill-1
2,Jalen Saunders,Fresno State,WAC,13,50,1065,21.3,12,8,91,11.4,2,58,1156,19.9,14,jalen-saunders-1
3,Junior Hemingway*,Michigan,Big Ten,13,34,699,20.6,4,,,,,34,699,20.6,4,junior-hemingway-1
4,Zack Kauth*,Air Force,MWC,13,31,620,20.0,5,,,,,31,620,20.0,5,zack-kauth-1
5,Donavon Kemp,UTEP,CUSA,12,23,456,19.8,1,,,,,23,456,19.8,1,donavon-kemp-1
6,Patrick Edwards*,Houston,CUSA,14,89,1752,19.7,20,2,6,3.0,0,91,1758,19.3,20,patrick-edwards-1
7,Coby Fleener*,Stanford,Pac-12,13,34,667,19.6,10,,,,,34,667,19.6,10,coby-fleener-1
8,Jordan Matthews*,Vanderbilt,SEC,13,41,778,19.0,5,,,,,41,778,19.0,5,jordan-matthews-1
9,Bernard Reedy*,Toledo,MAC,13,40,758,19.0,9,4,40,10.0,0,44,798,18.1,9,bernard-reedy-1
10,Titus Davis,Central Michigan,MAC,12,40,751,18.8,8,2,13,6.5,0,42,764,18.2,8,titus-davis-1
11,Darryl Surgent*,Louisiana,Sun Belt,13,28,518,18.5,6,3,26,8.7,1,31,544,17.5,7,darryl-surgent-1
12,Gerell Robinson*,Arizona State,Pac-12,13,77,1397,18.1,7,,,,,77,1397,18.1,7,gerell-robinson-1
13,Nelson Rosario*,UCLA,Pac-12,14,64,1161,18.1,5,,,,,64,1161,18.1,5,nelson-rosario-1
14,Stedman Bailey*,West Virginia,Big East,13,72,1279,17.8,12,,,,,72,1279,17.8,12,stedman-bailey-1
15,Taveon Rogers,New Mexico State,WAC,12,59,1048,17.8,9,1,-10,-10.0,0,60,1038,17.3,9,taveon-rogers-1
16,Tommy Streeter,Miami (FL),ACC,12,46,811,17.6,8,,,,,46,811,17.6,8,tommy-streeter-1
17,Jaz Reynolds*,Oklahoma,Big 12,10,41,715,17.4,5,,,,,41,715,17.4,5,jaz-reynolds-1
18,Javone Lawson*,Louisiana,Sun Belt,13,63,1092,17.3,8,3,3,1.0,0,66,1095,16.6,8,javone-lawson-1
19,Rueben Randle*,LSU,SEC,14,53,917,17.3,8,,,,,53,917,17.3,8,rueben-randle-1
20,Christian Green*,Florida State,ACC,13,26,450,17.3,0,2,11,5.5,0,28,461,16.5,0,christian-green-1
21,Tevin Reese*,Baylor,Big 12,13,51,877,17.2,7,5,102,20.4,0,56,979,17.5,7,tevin-reese-1
22,Deon Long,New Mexico,MWC,10,47,809,17.2,4,7,11,1.6,0,54,820,15.2,4,deon-long-1
23,Tim Smith*,Virginia,ACC,13,33,565,17.1,3,,,,,33,565,17.1,3,tim-smith-1
24,Jared Abbrederis*,Wisconsin,Big Ten,14,55,933,17.0,8,11,62,5.6,0,66,995,15.1,8,jared-abbrederis-1
25,Emory Blake*,Auburn,SEC,11,36,613,17.0,5,,,,,36,613,17.0,5,emory-blake-1
26,Marcus Davis*,Virginia Tech,ACC,14,30,510,17.0,5,2,-5,-2.5,0,32,505,15.8,5,marcus-davis-1
27,Marquess Wilson,Washington State,Pac-12,12,82,1388,16.9,12,3,10,3.3,0,85,1398,16.4,12,marquess-wilson-1
28,Jarius Wright*,Arkansas,SEC,12,66,1117,16.9,12,,,,,66,1117,16.9,12,jarius-wright-1
29,Colin Lockett*,San Diego State,MWC,13,58,970,16.7,8,7,96,13.7,0,65,1066,16.4,8,colin-lockett-1
30,B.J. Cunningham*,Michigan State,Big Ten,14,79,1306,16.5,12,3,26,8.7,0,82,1332,16.2,12,bj-cunningham-1
31,T.J. Graham*,North Carolina State,ACC,13,46,757,16.5,7,2,-5,-2.5,0,48,752,15.7,7,tj-graham-1
32,Josh Boyce*,TCU,MWC,13,61,998,16.4,9,1,1,1.0,0,62,999,16.1,9,josh-boyce-1
33,Derek Moye*,Penn State,Big Ten,11,40,654,16.4,3,2,8,4.0,0,42,662,15.8,3,derek-moye-1
34,Terrance Williams*,Baylor,Big 12,13,59,957,16.2,11,,,,,59,957,16.2,11,terrance-williams-2
35,Darius Reynolds*,Iowa State,Big 12,12,43,695,16.2,7,,,,,43,695,16.2,7,darius-reynolds-1
36,Devon Smith*,Penn State,Big Ten,13,25,402,16.1,2,6,2,0.3,0,31,404,13.0,2,devon-smith-1
37,Chris Givens*,Wake Forest,ACC,13,83,1330,16.0,9,14,77,5.5,0,97,1407,14.5,9,chris-givens-2
38,Marvin McNutt*,Iowa,Big Ten,13,82,1315,16.0,12,6,58,9.7,0,88,1373,15.6,12,marvin-mcnutt-1
39,Lavon Brazill*,Ohio,MAC,14,72,1150,16.0,11,5,73,14.6,1,77,1223,15.9,12,lavon-brazill-1
40,Tyler Shoemaker*,Boise State,MWC,13,62,994,16.0,16,1,37,37.0,0,63,1031,16.4,16,tyler-shoemaker-1
41,Martel Moore*,Northern Illinois,MAC,13,47,747,15.9,7,,,,,47,747,15.9,7,martel-moore-1
42,Cobi Hamilton*,Arkansas,SEC,13,34,542,15.9,4,,,,,34,542,15.9,4,cobi-hamilton-1
43,Antavious Wilson*,Marshall,CUSA,12,29,462,15.9,1,,,,,29,462,15.9,1,antavious-wilson-1
44,Taylor Stockemer*,Arkansas State,Sun Belt,13,48,756,15.8,7,,,,,48,756,15.8,7,taylor-stockemer-1
45,Toney Clemons,Colorado,Pac-12,13,43,680,15.8,8,0,0,,0,43,680,15.8,8,toney-clemons-1
46,Devonte Christopher*,Utah,Pac-12,11,42,663,15.8,5,1,0,0.0,0,43,663,15.4,5,devonte-christopher-1
47,Marqise Lee,USC,Pac-12,12,73,1143,15.7,11,5,33,6.6,0,78,1176,15.1,11,marqise-lee-1
48,Bryan Burnham*,Tulsa,CUSA,13,54,850,15.7,9,,,,,54,850,15.7,9,bryan-burnham-1
49,Rashad Greene*,Florida State,ACC,9,38,596,15.7,7,3,44,14.7,0,41,640,15.6,7,rashad-greene-1
50,Alshon Jeffery*,South Carolina,SEC,13,49,762,15.6,8,,,,,49,762,15.6,8,alshon-jeffery-1
51,Rodney Smith*,Florida State,ACC,13,36,561,15.6,4,,,,,36,561,15.6,4,rodney-smith-1
52,Da'Rick Rogers,Tennessee,SEC,12,67,1040,15.5,9,3,10,3.3,0,70,1050,15.0,9,darick-rogers-1
53,Cody Hoffman*,Brigham Young,Ind,13,61,943,15.5,10,1,3,3.0,0,62,946,15.3,10,cody-hoffman-1
