
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
54,Colin Larmond,Boston College,ACC,12,34,528,15.5,3,,,,,34,528,15.5,3,colin-larmond-1
55,Kendall Wright*,Baylor,Big 12,13,108,1663,15.4,14,10,72,7.2,0,118,1735,14.7,14,kendall-wright-1
56,Austin Franklin,New Mexico State,WAC,13,34,524,15.4,3,4,22,5.5,0,38,546,14.4,3,austin-franklin-1
57,Josh Reese,UCF,CUSA,11,30,461,15.4,2,,,,,30,461,15.4,2,josh-reese-1
58,Gavin Escobar*,San Diego State,MWC,13,51,780,15.3,7,,,,,51,780,15.3,7,gavin-escobar-1
59,Kofi Hughes,Indiana,Big Ten,12,35,536,15.3,3,27,162,6.0,0,62,698,11.3,3,kofi-hughes-1
60,Chris Boyd*,Vanderbilt,SEC,13,31,473,15.3,8,2,19,9.5,0,33,492,14.9,8,chris-boyd-1
61,Quinton Patton*,Louisiana Tech,WAC,13,79,1202,15.2,11,10,42,4.2,0,89,1244,14.0,11,quinton-patton-1
62,Todd Lee,New Mexico State,WAC,13,39,592,15.2,3,4,45,11.3,0,43,637,14.8,3,todd-lee-1
63,Stanley Morrison*,Utah State,WAC,13,29,441,15.2,3,14,97,6.9,0,43,538,12.5,3,stanley-morrison-1
64,Lou Greenwood,Colorado State,MWC,11,26,396,15.2,2,6,-3,-0.5,0,32,393,12.3,2,lou-greenwood-1
65,Danny Coale*,Virginia Tech,ACC,14,60,904,15.1,3,4,26,6.5,0,64,930,14.5,3,danny-coale-1
66,Ryan Balentine*,Southern Mississippi,CUSA,14,49,742,15.1,8,,,,,49,742,15.1,8,ryan-balentine-1
67,Aaron Pflugrad*,Arizona State,Pac-12,13,44,665,15.1,5,0,0,,0,44,665,15.1,5,aaron-pflugrad-1
68,Ryan Griffin,Connecticut,Big East,12,33,499,15.1,3,,,,,33,499,15.1,3,ryan-griffin-1
69,Rishard Matthews*,Nevada,WAC,12,91,1364,15.0,8,5,-1,-0.2,0,96,1363,14.2,8,rishard-matthews-1
70,Tavarres King*,Georgia,SEC,14,47,705,15.0,8,2,5,2.5,0,49,710,14.5,8,tavarres-king-1
71,La'Rod King,Kentucky,SEC,12,40,598,15.0,7,,,,,40,598,15.0,7,larod-king-1
72,A.J. Guyton,UCF,CUSA,11,27,404,15.0,1,,,,,27,404,15.0,1,aj-guyton-1
73,Sammy Watkins*,Clemson,ACC,13,82,1219,14.9,12,32,231,7.2,0,114,1450,12.7,12,sammy-watkins-1
74,Da'Jon McKnight,Minnesota,Big Ten,12,51,760,14.9,4,1,0,0.0,0,52,760,14.6,4,dajon-mcknight-1
75,Jermaine Kearse*,Washington,Pac-12,13,47,699,14.9,7,2,13,6.5,1,49,712,14.5,8,jermaine-kearse-1
76,Tracy Moore*,Oklahoma State,Big 12,13,45,672,14.9,4,,,,,45,672,14.9,4,tracy-moore-1
77,Alex Neutz,Buffalo,MAC,9,43,641,14.9,4,,,,,43,641,14.9,4,alex-neutz-1
78,Devin Aguilar*,Washington,Pac-12,13,41,611,14.9,6,3,7,2.3,0,44,618,14.0,6,devin-aguilar-1
79,Travis Benjamin,Miami (FL),ACC,11,41,609,14.9,3,8,19,2.4,0,49,628,12.8,3,travis-benjamin-1
80,Reese Wiggins,East Carolina,CUSA,10,29,432,14.9,3,,,,,29,432,14.9,3,reese-wiggins-1
81,Nathan Palmer*,Northern Illinois,MAC,14,47,695,14.8,7,6,30,5.0,0,53,725,13.7,7,nathan-palmer-1
82,Malcolm Mitchell*,Georgia,SEC,11,45,665,14.8,4,4,38,9.5,0,49,703,14.3,4,malcolm-mitchell-2
83,Justin Brown*,Penn State,Big Ten,13,35,517,14.8,2,1,0,0.0,0,36,517,14.4,2,justin-brown-1
84,Kemonte Bateman,New Mexico State,WAC,13,28,414,14.8,4,1,0,0.0,0,29,414,14.3,4,kemonte-bateman-1
85,Chris Gilbert,Kent State,MAC,11,27,399,14.8,3,1,-1,-1.0,0,28,398,14.2,3,chris-gilbert-2
86,Nick Harwell,Miami (OH),MAC,11,97,1425,14.7,9,4,1,0.3,0,101,1426,14.1,9,nick-harwell-1
87,Kashif Moore,Connecticut,Big East,12,41,604,14.7,5,9,25,2.8,1,50,629,12.6,6,kashif-moore-1
88,Arceto Clark*,Mississippi State,SEC,13,30,442,14.7,4,,,,,30,442,14.7,4,arceto-clark-1
89,Donte Moncrief,Ole Miss,SEC,12,31,454,14.6,4,,,,,31,454,14.6,4,donte-moncrief-1
90,Jeremy Gallon*,Michigan,Big Ten,13,31,453,14.6,3,3,26,8.7,0,34,479,14.1,3,jeremy-gallon-1
91,Nick Toon*,Wisconsin,Big Ten,13,64,926,14.5,10,,,,,64,926,14.5,10,nick-toon-1
92,T.Y. Hilton*,Florida International,Sun Belt,13,72,1038,14.4,7,19,124,6.5,1,91,1162,12.8,8,ty-hilton-1
93,Dan Buckner,Arizona,Pac-12,12,42,606,14.4,2,0,0,,0,42,606,14.4,2,dan-buckner-1
94,Jabari Carr,San Jose State,WAC,12,33,476,14.4,4,,,,,33,476,14.4,4,jabari-carr-1
95,Dominque Sullivan*,Southern Mississippi,CUSA,14,32,461,14.4,2,,,,,32,461,14.4,2,dominque-sullivan-1
96,Kenny Bell*,Nebraska,Big Ten,13,32,461,14.4,3,3,100,33.3,1,35,561,16.0,4,kenny-bell-2
97,Keenan Davis*,Iowa,Big Ten,12,50,713,14.3,4,1,-1,-1.0,0,51,712,14.0,4,keenan-davis-1
98,Johnathan Warzeka*,Air Force,MWC,13,31,442,14.3,4,28,244,8.7,0,59,686,11.6,4,johnathan-warzeka-1
99,Jonathan Warzeka*,Air Force,MWC,13,31,442,14.3,4,28,244,8.7,0,59,686,11.6,4,jonathan-warzeka-1
100,Jordan Leslie,UTEP,CUSA,12,30,430,14.3,2,,,,,30,430,14.3,2,jordan-leslie-1
101,Nick Olds,Eastern Michigan,MAC,12,24,342,14.3,3,,,,,24,342,14.3,3,nick-olds-1
102,A.J. Jenkins*,Illinois,Big Ten,13,90,1276,14.2,8,5,26,5.2,0,95,1302,13.7,8,aj-jenkins-1
103,Darius Johnson*,SMU,CUSA,13,79,1118,14.2,8,1,1,1.0,0,80,1119,14.0,8,darius-johnson-2
104,Royce Pollard,Hawaii,WAC,12,71,1011,14.2,8,,,,,71,1011,14.2,8,royce-pollard-1
105,Willie Carter*,Tulsa,CUSA,11,61,868,14.2,7,13,62,4.8,2,74,930,12.6,9,willie-carter-1
106,Devin Street*,Pitt,Big East,13,53,754,14.2,2,2,25,12.5,0,55,779,14.2,2,devin-street-1
107,Ryan Otten,San Jose State,WAC,11,52,739,14.2,5,,,,,52,739,14.2,5,ryan-otten-1
108,Erik Highsmith*,North Carolina,ACC,12,51,726,14.2,5,7,37,5.3,0,58,763,13.2,5,erik-highsmith-1
109,Paul Richardson,Colorado,Pac-12,9,39,555,14.2,5,2,24,12.0,0,41,579,14.1,5,paul-richardson-1
110,Josh Harper,Fresno State,WAC,11,35,497,14.2,5,1,-2,-2.0,0,36,495,13.8,5,josh-harper-1
111,Justin Johnson*,Houston,CUSA,14,87,1229,14.1,12,,,,,87,1229,14.1,12,justin-johnson-1
112,Dwight Jones*,North Carolina,ACC,13,85,1196,14.1,12,2,11,5.5,0,87,1207,13.9,12,dwight-jones-1
113,Jeremy Ebert*,Northwestern,Big Ten,13,75,1060,14.1,11,4,26,6.5,0,79,1086,13.7,11,jeremy-ebert-1
114,David Blackburn,Central Michigan,MAC,11,34,479,14.1,5,,,,,34,479,14.1,5,david-blackburn-1
115,David Paulson*,Oregon,Pac-12,14,31,438,14.1,6,,,,,31,438,14.1,6,david-paulson-1
116,James Hanna*,Oklahoma,Big 12,13,27,381,14.1,2,,,,,27,381,14.1,2,james-hanna-1
117,Kamar Jorden,Bowling Green State,MAC,12,78,1089,14.0,12,,,,,78,1089,14.0,12,kamar-jorden-1
118,Deonte Welch,South Florida,Big East,12,31,433,14.0,1,,,,,31,433,14.0,1,deonte-welch-1
119,Josh Chichester*,Louisville,Big East,13,28,393,14.0,2,,,,,28,393,14.0,2,josh-chichester-1
120,Anthony Amos,Middle Tennessee State,Sun Belt,11,27,379,14.0,3,,,,,27,379,14.0,3,anthony-amos-1
121,Nickolas Brassell,Ole Miss,SEC,12,24,336,14.0,2,21,133,6.3,0,45,469,10.4,2,nickolas-brassell-1
122,Ryan Broyles*,Oklahoma,Big 12,9,83,1157,13.9,10,1,3,3.0,0,84,1160,13.8,10,ryan-broyles-1
123,Kenny Stills*,Oklahoma,Big 12,11,61,849,13.9,8,1,1,1.0,0,62,850,13.7,8,kenny-stills-1
124,Anthony McClung*,Cincinnati,Big East,13,49,683,13.9,6,1,4,4.0,0,50,687,13.7,6,anthony-mcclung-1
125,Josh Huff*,Oregon,Pac-12,12,31,430,13.9,2,,,,,31,430,13.9,2,josh-huff-1
126,Devon Brown*,West Virginia,Big East,13,29,404,13.9,1,0,0,,0,29,404,13.9,1,devon-brown-1
127,Bert Reed*,Florida State,ACC,12,29,403,13.9,5,1,35,35.0,0,30,438,14.6,5,bert-reed-1
128,Kris Burd*,Virginia,ACC,13,66,913,13.8,3,,,,,66,913,13.8,3,kris-burd-1
129,Jaxon Shipley*,Texas,Big 12,10,44,607,13.8,3,11,39,3.5,0,55,646,11.7,3,jaxon-shipley-1
130,Myles White*,Louisiana Tech,WAC,10,30,414,13.8,3,,,,,30,414,13.8,3,myles-white-2
131,Jordan White*,Western Michigan,MAC,13,140,1911,13.7,17,1,27,27.0,0,141,1938,13.7,17,jordan-white-1
132,Keenan Allen*,California,Pac-12,13,98,1343,13.7,6,9,55,6.1,0,107,1398,13.1,6,keenan-allen-1
133,Conner Vernon,Duke,ACC,12,70,956,13.7,6,3,0,0.0,0,73,956,13.1,6,conner-vernon-1
134,Chris Harper*,Kansas State,Big 12,13,40,547,13.7,5,3,5,1.7,0,43,552,12.8,5,chris-harper-2
135,Evan Rodriguez*,Temple,MAC,13,35,479,13.7,2,,,,,35,479,13.7,2,evan-rodriguez-1
136,Matt Austin*,Utah State,WAC,13,34,465,13.7,6,,,,,34,465,13.7,6,matt-austin-2
137,Der'Rikk Thompson*,SMU,CUSA,13,30,411,13.7,3,,,,,30,411,13.7,3,derrikk-thompson-1
138,Hubert Anyiam*,Oklahoma State,Big 12,7,27,370,13.7,3,1,7,7.0,0,28,377,13.5,3,hubert-anyiam-1
139,Levine Toilolo*,Stanford,Pac-12,13,25,343,13.7,6,,,,,25,343,13.7,6,levine-toilolo-1
140,Ryan Swope*,Texas A&amp;M,Big 12,13,89,1207,13.6,11,7,3,0.4,0,96,1210,12.6,11,ryan-swope-1
141,Deandre Hopkins*,Clemson,ACC,14,72,978,13.6,5,,,,,72,978,13.6,5,deandre-hopkins-1
142,Marvin Jones*,California,Pac-12,13,62,846,13.6,3,5,22,4.4,0,67,868,13.0,3,marvin-jones-1
143,Aaron Dobson*,Marshall,CUSA,13,49,668,13.6,12,1,1,1.0,0,50,669,13.4,12,aaron-dobson-1
144,Keith Sconiers,Akron,MAC,12,47,639,13.6,5,,,,,47,639,13.6,5,keith-sconiers-1
145,Riley Dunlop*,Ohio,MAC,14,43,586,13.6,6,1,8,8.0,0,44,594,13.5,6,riley-dunlop-1
146,Lanear Sampson*,Baylor,Big 12,13,42,572,13.6,3,,,,,42,572,13.6,3,lanear-sampson-1
147,Chad Bumphis*,Mississippi State,SEC,13,25,339,13.6,3,9,28,3.1,0,34,367,10.8,3,chad-bumphis-1
148,Markus Wheaton,Oregon State,Pac-12,12,73,986,13.5,1,25,190,7.6,0,98,1176,12.0,1,markus-wheaton-1
149,Josh Jarboe*,Arkansas State,Sun Belt,13,54,730,13.5,2,,,,,54,730,13.5,2,josh-jarboe-2
150,Mike Davis*,Texas,Big 12,13,45,609,13.5,1,,,,,45,609,13.5,1,mike-davis-2
151,Wilson Van Hooser,Tulane,CUSA,13,36,487,13.5,4,2,-7,-3.5,0,38,480,12.6,4,wilson-van-hooser-1
152,Armauni Johnson,Idaho,WAC,8,23,311,13.5,3,,,,,23,311,13.5,3,armauni-johnson-1
153,Griff Whalen*,Stanford,Pac-12,13,56,749,13.4,4,,,,,56,749,13.4,4,griff-whalen-1
154,Tobias Palmer*,North Carolina State,ACC,12,37,496,13.4,5,,,,,37,496,13.4,5,tobias-palmer-1
155,Allen Hurns,Miami (FL),ACC,12,31,415,13.4,4,,,,,31,415,13.4,4,allen-hurns-1
156,Nick Adams,UAB,CUSA,12,29,390,13.4,1,3,12,4.0,1,32,402,12.6,2,nick-adams-1
157,Antavian Edison*,Purdue,Big Ten,13,44,584,13.3,3,30,124,4.1,2,74,708,9.6,5,antavian-edison-1
158,D.J. Coles*,Virginia Tech,ACC,14,36,480,13.3,3,,,,,36,480,13.3,3,dj-coles-1
159,Ross Apo*,Brigham Young,Ind,13,34,453,13.3,9,1,-11,-11.0,0,35,442,12.6,9,ross-apo-1
160,De'Anthony Thomas*,Oregon,Pac-12,14,46,605,13.2,9,55,595,10.8,7,101,1200,11.9,16,deanthony-thomas-1
161,Isiah Moore,Connecticut,Big East,12,43,566,13.2,0,,,,,43,566,13.2,0,isiah-moore-1
162,Shane Anderson*,Nevada,WAC,10,40,526,13.2,2,9,33,3.7,0,49,559,11.4,2,shane-anderson-1
163,Ace Sanders*,South Carolina,SEC,13,29,383,13.2,2,4,15,3.8,0,33,398,12.1,2,ace-sanders-1
164,Ed Young,Buffalo,MAC,12,27,357,13.2,2,9,22,2.4,0,36,379,10.5,2,ed-young-1
165,Tyshon Goode,Kent State,MAC,12,24,316,13.2,2,2,10,5.0,0,26,326,12.5,2,tyshon-goode-1
166,Eric Thomas,Troy,Sun Belt,12,67,875,13.1,9,,,,,67,875,13.1,9,eric-thomas-2
167,Mike Edwards,UTEP,CUSA,12,50,657,13.1,3,3,17,5.7,0,53,674,12.7,3,mike-edwards-4
168,Austin Seferian-Jenkins*,Washington,Pac-12,13,41,538,13.1,6,,,,,41,538,13.1,6,austin-seferian-jenkins-1
169,Josh Lenz*,Iowa State,Big 12,12,39,510,13.1,2,2,-8,-4.0,0,41,502,12.2,2,josh-lenz-1
170,Jaron Brown*,Clemson,ACC,14,31,406,13.1,4,,,,,31,406,13.1,4,jaron-brown-1
171,James Johnson*,Washington,Pac-12,11,28,366,13.1,4,,,,,28,366,13.1,4,james-johnson-7
172,Trevor Davis,Hawaii,WAC,7,28,366,13.1,3,,,,,28,366,13.1,3,trevor-davis-1
173,Kolby Arendse*,Nevada,WAC,13,26,340,13.1,2,,,,,26,340,13.1,2,kolby-arendse-1
174,Isiah Barton,Washington State,Pac-12,12,49,638,13.0,5,4,8,2.0,0,53,646,12.2,5,isiah-barton-1
175,J.J. Worton,UCF,CUSA,12,41,531,13.0,4,1,0,0.0,0,42,531,12.6,4,jj-worton-1
176,Justyn Shackelford,Tulane,CUSA,13,31,404,13.0,1,1,13,13.0,0,32,417,13.0,1,justyn-shackelford-1
177,David Gru*,Louisiana Tech,WAC,13,26,339,13.0,1,,,,,26,339,13.0,1,david-gru-1
178,Dylan Denso*,San Diego State,MWC,13,49,634,12.9,3,,,,,49,634,12.9,3,dylan-denso-1
179,McKay Jacobson*,Brigham Young,Ind,13,25,323,12.9,1,,,,,25,323,12.9,1,mckay-jacobson-1
180,Devon Wylie,Fresno State,WAC,13,56,716,12.8,1,8,48,6.0,0,64,764,11.9,1,devon-wylie-1
181,Uzoma Nwachukwu*,Texas A&amp;M,Big 12,13,50,639,12.8,2,3,32,10.7,0,53,671,12.7,2,uzoma-nwachukwu-1
182,Orson Charles*,Georgia,SEC,14,45,574,12.8,5,,,,,45,574,12.8,5,orson-charles-1
183,Terrance Wilkerson*,SMU,CUSA,13,44,561,12.8,2,,,,,44,561,12.8,2,terrance-wilkerson-1
184,Marquise Goodwin*,Texas,Big 12,12,33,421,12.8,2,22,220,10.0,0,55,641,11.7,2,marquise-goodwin-1
185,Zach Ertz*,Stanford,Pac-12,10,27,346,12.8,4,,,,,27,346,12.8,4,zach-ertz-1
186,Juron Criner,Arizona,Pac-12,11,75,956,12.7,11,1,0,0.0,0,76,956,12.6,11,juron-criner-1
187,Tyler Eifert*,Notre Dame,Ind,13,63,803,12.7,5,,,,,63,803,12.7,5,tyler-eifert-1
188,Kevin Dorsey,Maryland,ACC,10,45,573,12.7,3,,,,,45,573,12.7,3,kevin-dorsey-1
189,Rodney Stewart,Colorado,Pac-12,11,45,571,12.7,0,189,854,4.5,4,234,1425,6.1,4,rodney-stewart-1
190,Van Chew,Syracuse,Big East,12,37,471,12.7,3,,,,,37,471,12.7,3,van-chew-1
191,Clay Sears*,Tulsa,CUSA,13,37,469,12.7,7,,,,,37,469,12.7,7,clay-sears-1
192,Wes Kemp*,Missouri,Big 12,13,29,369,12.7,5,1,-1,-1.0,0,30,368,12.3,5,wes-kemp-1
193,Mike Scott,Idaho,WAC,11,55,691,12.6,2,,,,,55,691,12.6,2,mike-scott-5
194,Chris Gragg*,Arkansas,SEC,13,41,518,12.6,2,,,,,41,518,12.6,2,chris-gragg-1
195,Mike Shanahan*,Pitt,Big East,13,39,493,12.6,4,,,,,39,493,12.6,4,mike-shanahan-1
196,Mike Willie*,Arizona State,Pac-12,12,36,455,12.6,3,,,,,36,455,12.6,3,mike-willie-1
197,Brandin Cooks,Oregon State,Pac-12,12,31,391,12.6,3,10,41,4.1,0,41,432,10.5,3,brandin-cooks-1
198,Jordan James*,Tulsa,CUSA,12,31,391,12.6,1,,,,,31,391,12.6,1,jordan-james-1
199,Kyle Griswould,Middle Tennessee State,Sun Belt,12,31,390,12.6,1,25,86,3.4,2,56,476,8.5,3,kyle-griswould-1
200,Darius Hanks*,Alabama,SEC,10,26,328,12.6,1,,,,,26,328,12.6,1,darius-hanks-1
201,Justin Blackmon*,Oklahoma State,Big 12,13,122,1522,12.5,18,4,7,1.8,0,126,1529,12.1,18,justin-blackmon-1
202,Chleb Ravenell*,Western Michigan,MAC,12,67,839,12.5,9,1,1,1.0,0,68,840,12.4,9,chleb-ravenell-1
203,Jarrett Boykin*,Virginia Tech,ACC,13,61,761,12.5,5,,,,,61,761,12.5,5,jarrett-boykin-1
204,Lavasier Tuinei*,Oregon,Pac-12,14,48,599,12.5,10,,,,,48,599,12.5,10,lavasier-tuinei-1
205,Vance McDonald,Rice,CUSA,12,43,532,12.4,5,1,13,13.0,0,44,545,12.4,5,vance-mcdonald-1
206,Brelan Chancellor,North Texas,Sun Belt,12,37,457,12.4,3,4,46,11.5,0,41,503,12.3,3,brelan-chancellor-1
207,Jordan Bishop,Oregon State,Pac-12,9,31,384,12.4,1,,,,,31,384,12.4,1,jordan-bishop-1
208,Bobby Ratliff,Washington State,Pac-12,12,28,348,12.4,1,,,,,28,348,12.4,1,bobby-ratliff-1
209,Brandon Rutley,San Jose State,WAC,11,27,336,12.4,0,216,903,4.2,12,243,1239,5.1,12,brandon-rutley-1
210,Dwayne Frampton*,Arkansas State,Sun Belt,13,94,1156,12.3,6,4,28,7.0,1,98,1184,12.1,7,dwayne-frampton-1
211,Alec Lemon,Syracuse,Big East,12,68,834,12.3,6,1,1,1.0,0,69,835,12.1,6,alec-lemon-1
212,Tavarese Maye,Louisiana-Monroe,Sun Belt,12,50,617,12.3,3,9,40,4.4,1,59,657,11.1,4,tavarese-maye-1
213,Sterling Griffin,South Florida,Big East,8,43,530,12.3,3,,,,,43,530,12.3,3,sterling-griffin-1
214,Joseph Fauria*,UCLA,Pac-12,14,39,481,12.3,6,,,,,39,481,12.3,6,joseph-fauria-1
215,Michaelee Harris*,Louisville,Big East,12,37,455,12.3,2,,,,,37,455,12.3,2,michaelee-harris-1
216,Kenny Shaw*,Florida State,ACC,13,34,418,12.3,4,,,,,34,418,12.3,4,kenny-shaw-1
217,Marquelo Suel,Akron,MAC,9,34,417,12.3,4,,,,,34,417,12.3,4,marquelo-suel-1
218,Chris Rainey*,Florida,SEC,12,31,381,12.3,2,171,861,5.0,2,202,1242,6.1,4,chris-rainey-1
219,Tracy Lampley*,Southern Mississippi,CUSA,14,47,574,12.2,4,91,463,5.1,3,138,1037,7.5,7,tracy-lampley-1
220,Kenbrell Thompkins*,Cincinnati,Big East,13,44,536,12.2,2,,,,,44,536,12.2,2,kenbrell-thompkins-1
221,D.J. Woods*,Cincinnati,Big East,13,37,450,12.2,2,4,36,9.0,0,41,486,11.9,2,dj-woods-1
222,Cole Beasley*,SMU,CUSA,12,86,1040,12.1,2,1,2,2.0,1,87,1042,12.0,3,cole-beasley-1
223,Eugene Cooper,Bowling Green State,MAC,11,67,808,12.1,9,8,75,9.4,0,75,883,11.8,9,eugene-cooper-1
224,Joe Adams*,Arkansas,SEC,13,54,652,12.1,3,10,139,13.9,1,64,791,12.4,4,joe-adams-1
225,Alex Torres,Texas Tech,Big 12,11,51,616,12.1,4,,,,,51,616,12.1,4,alex-torres-1
226,Darrin Moore,Texas Tech,Big 12,9,47,571,12.1,8,,,,,47,571,12.1,8,darrin-moore-2
