
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Percy Harvin*,Florida,SEC,11,83,764,9.2,6,59,858,14.5,4,142,1622,11.4,10,percy-harvin-1
2,Felix Jones*,Arkansas,SEC,13,133,1162,8.7,11,16,176,11.0,0,149,1338,9.0,11,felix-jones-1
3,Stafon Johnson*,USC,Pac-10,11,98,673,6.9,5,4,15,3.8,0,102,688,6.7,5,stafon-johnson-1
4,Pat White*,West Virginia,Big East,13,197,1335,6.8,14,,,,,197,1335,6.8,14,pat-white-1
5,Reggie Arnold,Arkansas State,Sun Belt,12,163,1060,6.5,9,4,52,13.0,1,167,1112,6.7,10,reggie-arnold-1
6,Kendall Hunter*,Oklahoma State,Big 12,12,107,696,6.5,4,10,137,13.7,1,117,833,7.1,5,kendall-hunter-1
7,Jeremy Avery*,Boise State,WAC,12,103,672,6.5,8,14,153,10.9,2,117,825,7.1,10,jeremy-avery-1
8,Rashard Mendenhall*,Illinois,Big Ten,13,262,1681,6.4,17,34,318,9.4,2,296,1999,6.8,19,rashard-mendenhall-1
9,Chad Hall*,Air Force,MWC,13,230,1478,6.4,15,50,524,10.5,1,280,2002,7.2,16,chad-hall-1
10,James Johnson,Kansas State,Big 12,12,174,1106,6.4,12,34,220,6.5,0,208,1326,6.4,12,james-johnson-3
11,Jim Ollis*,Air Force,MWC,11,106,682,6.4,6,,,,,106,682,6.4,6,jim-ollis-1
12,Dajuane Collins,Toledo,MAC,12,99,636,6.4,7,11,69,6.3,0,110,705,6.4,7,dajuane-collins-1
13,Jamaal Charles*,Texas,Big 12,13,258,1619,6.3,18,17,199,11.7,0,275,1818,6.6,18,jamaal-charles-1
14,Clifton Smith*,Fresno State,WAC,13,100,625,6.3,5,33,352,10.7,0,133,977,7.3,5,clifton-smith-2
15,Evan Royster*,Penn State,Big Ten,11,82,513,6.3,5,3,18,6.0,0,85,531,6.2,5,evan-royster-1
16,Jonathan Stewart*,Oregon,Pac-10,13,280,1722,6.2,11,22,145,6.6,2,302,1867,6.2,13,jonathan-stewart-1
17,Anthony Alridge,Houston,CUSA,13,259,1597,6.2,14,42,428,10.2,5,301,2025,6.7,19,anthony-alridge-1
18,Michael Desormeaux,Louisiana,Sun Belt,11,188,1141,6.1,7,,,,,188,1141,6.1,7,michael-desormeaux-1
19,Zac Robinson*,Oklahoma State,Big 12,13,140,847,6.1,9,,,,,140,847,6.1,9,zac-robinson-1
20,Eugene Jarvis,Kent State,MAC,12,279,1669,6.0,10,23,306,13.3,3,302,1975,6.5,13,eugene-jarvis-1
21,Chris Johnson*,East Carolina,CUSA,13,236,1423,6.0,17,37,528,14.3,6,273,1951,7.1,23,chris-johnson-1
22,Dan Lefevour*,Central Michigan,MAC,14,188,1122,6.0,19,1,32,32.0,1,189,1154,6.1,20,dan-lefevour-1
23,Ryan Mathews*,Fresno State,WAC,11,145,866,6.0,14,,,,,145,866,6.0,14,ryan-mathews-1
24,Demarco Murray*,Oklahoma,Big 12,11,127,764,6.0,13,14,60,4.3,0,141,824,5.8,13,demarco-murray-1
