
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
55,Kyle Jefferson*,Wisconsin,Big Ten,13,26,412,15.8,2,2,11,5.5,0,28,423,15.1,2,kyle-jefferson-1
56,Isaiah Williams*,Maryland,ACC,13,25,395,15.8,1,,,,,25,395,15.8,1,isaiah-williams-1
57,Anthony Russo,Washington,Pac-10,13,49,766,15.6,5,7,28,4.0,0,56,794,14.2,5,anthony-russo-1
58,Bruce Francis,Temple,MAC,10,47,731,15.6,6,1,-10,-10.0,0,48,721,15.0,6,bruce-francis-1
59,Trae Johnson*,Tulsa,CUSA,14,70,1088,15.5,13,,,,,70,1088,15.5,13,trae-johnson-1
60,David Richmond,San Jose State,WAC,12,55,852,15.5,3,,,,,55,852,15.5,3,david-richmond-1
61,Justin Harper*,Virginia Tech,ACC,14,41,635,15.5,5,,,,,41,635,15.5,5,justin-harper-2
62,Jamayel Smith*,Mississippi State,SEC,13,33,510,15.5,3,2,32,16.0,0,35,542,15.5,3,jamayel-smith-1
63,Darrius Heyward-Bey*,Maryland,ACC,13,51,786,15.4,3,5,107,21.4,1,56,893,15.9,4,darrius-heyward-bey-1
64,Brandon Pettigrew*,Oklahoma State,Big 12,13,35,540,15.4,4,,,,,35,540,15.4,4,brandon-pettigrew-1
65,Jordan Shipley*,Texas,Big 12,13,27,417,15.4,5,4,20,5.0,0,31,437,14.1,5,jordan-shipley-1
66,Jaison Williams*,Oregon,Pac-10,13,55,844,15.3,8,,,,,55,844,15.3,8,jaison-williams-1
67,Mohamed Massaquoi*,Georgia,SEC,13,32,491,15.3,4,1,12,12.0,0,33,503,15.2,4,mohamed-massaquoi-1
68,Joe Webb,UAB,CUSA,11,30,459,15.3,3,67,288,4.3,1,97,747,7.7,4,joe-webb-2
69,Travis Dekker*,Air Force,MWC,12,25,382,15.3,2,,,,,25,382,15.3,2,travis-dekker-1
70,Patrick Carter,Louisville,Big East,11,26,396,15.2,5,,,,,26,396,15.2,5,patrick-carter-2
71,Fred Rouse,UTEP,CUSA,10,25,379,15.2,2,0,0,,0,25,379,15.2,2,fred-rouse-1
72,Dustin Woods,Miami (OH),MAC,13,40,603,15.1,1,1,5,5.0,0,41,608,14.8,1,dustin-woods-1
73,Adarius Bowman*,Oklahoma State,Big 12,11,67,1006,15.0,8,3,9,3.0,0,70,1015,14.5,8,adarius-bowman-1
74,D.J. Hall*,Alabama,SEC,13,67,1005,15.0,6,2,7,3.5,0,69,1012,14.7,6,dj-hall-1
75,Todd Blythe,Iowa State,Big 12,12,52,779,15.0,5,,,,,52,779,15.0,5,todd-blythe-1
76,Carlos Singleton*,Memphis,CUSA,13,51,767,15.0,11,,,,,51,767,15.0,11,carlos-singleton-1
77,Jesse Meyer*,Tulsa,CUSA,14,39,585,15.0,2,,,,,39,585,15.0,2,jesse-meyer-1
78,Eddie Royal*,Virginia Tech,ACC,13,33,496,15.0,4,8,112,14.0,0,41,608,14.8,4,eddie-royal-1
79,Zack Sledge,SMU,CUSA,12,49,729,14.9,10,,,,,49,729,14.9,10,zack-sledge-1
80,Harvey Unga*,Brigham Young,MWC,13,44,655,14.9,4,244,1227,5.0,13,288,1882,6.5,17,harvey-unga-1
81,Mardy Gilyard*,Cincinnati,Big East,13,36,536,14.9,3,,,,,36,536,14.9,3,mardy-gilyard-1
82,Marshwan Gilyard*,Cincinnati,Big East,13,36,536,14.9,3,0,0,,0,36,536,14.9,3,marshwan-gilyard-1
83,Cornelius Ingram*,Florida,SEC,13,34,508,14.9,7,,,,,34,508,14.9,7,cornelius-ingram-1
84,Brian King,Tulane,CUSA,12,30,446,14.9,2,,,,,30,446,14.9,2,brian-king-1
85,Charles Clay*,Tulsa,CUSA,14,69,1024,14.8,7,57,304,5.3,1,126,1328,10.5,8,charles-clay-1
86,Louis Murphy*,Florida,SEC,13,37,548,14.8,5,1,12,12.0,0,38,560,14.7,5,louis-murphy-1
87,Max Komar,Idaho,WAC,11,30,445,14.8,4,5,58,11.6,0,35,503,14.4,4,max-komar-1
88,Jeremy Trimble,Army,Ind,12,62,912,14.7,7,3,9,3.0,0,65,921,14.2,7,jeremy-trimble-1
89,Jamar Bryant*,East Carolina,CUSA,13,48,704,14.7,6,,,,,48,704,14.7,6,jamar-bryant-1
90,Robert Jordan*,California,Pac-10,13,47,689,14.7,3,1,4,4.0,0,48,693,14.4,3,robert-jordan-1
91,Kim Thompson,Northwestern,Big Ten,12,46,678,14.7,3,,,,,46,678,14.7,3,kim-thompson-1
92,Darius Passmore,Marshall,CUSA,11,45,660,14.7,5,8,56,7.0,0,53,716,13.5,5,darius-passmore-1
93,Lagregory Sapp,Louisiana-Monroe,Sun Belt,12,33,486,14.7,3,1,5,5.0,0,34,491,14.4,3,lagregory-sapp-1
94,Michael Crabtree*,Texas Tech,Big 12,13,134,1962,14.6,22,,,,,134,1962,14.6,22,michael-crabtree-1
95,Donald Bowens,North Carolina State,ACC,12,41,598,14.6,3,,,,,41,598,14.6,3,donald-bowens-1
96,Johnny Walker,Colorado State,MWC,12,36,525,14.6,2,1,7,7.0,0,37,532,14.4,2,johnny-walker-1
97,Andrew Mooney,Ohio,MAC,12,34,498,14.6,9,0,0,,0,34,498,14.6,9,andrew-mooney-1
98,Lee Smith,Idaho,WAC,12,25,365,14.6,1,1,5,5.0,0,26,370,14.2,1,lee-smith-1
99,Rich Gunnell*,Boston College,ACC,14,64,931,14.5,7,,,,,64,931,14.5,7,rich-gunnell-1
100,Percy Harvin*,Florida,SEC,11,59,858,14.5,4,83,764,9.2,6,142,1622,11.4,10,percy-harvin-1
101,William Franklin*,Missouri,Big 12,14,49,709,14.5,4,,,,,49,709,14.5,4,william-franklin-1
102,Marlon Moore*,Fresno State,WAC,13,48,694,14.5,5,5,31,6.2,1,53,725,13.7,6,marlon-moore-2
103,Titus Young*,Boise State,WAC,13,44,639,14.5,5,13,66,5.1,2,57,705,12.4,7,titus-young-1
104,Dez Bryant*,Oklahoma State,Big 12,12,43,622,14.5,6,2,16,8.0,0,45,638,14.2,6,dez-bryant-1
105,Darrell Blackman,North Carolina State,ACC,12,41,593,14.5,1,3,12,4.0,0,44,605,13.8,1,darrell-blackman-1
106,Branden Ledbetter,Western Michigan,MAC,12,38,550,14.5,6,,,,,38,550,14.5,6,branden-ledbetter-1
107,Carlton Mitchell*,South Florida,Big East,13,37,537,14.5,4,4,17,4.3,0,41,554,13.5,4,carlton-mitchell-1
108,Manuel Johnson*,Oklahoma,Big 12,14,31,448,14.5,4,,,,,31,448,14.5,4,manuel-johnson-1
109,Duke Calhoun*,Memphis,CUSA,12,62,890,14.4,5,,,,,62,890,14.4,5,duke-calhoun-1
110,Torris Magee*,Southern Mississippi,CUSA,13,44,632,14.4,3,6,84,14.0,0,50,716,14.3,3,torris-magee-1
111,Nate Swift,Nebraska,Big 12,12,36,520,14.4,3,,,,,36,520,14.4,3,nate-swift-1
112,Josh Allen,Troy,Sun Belt,12,32,462,14.4,1,,,,,32,462,14.4,1,josh-allen-2
113,Brooks Foster,North Carolina,ACC,11,29,417,14.4,2,2,2,1.0,0,31,419,13.5,2,brooks-foster-1
114,Chido Nwokocha,Ohio,MAC,12,25,361,14.4,1,,,,,25,361,14.4,1,chido-nwokocha-1
115,Maurice Purify,Nebraska,Big 12,11,57,814,14.3,9,2,15,7.5,0,59,829,14.1,9,maurice-purify-1
116,Chris Johnson*,East Carolina,CUSA,13,37,528,14.3,6,236,1423,6.0,17,273,1951,7.1,23,chris-johnson-1
117,Mario Urrutia,Louisville,Big East,10,35,501,14.3,3,,,,,35,501,14.3,3,mario-urrutia-1
118,Armand Robinson,Miami (OH),MAC,13,33,471,14.3,3,,,,,33,471,14.3,3,armand-robinson-1
119,James Hardy*,Indiana,Big Ten,13,79,1125,14.2,16,,,,,79,1125,14.2,16,james-hardy-1
120,Darius Hill*,Ball State,MAC,13,65,926,14.2,11,,,,,65,926,14.2,11,darius-hill-1
121,Fred Davis*,USC,Pac-10,13,62,881,14.2,8,,,,,62,881,14.2,8,fred-davis-1
122,Brandon Robinson*,Boston College,ACC,13,56,793,14.2,5,,,,,56,793,14.2,5,brandon-robinson-1
123,Luke Roberts,Colorado State,MWC,12,30,426,14.2,3,,,,,30,426,14.2,3,luke-roberts-1
124,Kenneth Buckley,New Mexico State,WAC,11,29,413,14.2,5,1,4,4.0,0,30,417,13.9,5,kenneth-buckley-1
125,Chris Wright*,Bowling Green State,MAC,12,26,370,14.2,3,,,,,26,370,14.2,3,chris-wright-2
126,C.J. Hawthorne*,Hawaii,WAC,13,61,859,14.1,6,,,,,61,859,14.1,6,cj-hawthorne-1
127,Anthony Brown*,Oregon State,Pac-10,13,39,550,14.1,1,2,0,0.0,0,41,550,13.4,1,anthony-brown-2
128,Taylor Price,Ohio,MAC,12,33,464,14.1,4,6,23,3.8,0,39,487,12.5,4,taylor-price-1
129,Dante Love*,Ball State,MAC,13,100,1398,14.0,10,35,192,5.5,1,135,1590,11.8,11,dante-love-1
130,Mike Williams,Syracuse,Big East,12,60,837,14.0,10,,,,,60,837,14.0,10,mike-williams-4
131,De'Cody Fagg*,Florida State,ACC,13,54,758,14.0,5,,,,,54,758,14.0,5,decody-fagg-1
132,Lorne Sam,UTEP,CUSA,10,42,589,14.0,1,60,339,5.7,3,102,928,9.1,4,lorne-sam-1
133,Jermaine Gresham*,Oklahoma,Big 12,14,37,518,14.0,11,,,,,37,518,14.0,11,jermaine-gresham-1
134,Thomas White,Baylor,Big 12,9,34,475,14.0,8,3,17,5.7,0,37,492,13.3,8,thomas-white-1
135,Jared Cook,South Carolina,SEC,12,30,421,14.0,3,,,,,30,421,14.0,3,jared-cook-2
136,Joe Cowan*,UCLA,Pac-10,13,29,405,14.0,3,4,25,6.3,0,33,430,13.0,3,joe-cowan-1
137,Kevin Jurovich,San Jose State,WAC,12,85,1183,13.9,9,12,56,4.7,0,97,1239,12.8,9,kevin-jurovich-1
138,Marcus Barnett*,Cincinnati,Big East,13,62,862,13.9,13,6,24,4.0,0,68,886,13.0,13,marcus-barnett-1
139,Dennis Pitta*,Brigham Young,MWC,13,59,813,13.8,5,,,,,59,813,13.8,5,dennis-pitta-1
140,Chris Williams,New Mexico State,WAC,8,56,772,13.8,11,10,35,3.5,0,66,807,12.2,11,chris-williams-2
141,Shay Hodge,Ole Miss,SEC,12,43,593,13.8,6,,,,,43,593,13.8,6,shay-hodge-1
142,Oderick Turner,Pitt,Big East,12,36,496,13.8,5,,,,,36,496,13.8,5,oderick-turner-1
143,Taron Henry,Middle Tennessee State,Sun Belt,12,31,427,13.8,5,,,,,31,427,13.8,5,taron-henry-1
144,Mark Root*,Air Force,MWC,13,28,385,13.8,2,,,,,28,385,13.8,2,mark-root-1
145,Lucas Taylor*,Tennessee,SEC,13,73,1000,13.7,5,1,1,1.0,0,74,1001,13.5,5,lucas-taylor-1
146,Jeff Moturi,UTEP,CUSA,12,65,891,13.7,13,1,9,9.0,0,66,900,13.6,13,jeff-moturi-1
147,Rudy Burgess*,Arizona State,Pac-10,12,34,467,13.7,3,6,42,7.0,0,40,509,12.7,3,rudy-burgess-1
148,Shawn Nelson*,Southern Mississippi,CUSA,13,33,451,13.7,5,,,,,33,451,13.7,5,shawn-nelson-1
149,Jabari Arthur,Akron,MAC,12,86,1171,13.6,10,4,3,0.8,0,90,1174,13.0,10,jabari-arthur-1
150,Travis Brown*,New Mexico,MWC,13,76,1031,13.6,6,6,34,5.7,1,82,1065,13.0,7,travis-brown-2
151,Eric Decker,Minnesota,Big Ten,12,67,909,13.6,9,3,22,7.3,0,70,931,13.3,9,eric-decker-1
152,Chris McGaha*,Arizona State,Pac-10,13,61,830,13.6,1,3,1,0.3,0,64,831,13.0,1,chris-mcgaha-1
153,Andre Caldwell*,Florida,SEC,11,56,761,13.6,7,12,58,4.8,1,68,819,12.0,8,andre-caldwell-1
154,Rodgeriqus Smith*,Auburn,SEC,13,52,705,13.6,5,,,,,52,705,13.6,5,rodgeriqus-smith-1
155,Deon Butler*,Penn State,Big Ten,13,47,633,13.5,4,1,-11,-11.0,0,48,622,13.0,4,deon-butler-1
156,Tony Burks*,Mississippi State,SEC,13,33,444,13.5,3,3,28,9.3,0,36,472,13.1,3,tony-burks-1
157,D.J. Hernandez*,Connecticut,Big East,13,30,404,13.5,2,3,22,7.3,0,33,426,12.9,2,dj-hernandez-1
158,Sam Dibrell,North Texas,Sun Belt,10,28,377,13.5,2,,,,,28,377,13.5,2,sam-dibrell-1
159,Steve Slaton*,West Virginia,Big East,13,26,350,13.5,1,211,1051,5.0,17,237,1401,5.9,18,steve-slaton-1
160,Jarett Dillard,Rice,CUSA,12,79,1057,13.4,14,,,,,79,1057,13.4,14,jarett-dillard-1
161,Juaquin Iglesias*,Oklahoma,Big 12,14,68,907,13.3,5,8,87,10.9,1,76,994,13.1,6,juaquin-iglesias-1
162,Brian Hartline*,Ohio State,Big Ten,13,52,694,13.3,6,6,46,7.7,0,58,740,12.8,6,brian-hartline-1
163,Brad Taylor,Baylor,Big 12,11,35,465,13.3,2,,,,,35,465,13.3,2,brad-taylor-1
164,Scott Long,Louisville,Big East,12,27,358,13.3,0,,,,,27,358,13.3,0,scott-long-1
165,Eugene Jarvis,Kent State,MAC,12,23,306,13.3,3,279,1669,6.0,10,302,1975,6.5,13,eugene-jarvis-1
166,Shawn Lauzon,Marshall,CUSA,11,23,305,13.3,2,,,,,23,305,13.3,2,shawn-lauzon-1
167,Jordy Nelson,Kansas State,Big 12,12,122,1606,13.2,11,3,-7,-2.3,0,125,1599,12.8,11,jordy-nelson-1
168,Jeremy Maclin*,Missouri,Big 12,14,80,1055,13.2,9,51,375,7.4,4,131,1430,10.9,13,jeremy-maclin-1
169,Adrian Arrington*,Michigan,Big Ten,13,67,882,13.2,8,,,,,67,882,13.2,8,adrian-arrington-1
170,Curtis Hamilton,Western Kentucky,Ind,12,66,873,13.2,4,13,102,7.8,0,79,975,12.3,4,curtis-hamilton-1
171,Dexton Fields*,Kansas,Big 12,13,63,834,13.2,6,3,20,6.7,0,66,854,12.9,6,dexton-fields-1
172,Rocky Ross*,UCF,CUSA,14,50,658,13.2,2,,,,,50,658,13.2,2,rocky-ross-1
173,Ross Lane,Northwestern,Big Ten,12,49,649,13.2,7,,,,,49,649,13.2,7,ross-lane-1
174,Terence Jeffers*,Connecticut,Big East,13,44,582,13.2,5,2,9,4.5,0,46,591,12.8,5,terence-jeffers-1
175,Desmond Gee,Middle Tennessee State,Sun Belt,11,29,382,13.2,4,39,162,4.2,0,68,544,8.0,4,desmond-gee-1
176,Travis Beckum*,Wisconsin,Big Ten,13,75,982,13.1,6,4,6,1.5,0,79,988,12.5,6,travis-beckum-1
177,Jason Harmon,Florida Atlantic,Sun Belt,13,63,825,13.1,5,,,,,63,825,13.1,5,jason-harmon-1
178,Brandon Lafell*,LSU,SEC,14,50,656,13.1,4,1,18,18.0,1,51,674,13.2,5,brandon-lafell-1
179,Edward Britton*,Texas Tech,Big 12,13,48,631,13.1,4,9,52,5.8,0,57,683,12.0,4,edward-britton-1
180,David Gettis,Baylor,Big 12,12,31,407,13.1,0,,,,,31,407,13.1,0,david-gettis-1
181,Dustin Keller*,Purdue,Big Ten,13,68,881,13.0,7,0,0,,1,68,881,13.0,8,dustin-keller-1
182,Ryan Grice-Mullen*,Hawaii,WAC,13,106,1372,12.9,13,2,2,1.0,0,108,1374,12.7,13,ryan-grice-mullen-1
183,Hakeem Nicks,North Carolina,ACC,12,74,958,12.9,5,1,-1,-1.0,0,75,957,12.8,5,hakeem-nicks-1
184,Derek Dubois,New Mexico State,WAC,9,55,708,12.9,3,,,,,55,708,12.9,3,derek-dubois-1
185,Ervin Dickerson*,TCU,MWC,13,40,514,12.9,4,12,44,3.7,0,52,558,10.7,4,ervin-dickerson-1
186,James Cleveland,Iowa,Big Ten,12,36,464,12.9,0,2,-11,-5.5,0,38,453,11.9,0,james-cleveland-1
187,Terrence Nunn,Nebraska,Big 12,12,35,452,12.9,1,3,-10,-3.3,0,38,442,11.6,1,terrence-nunn-1
188,Connor Barwin*,Cincinnati,Big East,12,31,399,12.9,2,,,,,31,399,12.9,2,connor-barwin-1
189,Marques Parks*,Bowling Green State,MAC,13,28,360,12.9,5,,,,,28,360,12.9,5,marques-parks-1
190,Dominique Johnson*,UCLA,Pac-10,13,25,322,12.9,4,,,,,25,322,12.9,4,dominique-johnson-1
191,Jason Rivers*,Hawaii,WAC,12,92,1174,12.8,13,,,,,92,1174,12.8,13,jason-rivers-1
192,Dominick Goodman*,Cincinnati,Big East,13,68,869,12.8,8,3,7,2.3,0,71,876,12.3,8,dominick-goodman-1
193,Preston Parker*,Florida State,ACC,13,62,791,12.8,3,52,270,5.2,2,114,1061,9.3,5,preston-parker-1
194,Jermichael Finley*,Texas,Big 12,13,45,575,12.8,2,0,0,,1,45,575,12.8,3,jermichael-finley-1
195,Sam Shields,Miami (FL),ACC,10,27,346,12.8,3,,,,,27,346,12.8,3,sam-shields-1
196,Jeremy Childs*,Boise State,WAC,12,82,1045,12.7,9,,,,,82,1045,12.7,9,jeremy-childs-1
197,James Casey,Rice,CUSA,12,46,585,12.7,4,45,121,2.7,5,91,706,7.8,9,james-casey-1
198,Derrell Johnson-Koulianos,Iowa,Big Ten,12,38,482,12.7,2,2,19,9.5,0,40,501,12.5,2,derrell-johnson-koulianos-1
199,John Tereshinski*,Wake Forest,ACC,13,28,355,12.7,2,,,,,28,355,12.7,2,john-tereshinski-1
200,Bryan Anderson*,Central Michigan,MAC,14,90,1132,12.6,10,,,,,90,1132,12.6,10,bryan-anderson-1
201,Kenny McKinley,South Carolina,SEC,12,77,968,12.6,9,5,15,3.0,0,82,983,12.0,9,kenny-mckinley-1
202,Mark Bradford,Stanford,Pac-10,12,51,642,12.6,3,,,,,51,642,12.6,3,mark-bradford-1
203,Marcus Stone,North Carolina State,ACC,12,36,452,12.6,1,,,,,36,452,12.6,1,marcus-stone-1
204,Dusty Sprague*,Colorado,Big 12,13,29,366,12.6,3,12,82,6.8,1,41,448,10.9,4,dusty-sprague-1
205,Donald Massey*,TCU,MWC,12,29,364,12.6,0,10,45,4.5,0,39,409,10.5,0,donald-massey-1
206,Mike Thomas,Arizona,Pac-10,12,83,1038,12.5,11,10,173,17.3,1,93,1211,13.0,12,mike-thomas-9
207,Arrelious Benn*,Illinois,Big Ten,13,54,676,12.5,2,32,158,4.9,0,86,834,9.7,2,arrelious-benn-1
208,Eddie Williams,Idaho,WAC,12,29,363,12.5,3,9,81,9.0,3,38,444,11.7,6,eddie-williams-1
209,Walter Bryant*,TCU,MWC,12,27,337,12.5,1,,,,,27,337,12.5,1,walter-bryant-1
210,Ian Johnson*,Boise State,WAC,11,25,312,12.5,1,207,1041,5.0,16,232,1353,5.8,17,ian-johnson-1
211,Marcus Smith*,New Mexico,MWC,13,91,1125,12.4,4,10,31,3.1,1,101,1156,11.4,5,marcus-smith-4
212,Cody Slate,Marshall,CUSA,12,66,818,12.4,5,2,5,2.5,0,68,823,12.1,5,cody-slate-1
213,Gary Barnidge,Louisville,Big East,12,53,655,12.4,7,,,,,53,655,12.4,7,gary-barnidge-1
214,George Smith,Vanderbilt,SEC,12,32,397,12.4,3,,,,,32,397,12.4,3,george-smith-1
215,Robby Parris,Notre Dame,Ind,12,29,361,12.4,1,,,,,29,361,12.4,1,robby-parris-1
216,Kyle Williams*,Arizona State,Pac-10,13,29,360,12.4,6,6,15,2.5,0,35,375,10.7,6,kyle-williams-1
217,Aaron Straiten,UNLV,MWC,8,23,285,12.4,0,,,,,23,285,12.4,0,aaron-straiten-1
218,Aaron Kelly*,Clemson,ACC,13,88,1081,12.3,11,,,,,88,1081,12.3,11,aaron-kelly-1
219,Bear Pascoe*,Fresno State,WAC,13,45,553,12.3,4,,,,,45,553,12.3,4,bear-pascoe-1
220,Brandon Thompkins,Arkansas State,Sun Belt,12,41,503,12.3,1,6,-4,-0.7,1,47,499,10.6,2,brandon-thompkins-1
221,Evan Moore,Stanford,Pac-10,12,39,481,12.3,1,,,,,39,481,12.3,1,evan-moore-1
222,Jason Chery,Louisiana,Sun Belt,12,36,442,12.3,2,21,209,10.0,2,57,651,11.4,4,jason-chery-1
223,Chris Johnson*,Southern Mississippi,CUSA,8,34,418,12.3,3,5,55,11.0,2,39,473,12.1,5,chris-johnson-19
224,Chris Johnson*,Southern Mississippi,CUSA,8,34,418,12.3,3,5,55,11.0,2,39,473,12.1,5,chris-johnson-7
225,Hoost Marsh,Wyoming,MWC,12,30,370,12.3,2,11,108,9.8,1,41,478,11.7,3,hoost-marsh-1
226,Naaman Roosevelt,Buffalo,MAC,12,63,766,12.2,4,6,67,11.2,0,69,833,12.1,4,naaman-roosevelt-1
227,Nick Moore,Toledo,MAC,10,60,731,12.2,8,,,,,60,731,12.2,8,nick-moore-3
