
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Brennan Marion*,Tulsa,CUSA,14,39,1244,31.9,11,2,-8,-4.0,0,41,1236,30.1,11,brennan-marion-1
2,Marko Mitchell*,Nevada,WAC,13,53,1129,21.3,8,1,47,47.0,0,54,1176,21.8,8,marko-mitchell-1
3,Eron Riley,Duke,ACC,12,40,830,20.8,9,4,2,0.5,0,44,832,18.9,9,eron-riley-1
4,Darnell Jenkins,Miami (FL),ACC,12,31,619,20.0,2,11,53,4.8,0,42,672,16.0,2,darnell-jenkins-1
5,Kenny Britt*,Rutgers,Big East,13,62,1232,19.9,8,,,,,62,1232,19.9,8,kenny-britt-1
6,Josh Smith*,Colorado,Big 12,11,25,491,19.6,0,13,44,3.4,0,38,535,14.1,0,josh-smith-1
7,Marcel Reece,Washington,Pac-10,13,39,761,19.5,8,3,19,6.3,0,42,780,18.6,8,marcel-reece-1
8,Damon Morton,Colorado State,MWC,12,40,774,19.4,6,10,143,14.3,0,50,917,18.3,6,damon-morton-1
9,Chaz Schilens,San Diego State,MWC,8,35,679,19.4,3,,,,,35,679,19.4,3,chaz-schilens-1
10,Mike McCoy*,Nevada,WAC,13,32,617,19.3,4,1,-2,-2.0,0,33,615,18.6,4,mike-mccoy-1
11,Brandon Tate,North Carolina,ACC,12,25,479,19.2,5,12,131,10.9,1,37,610,16.5,6,brandon-tate-1
12,Marcus Henry*,Kansas,Big 12,13,54,1014,18.8,10,1,23,23.0,0,55,1037,18.9,10,marcus-henry-1
13,Mike Wallace,Ole Miss,SEC,12,38,716,18.8,6,,,,,38,716,18.8,6,mike-wallace-1
14,Rob Gronkowski,Arizona,Pac-10,12,28,525,18.8,6,,,,,28,525,18.8,6,rob-gronkowski-1
15,Taj Smith,Syracuse,Big East,12,44,822,18.7,5,5,16,3.2,0,49,838,17.1,5,taj-smith-1
16,Matt Simon,Northern Illinois,MAC,12,52,969,18.6,5,2,17,8.5,0,54,986,18.3,5,matt-simon-1
17,Kyle Sammons*,Nevada,WAC,13,37,668,18.1,4,,,,,37,668,18.1,4,kyle-sammons-1
18,Kerry Franks*,Texas A&amp;M,Big 12,13,27,488,18.1,1,1,1,1.0,0,28,489,17.5,1,kerry-franks-1
19,Phillip Livas,Louisiana Tech,WAC,12,28,504,18.0,3,10,72,7.2,0,38,576,15.2,3,phillip-livas-1
20,Luke Swan*,Wisconsin,Big Ten,6,25,451,18.0,2,,,,,25,451,18.0,2,luke-swan-1
21,Joe West,UTEP,CUSA,12,41,734,17.9,6,,,,,41,734,17.9,6,joe-west-1
22,James Johnson*,Georgia Tech,ACC,12,25,447,17.9,0,,,,,25,447,17.9,0,james-johnson-1
23,Greg Carr*,Florida State,ACC,12,45,795,17.7,4,1,2,2.0,0,46,797,17.3,4,greg-carr-1
24,Demetrius Byrd*,LSU,SEC,14,35,621,17.7,7,,,,,35,621,17.7,7,demetrius-byrd-1
25,Kamar Aiken*,UCF,CUSA,14,33,584,17.7,5,1,-6,-6.0,0,34,578,17.0,5,kamar-aiken-1
26,Emmanuel Spann,Marshall,CUSA,12,25,442,17.7,2,6,-4,-0.7,0,31,438,14.1,2,emmanuel-spann-1
27,Brandon Gibson,Washington State,Pac-10,11,67,1180,17.6,9,,,,,67,1180,17.6,9,brandon-gibson-1
28,Steve Johnson*,Kentucky,SEC,13,60,1041,17.4,13,,,,,60,1041,17.4,13,steve-johnson-2
29,Maurice Jones*,Memphis,CUSA,13,37,639,17.3,2,3,8,2.7,0,40,647,16.2,2,maurice-jones-1
30,Diivory Edgecomb,Florida Atlantic,Sun Belt,12,24,416,17.3,4,56,190,3.4,4,80,606,7.6,8,diivory-edgecomb-1
31,Chris Givens,Miami (OH),MAC,13,25,430,17.2,2,,,,,25,430,17.2,2,chris-givens-1
32,Brian Robiskie*,Ohio State,Big Ten,13,55,935,17.0,11,,,,,55,935,17.0,11,brian-robiskie-1
33,Tiquan Underwood*,Rutgers,Big East,13,65,1100,16.9,7,,,,,65,1100,16.9,7,tiquan-underwood-1
34,Cortez Gent,Florida Atlantic,Sun Belt,12,64,1082,16.9,9,,,,,64,1082,16.9,9,cortez-gent-1
35,Austin Collie*,Brigham Young,MWC,13,56,946,16.9,7,1,10,10.0,0,57,956,16.8,7,austin-collie-1
36,Seyi Ajirotutu*,Fresno State,WAC,11,29,491,16.9,0,,,,,29,491,16.9,0,seyi-ajirotutu-1
37,Brett Swain,San Diego State,MWC,12,58,973,16.8,5,1,3,3.0,0,59,976,16.5,5,brett-swain-1
38,Malcolm Kelly*,Oklahoma,Big 12,14,49,821,16.8,9,,,,,49,821,16.8,9,malcolm-kelly-1
39,Jeremy Williams,Tulane,CUSA,12,46,773,16.8,5,8,-3,-0.4,0,54,770,14.3,5,jeremy-williams-1
40,Chris Bonner,Florida Atlantic,Sun Belt,13,25,420,16.8,3,5,37,7.4,0,30,457,15.2,3,chris-bonner-1
41,Michael Jones*,Arizona State,Pac-10,13,46,769,16.7,10,,,,,46,769,16.7,10,michael-jones-1
42,Richard Sherman,Stanford,Pac-10,11,39,651,16.7,4,,,,,39,651,16.7,4,richard-sherman-1
43,Derrick Smith,Louisiana,Sun Belt,8,35,583,16.7,3,1,6,6.0,0,36,589,16.4,3,derrick-smith-1
44,Mario Manningham*,Michigan,Big Ten,12,72,1174,16.3,12,19,119,6.3,0,91,1293,14.2,12,mario-manningham-1
45,Harry Douglas,Louisville,Big East,10,71,1159,16.3,7,5,11,2.2,0,76,1170,15.4,7,harry-douglas-1
46,Donnie Avery,Houston,CUSA,13,91,1456,16.0,7,,,,,91,1456,16.0,7,donnie-avery-1
47,Stephen Williams,Toledo,MAC,12,73,1169,16.0,7,,,,,73,1169,16.0,7,stephen-williams-1
48,Kellen Davis*,Michigan State,Big Ten,13,32,513,16.0,6,6,43,7.2,0,38,556,14.6,6,kellen-davis-1
49,Brad Kanuch*,Connecticut,Big East,13,27,433,16.0,1,1,2,2.0,0,28,435,15.5,1,brad-kanuch-1
50,Devin Thomas*,Michigan State,Big Ten,13,79,1260,15.9,8,27,177,6.6,0,106,1437,13.6,8,devin-thomas-1
51,Brandon Breazell*,UCLA,Pac-10,13,51,810,15.9,4,11,47,4.3,0,62,857,13.8,4,brandon-breazell-1
52,Greg Smith*,Georgia Tech,ACC,12,37,588,15.9,2,2,24,12.0,1,39,612,15.7,3,greg-smith-1
53,Demaryius Thomas*,Georgia Tech,ACC,13,35,558,15.9,4,1,0,0.0,0,36,558,15.5,4,demaryius-thomas-1
54,Sean Bailey*,Georgia,SEC,13,39,615,15.8,5,2,3,1.5,0,41,618,15.1,5,sean-bailey-1
