
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Ty Johnson*,Maryland,Big Ten,13,110,1004,9.1,6,16,206,12.9,1,126,1210,9.6,7,ty-johnson-1
2,Teriyon Gipson*,New Mexico,MWC,11,145,1269,8.8,13,9,80,8.9,1,154,1349,8.8,14,teriyon-gipson-1
3,Timothy McVey*,Air Force,MWC,13,83,708,8.5,10,8,193,24.1,2,91,901,9.9,12,timothy-mcvey-1
4,Tyrone Owens*,New Mexico,MWC,12,137,1097,8.0,7,7,54,7.7,0,144,1151,8.0,7,tyrone-owens-1
5,Curtis Samuel*,Ohio State,Big Ten,13,97,771,7.9,8,74,865,11.7,7,171,1636,9.6,15,curtis-samuel-1
6,Aaron Jones,UTEP,CUSA,12,229,1773,7.7,17,28,233,8.3,3,257,2006,7.8,20,aaron-jones-6
7,Quinton Flowers*,South Florida,American,13,198,1530,7.7,18,1,-3,-3.0,0,199,1527,7.7,18,quinton-flowers-1
8,Derrius Guice*,LSU,SEC,12,183,1387,7.6,15,9,106,11.8,1,192,1493,7.8,16,derrius-guice-1
9,Tony Brooks-James,Oregon,Pac-12,12,101,771,7.6,9,17,155,9.1,1,118,926,7.8,10,tony-brooks-james-1
10,Rashaad Penny*,San Diego State,MWC,14,136,1018,7.5,11,15,224,14.9,3,151,1242,8.2,14,rashaad-penny-1
11,Lavon Coleman*,Washington,Pac-12,14,114,852,7.5,7,5,31,6.2,0,119,883,7.4,7,lavon-coleman-1
12,Justin Crawford*,West Virginia,Big 12,13,163,1184,7.3,4,14,68,4.9,1,177,1252,7.1,5,justin-crawford-1
13,Brandon Dawkins,Arizona,Pac-12,10,131,944,7.2,10,0,0,,0,131,944,7.2,10,brandon-dawkins-2
14,Lorenzo Harrison*,Maryland,Big Ten,9,88,633,7.2,5,9,72,8.0,0,97,705,7.3,5,lorenzo-harrison-1
15,Nick Fitzgerald*,Mississippi State,SEC,13,195,1375,7.1,16,1,9,9.0,0,196,1384,7.1,16,nick-fitzgerald-2
16,Damien Harris*,Alabama,SEC,15,146,1037,7.1,2,14,99,7.1,2,160,1136,7.1,4,damien-harris-1
17,Bryce Love*,Stanford,Pac-12,12,111,783,7.1,3,8,83,10.4,1,119,866,7.3,4,bryce-love-1
18,Chris Evans*,Michigan,Big Ten,13,88,614,7.0,4,6,87,14.5,0,94,701,7.5,4,chris-evans-2
19,Damarea Crockett,Missouri,SEC,11,153,1062,6.9,10,5,14,2.8,0,158,1076,6.8,10,damarea-crockett-1
20,Anthony Wales*,Western Kentucky,CUSA,13,237,1621,6.8,27,30,323,10.8,2,267,1944,7.3,29,anthony-wales-1
21,Joe Mixon*,Oklahoma,Big 12,12,187,1274,6.8,10,37,538,14.5,5,224,1812,8.1,15,joe-mixon-1
22,Marlon Mack*,South Florida,American,12,174,1187,6.8,15,28,227,8.1,0,202,1414,7.0,15,marlon-mack-1
23,Boom Williams*,Kentucky,SEC,13,171,1170,6.8,7,8,56,7.0,1,179,1226,6.8,8,boom-williams-1
24,Trayveon Williams*,Texas A&amp;M,SEC,13,156,1057,6.8,8,19,91,4.8,0,175,1148,6.6,8,trayveon-williams-1
25,Chris Carson*,Oklahoma State,Big 12,9,82,559,6.8,9,13,128,9.8,1,95,687,7.2,10,chris-carson-1
26,Anthony Maddie,Northern Illinois,MAC,7,82,558,6.8,7,1,9,9.0,0,83,567,6.8,7,anthony-maddie-1
27,I'Tavius Mathers*,Middle Tennessee State,CUSA,13,232,1561,6.7,17,66,633,9.6,3,298,2194,7.4,20,itavius-mathers-1
28,Joe Williams*,Utah,Pac-12,9,210,1407,6.7,10,9,107,11.9,0,219,1514,6.9,10,joe-williams-7
29,Devin Singletary,Florida Atlantic,CUSA,12,152,1021,6.7,12,26,163,6.3,0,178,1184,6.7,12,devin-singletary-1
