
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
19,Gilbert Okoronkwo,Rice,WAC,12,23,439,19.1,2,,,,,23,439,19.1,2,gilbert-okoronkwo-1
20,Antoine Harden,Memphis,CUSA,10,31,589,19.0,4,2,11,5.5,0,33,600,18.2,4,antoine-harden-1
21,John Lewis,Oklahoma State,Big 12,11,24,455,19.0,1,3,13,4.3,0,27,468,17.3,1,john-lewis-1
22,Chris Vance,Ohio State,Big Ten,11,29,544,18.8,4,,,,,29,544,18.8,4,chris-vance-1
23,Jeb Putzier,Boise State,WAC,12,44,824,18.7,12,,,,,44,824,18.7,12,jeb-putzier-1
24,Taylor Jacobs,Florida,SEC,11,38,712,18.7,7,4,27,6.8,0,42,739,17.6,7,taylor-jacobs-1
25,Tony Johnson,Penn State,Big Ten,11,27,504,18.7,3,1,9,9.0,0,28,513,18.3,3,tony-johnson-1
26,Josh Reed,LSU,SEC,12,94,1740,18.5,7,2,7,3.5,0,96,1747,18.2,7,josh-reed-1
27,R.J. English,Pitt,Big East,11,41,760,18.5,6,,,,,41,760,18.5,6,rj-english-1
28,Joe Manning,New Mexico,MWC,11,26,482,18.5,3,18,72,4.0,0,44,554,12.6,3,joe-manning-1
29,Andre Johnson,Miami (FL),Big East,11,37,682,18.4,10,1,13,13.0,0,38,695,18.3,10,andre-johnson-1
30,Samie Parker*,Oregon,Pac-10,12,41,748,18.2,4,,,,,41,748,18.2,4,samie-parker-1
31,Michael Larkin,Miami (OH),MAC,11,37,672,18.2,5,,,,,37,672,18.2,5,michael-larkin-1
32,Edell Shepherd,San Jose State,WAC,12,83,1500,18.1,14,,,,,83,1500,18.1,14,edell-shepherd-1
33,Dwight Counter,New Mexico,MWC,11,43,774,18.0,4,2,14,7.0,0,45,788,17.5,4,dwight-counter-1
34,Jabar Gaffney,Florida,SEC,11,67,1191,17.8,13,,,,,67,1191,17.8,13,jabar-gaffney-1
35,Reggie Williams,Washington,Pac-10,11,55,973,17.7,3,,,,,55,973,17.7,3,reggie-williams-1
36,Manwell Talbert,New Mexico State,Sun Belt,12,26,458,17.6,2,,,,,26,458,17.6,2,manwell-talbert-1
37,Jerome Riley*,Washington State,Pac-10,12,36,630,17.5,4,,,,,36,630,17.5,4,jerome-riley-1
38,Freddie Milons,Alabama,SEC,11,36,626,17.4,3,4,10,2.5,0,40,636,15.9,3,freddie-milons-1
39,Jon Olinger,Cincinnati,CUSA,11,27,469,17.4,7,,,,,27,469,17.4,7,jon-olinger-1
40,Michael Johnson,UNLV,MWC,11,25,435,17.4,2,,,,,25,435,17.4,2,michael-johnson-6
41,Brian Poli-Dixon,UCLA,Pac-10,8,24,415,17.3,2,,,,,24,415,17.3,2,brian-poli-dixon-1
42,Sam Aiken,North Carolina,ACC,12,46,789,17.2,8,2,1,0.5,0,48,790,16.5,8,sam-aiken-1
43,Roscoe Crosby,Clemson,ACC,9,23,396,17.2,3,,,,,23,396,17.2,3,roscoe-crosby-1
44,George Marshall,North Texas,Sun Belt,11,32,546,17.1,11,1,9,9.0,0,33,555,16.8,11,george-marshall-1
45,Derek McCoy,Colorado,Big 12,12,30,512,17.1,2,,,,,30,512,17.1,2,derek-mccoy-1
46,James Newson,Oregon State,Pac-10,11,57,968,17.0,5,1,8,8.0,0,58,976,16.8,5,james-newson-1
47,Bryant Johnson,Penn State,Big Ten,11,51,866,17.0,3,4,5,1.3,0,55,871,15.8,3,bryant-johnson-1
48,Jimmy Fryzel,UCF,Ind,11,39,664,17.0,2,2,20,10.0,0,41,684,16.7,2,jimmy-fryzel-1
49,Jason Anderson,Wake Forest,ACC,10,28,472,16.9,2,,,,,28,472,16.9,2,jason-anderson-1
50,M.J. Garrett,Vanderbilt,SEC,11,27,455,16.9,4,,,,,27,455,16.9,4,mj-garrett-1
51,Ray Jackson,Cincinnati,CUSA,11,27,455,16.9,3,145,592,4.1,7,172,1047,6.1,10,ray-jackson-1
52,Brandon Lloyd,Illinois,Big Ten,11,60,1006,16.8,8,5,5,1.0,0,65,1011,15.6,8,brandon-lloyd-1
53,Ryan Wells,Stanford,Pac-10,11,31,519,16.7,3,,,,,31,519,16.7,3,ryan-wells-1
54,Dan Stricker,Vanderbilt,SEC,11,65,1079,16.6,8,15,80,5.3,0,80,1159,14.5,8,dan-stricker-1
55,Heyward Skipper,Troy,Ind,11,60,995,16.6,9,1,18,18.0,0,61,1013,16.6,9,heyward-skipper-1
56,Wilson Thomas,Nebraska,Big 12,12,37,616,16.6,3,1,4,4.0,0,38,620,16.3,3,wilson-thomas-1
57,Chesley Borders,North Carolina,ACC,12,27,448,16.6,4,1,8,8.0,0,28,456,16.3,4,chesley-borders-1
58,Deion Branch,Louisville,CUSA,12,72,1188,16.5,9,6,24,4.0,0,78,1212,15.5,9,deion-branch-1
59,Adrian Madise,TCU,CUSA,11,50,819,16.4,5,,,,,50,819,16.4,5,adrian-madise-1
60,Kerry Watkins,Georgia Tech,ACC,12,41,674,16.4,5,5,22,4.4,0,46,696,15.1,5,kerry-watkins-1
61,Kevin Beard,Miami (FL),Big East,11,25,409,16.4,2,,,,,25,409,16.4,2,kevin-beard-1
62,Reche Caldwell,Florida,SEC,11,65,1059,16.3,10,5,47,9.4,0,70,1106,15.8,10,reche-caldwell-1
63,Kareem Kelly*,USC,Pac-10,12,49,801,16.3,3,6,38,6.3,0,55,839,15.3,3,kareem-kelly-1
64,Ben Erdeljac,Duke,ACC,11,42,684,16.3,1,2,3,1.5,0,44,687,15.6,1,ben-erdeljac-1
65,Charles Pauley,San Jose State,WAC,12,41,669,16.3,1,20,121,6.1,0,61,790,13.0,1,charles-pauley-1
66,Tim Carter,Auburn,SEC,11,35,570,16.3,3,7,28,4.0,0,42,598,14.2,3,tim-carter-1
67,Nakoa McElrath*,Washington State,Pac-10,12,72,1163,16.2,9,3,36,12.0,0,75,1199,16.0,9,nakoa-mcelrath-1
68,Walter Young,Illinois,Big Ten,11,44,712,16.2,6,,,,,44,712,16.2,6,walter-young-1
69,Brock Ralph,Wyoming,MWC,11,36,584,16.2,2,1,0,0.0,0,37,584,15.8,2,brock-ralph-1
70,Josh Lyman,Utah,MWC,11,36,582,16.2,5,,,,,36,582,16.2,5,josh-lyman-1
71,Chris Lacy,Idaho,Sun Belt,11,65,1045,16.1,8,4,27,6.8,0,69,1072,15.5,8,chris-lacy-1
72,Sam Simmons,Northwestern,Big Ten,11,50,807,16.1,7,5,74,14.8,0,55,881,16.0,7,sam-simmons-1
73,Bernard Berrian*,Fresno State,WAC,14,85,1364,16.0,13,7,91,13.0,0,92,1455,15.8,13,bernard-berrian-1
74,Ron Johnson,Minnesota,Big Ten,11,56,895,16.0,9,,,,,56,895,16.0,9,ron-johnson-1
75,Michael Clayton,LSU,SEC,12,47,754,16.0,6,2,35,17.5,1,49,789,16.1,7,michael-clayton-1
76,Andre Davis,Virginia Tech,Big East,11,39,623,16.0,7,5,-2,-0.4,0,44,621,14.1,7,andre-davis-1
77,Mike Hart,Duke,ACC,10,30,476,15.9,4,,,,,30,476,15.9,4,mike-hart-1
78,Cortlen Johnson,Colorado,Big 12,12,24,382,15.9,1,89,567,6.4,4,113,949,8.4,5,cortlen-johnson-1
79,Kelley Washington,Tennessee,SEC,12,64,1010,15.8,5,,,,,64,1010,15.8,5,kelley-washington-1
80,Roydell Williams,Tulane,CUSA,12,56,886,15.8,11,1,-8,-8.0,0,57,878,15.4,11,roydell-williams-1
81,Donnie O'Neal,Arizona State,Pac-10,11,45,711,15.8,4,,,,,45,711,15.8,4,donnie-oneal-1
82,Tyrone Calico,Middle Tennessee State,Sun Belt,11,37,583,15.8,5,1,38,38.0,1,38,621,16.3,6,tyrone-calico-1
83,Rodney Wright*,Fresno State,WAC,14,104,1630,15.7,12,23,114,5.0,1,127,1744,13.7,13,rodney-wright-1
84,Justin Jenkins,Mississippi State,SEC,11,42,661,15.7,8,4,11,2.8,0,46,672,14.6,8,justin-jenkins-1
85,Antonio Bryant,Pitt,Big East,10,42,659,15.7,9,,,,,42,659,15.7,9,antonio-bryant-1
86,Terrence Edwards,Georgia,SEC,11,39,613,15.7,6,,,,,39,613,15.7,6,terrence-edwards-1
87,Craig Campbell,Iowa State,Big 12,11,31,486,15.7,2,5,34,6.8,0,36,520,14.4,2,craig-campbell-1
88,Andrae Thurman,Arizona,Pac-10,11,30,470,15.7,2,,,,,30,470,15.7,2,andrae-thurman-1
89,Antoine Burns,Minnesota,Big Ten,11,30,470,15.7,3,,,,,30,470,15.7,3,antoine-burns-1
90,Darius Watts,Marshall,MAC,12,91,1417,15.6,18,2,8,4.0,0,93,1425,15.3,18,darius-watts-1
91,Deandrew Rubin,South Florida,Ind,11,34,532,15.6,4,,,,,34,532,15.6,4,deandrew-rubin-1
92,Brian Scott*,South Carolina,SEC,12,47,730,15.5,5,,,,,47,730,15.5,5,brian-scott-2
93,Derrick Collier,East Carolina,CUSA,11,31,481,15.5,0,,,,,31,481,15.5,0,derrick-collier-1
94,Terrance Minor,UTEP,WAC,10,24,371,15.5,3,,,,,24,371,15.5,3,terrance-minor-1
95,Tavirus Davis,UCF,Ind,11,47,722,15.4,5,,,,,47,722,15.4,5,tavirus-davis-1
96,Frederick Stamps,Louisiana,Sun Belt,11,43,663,15.4,4,,,,,43,663,15.4,4,frederick-stamps-1
97,Doug Jolley,Brigham Young,MWC,13,32,492,15.4,7,,,,,32,492,15.4,7,doug-jolley-1
98,Kevin Curtis,Utah State,Ind,11,100,1531,15.3,10,3,25,8.3,0,103,1556,15.1,10,kevin-curtis-2
99,Charles Smith*,Fresno State,WAC,14,35,534,15.3,3,4,30,7.5,0,39,564,14.5,3,charles-smith-2
100,Allen Stark,Louisiana Tech,WAC,9,25,380,15.2,3,1,-1,-1.0,0,26,379,14.6,3,allen-stark-1
101,Jeff Gaddy,Navy,Ind,10,24,365,15.2,2,2,3,1.5,0,26,368,14.2,2,jeff-gaddy-1
102,Paul Arnold,Washington,Pac-10,11,43,649,15.1,4,1,-6,-6.0,0,44,643,14.6,4,paul-arnold-1
103,Sloan Thomas,Texas,Big 12,12,29,435,15.0,5,1,-3,-3.0,0,30,432,14.4,5,sloan-thomas-1
104,Malcom Floyd,Wyoming,MWC,11,53,790,14.9,4,,,,,53,790,14.9,4,malcom-floyd-1
105,Teyo Johnson,Stanford,Pac-10,11,38,565,14.9,7,,,,,38,565,14.9,7,teyo-johnson-1
106,Antrews Bell,Florida State,ACC,11,29,433,14.9,1,,,,,29,433,14.9,1,antrews-bell-1
107,Atrews Bell,Florida State,ACC,11,29,433,14.9,1,0,0,,0,29,433,14.9,1,atrews-bell-1
108,Ryan Fleming,Air Force,MWC,11,28,416,14.9,1,1,1,1.0,0,29,417,14.4,1,ryan-fleming-1
109,Aaron Lockett,Kansas State,Big 12,11,24,357,14.9,3,4,4,1.0,0,28,361,12.9,3,aaron-lockett-1
110,Daniel Graham,Colorado,Big 12,12,51,753,14.8,6,,,,,51,753,14.8,6,daniel-graham-1
111,Guilian Gary,Maryland,ACC,11,49,727,14.8,6,,,,,49,727,14.8,6,guilian-gary-1
112,Ethenic Sands,Miami (FL),Big East,11,26,385,14.8,1,1,23,23.0,0,27,408,15.1,1,ethenic-sands-1
113,Justin Colbert,Hawaii,WAC,12,55,801,14.6,3,1,-1,-1.0,0,56,800,14.3,3,justin-colbert-1
114,Sean Dillard,Temple,Big East,11,51,747,14.6,3,2,4,2.0,1,53,751,14.2,4,sean-dillard-1
115,Dedrick Dewalt,Boston College,Big East,11,37,539,14.6,5,3,22,7.3,0,40,561,14.0,5,dedrick-dewalt-1
116,D.J. Curry,Louisiana Tech,WAC,9,52,756,14.5,8,7,41,5.9,0,59,797,13.5,8,dj-curry-1
117,Bosley Allen,North Carolina,ACC,12,39,562,14.4,4,,,,,39,562,14.4,4,bosley-allen-1
118,Terrence Murphy,Texas A&amp;M,Big 12,11,36,518,14.4,3,3,28,9.3,0,39,546,14.0,3,terrence-murphy-1
119,Aris Comeaux,Army,CUSA,11,35,505,14.4,5,1,4,4.0,0,36,509,14.1,5,aris-comeaux-1
120,Justin Peelle*,Oregon,Pac-10,12,34,491,14.4,9,,,,,34,491,14.4,9,justin-peelle-1
121,Soren Halladay,Brigham Young,MWC,13,27,390,14.4,2,1,12,12.0,0,28,402,14.4,2,soren-halladay-1
122,Brian Labasco,Air Force,MWC,11,25,361,14.4,2,1,-2,-2.0,0,26,359,13.8,2,brian-labasco-1
123,Kahlil Hill*,Iowa,Big Ten,12,59,841,14.3,8,3,0,0.0,0,62,841,13.6,8,kahlil-hill-1
124,Denero Marriott,Marshall,MAC,11,56,800,14.3,9,,,,,56,800,14.3,9,denero-marriott-1
125,Richard Alston,East Carolina,CUSA,11,31,443,14.3,3,11,131,11.9,1,42,574,13.7,4,richard-alston-1
126,Bobby Wade,Arizona,Pac-10,11,62,882,14.2,8,3,22,7.3,0,65,904,13.9,8,bobby-wade-1
127,Herb Haygood*,Michigan State,Big Ten,12,57,808,14.2,4,1,6,6.0,0,58,814,14.0,4,herb-haygood-1
128,Lane Danielsen,Iowa State,Big 12,11,49,694,14.2,4,7,72,10.3,1,56,766,13.7,5,lane-danielsen-1
129,George Wilson,Arkansas,SEC,11,40,568,14.2,3,,,,,40,568,14.2,3,george-wilson-1
130,Dallas Clark*,Iowa,Big Ten,12,38,539,14.2,4,,,,,38,539,14.2,4,dallas-clark-1
131,Maurice Bradford,Buffalo,MAC,11,35,498,14.2,2,,,,,35,498,14.2,2,maurice-bradford-1
132,Derrick Lewis,San Diego State,MWC,11,28,398,14.2,0,10,37,3.7,0,38,435,11.4,0,derrick-lewis-1
133,Matt Curry,Kent State,MAC,11,27,383,14.2,2,,,,,27,383,14.2,2,matt-curry-1
134,Carlos Francis,Texas Tech,Big 12,11,50,703,14.1,3,4,28,7.0,0,54,731,13.5,3,carlos-francis-1
135,Alvin Powell,Arkansas State,Sun Belt,11,36,507,14.1,6,1,-5,-5.0,0,37,502,13.6,6,alvin-powell-1
136,Jake Schifino,Akron,MAC,11,36,506,14.1,3,3,-12,-4.0,0,39,494,12.7,3,jake-schifino-1
137,Craig Bragg,UCLA,Pac-10,11,29,408,14.1,2,8,100,12.5,2,37,508,13.7,4,craig-bragg-1
138,Damien Gary,Georgia,SEC,10,25,352,14.1,1,1,3,3.0,0,26,355,13.7,1,damien-gary-1
139,Cliff Russell,Utah,MWC,11,53,744,14.0,4,5,26,5.2,0,58,770,13.3,4,cliff-russell-1
140,Jay Swillie,Boise State,WAC,12,48,673,14.0,8,1,10,10.0,0,49,683,13.9,8,jay-swillie-1
141,Carl Ford,Toledo,MAC,11,46,646,14.0,6,,,,,46,646,14.0,6,carl-ford-1
142,Todd Elstrom,Washington,Pac-10,11,35,490,14.0,4,1,-7,-7.0,0,36,483,13.4,4,todd-elstrom-1
143,J.J. McKelvey,Clemson,ACC,11,28,392,14.0,4,,,,,28,392,14.0,4,jj-mckelvey-1
144,Antonio Thomas,Western Michigan,MAC,11,22,307,14.0,3,,,,,22,307,14.0,3,antonio-thomas-1
145,J.R. Tolver,San Diego State,MWC,11,63,878,13.9,2,2,-6,-3.0,0,65,872,13.4,2,jr-tolver-1
146,Leroy Handy,Southern Mississippi,CUSA,11,59,823,13.9,3,1,11,11.0,0,60,834,13.9,3,leroy-handy-1
147,Nate Burleson,Nevada,WAC,9,53,737,13.9,2,3,44,14.7,0,56,781,13.9,2,nate-burleson-1
148,Bobby Garner,Southern Mississippi,CUSA,11,27,374,13.9,2,,,,,27,374,13.9,2,bobby-garner-1
149,Zek Parker,Louisville,CUSA,12,55,757,13.8,3,2,-11,-5.5,0,57,746,13.1,3,zek-parker-1
150,Lee Mays,UTEP,WAC,11,53,733,13.8,1,4,26,6.5,0,57,759,13.3,1,lee-mays-1
151,Kory Bailey,North Carolina,ACC,12,44,608,13.8,6,,,,,44,608,13.8,6,kory-bailey-1
152,Tye Keith,Cincinnati,CUSA,11,42,578,13.8,4,,,,,42,578,13.8,4,tye-keith-1
153,Bryan Peterson,North Carolina State,ACC,11,48,657,13.7,2,12,46,3.8,0,60,703,11.7,2,bryan-peterson-1
154,Chris Belser,Idaho,Sun Belt,11,44,603,13.7,4,,,,,44,603,13.7,4,chris-belser-1
155,Chris Baker*,Michigan State,Big Ten,12,40,548,13.7,4,,,,,40,548,13.7,4,chris-baker-2
156,Malosi Leonard,Arizona,Pac-10,11,43,582,13.5,3,,,,,43,582,13.5,3,malosi-leonard-1
157,Rob Turner,Central Michigan,MAC,11,50,668,13.4,4,,,,,50,668,13.4,4,rob-turner-1
158,Eddie Tillitz,Miami (OH),MAC,10,43,577,13.4,5,1,-2,-2.0,0,44,575,13.1,5,eddie-tillitz-1
159,Antonio Carter,Alabama,SEC,11,32,428,13.4,1,,,,,32,428,13.4,1,antonio-carter-1
160,Gregg Kellett,Marshall,MAC,12,25,336,13.4,0,2,15,7.5,1,27,351,13.0,1,gregg-kellett-1
161,Kori Dickerson*,USC,Pac-10,12,25,334,13.4,2,1,2,2.0,0,26,336,12.9,2,kori-dickerson-1
162,Doug Zeigler,Ole Miss,SEC,9,21,281,13.4,4,,,,,21,281,13.4,4,doug-zeigler-1
163,Reno Mahe,Brigham Young,MWC,13,91,1211,13.3,9,15,174,11.6,0,106,1385,13.1,9,reno-mahe-1
164,Mo Jones,Nevada,WAC,11,30,398,13.3,3,,,,,30,398,13.3,3,mo-jones-1
165,Tim Fleming,Nevada,WAC,10,30,398,13.3,1,,,,,30,398,13.3,1,tim-fleming-1
166,Jamar Cottee,Ball State,MAC,11,24,319,13.3,3,2,-1,-0.5,0,26,318,12.2,3,jamar-cottee-1
167,Mack Vincent,Louisiana-Monroe,Sun Belt,11,47,619,13.2,2,2,4,2.0,0,49,623,12.7,2,mack-vincent-1
168,Chauncey Henry,Miami (OH),MAC,12,32,421,13.2,3,5,53,10.6,0,37,474,12.8,3,chauncey-henry-1
169,Rossi Martin,Idaho,Sun Belt,11,32,421,13.2,8,,,,,32,421,13.2,8,rossi-martin-1
170,Termaine Fulton,Kansas,Big 12,11,30,397,13.2,1,,,,,30,397,13.2,1,termaine-fulton-1
171,Bo Scaife,Texas,Big 12,12,30,396,13.2,1,,,,,30,396,13.2,1,bo-scaife-1
172,Derek Smith,Kentucky,SEC,11,30,396,13.2,4,,,,,30,396,13.2,4,derek-smith-1
173,Keenan Howry*,Oregon,Pac-10,12,52,682,13.1,9,4,51,12.8,1,56,733,13.1,10,keenan-howry-1
174,Matt Cherry,Akron,MAC,11,48,630,13.1,3,1,8,8.0,0,49,638,13.0,3,matt-cherry-1
175,B.J. Johnson,Texas,Big 12,12,41,539,13.1,4,4,54,13.5,0,45,593,13.2,4,bj-johnson-1
176,John Hampton,SMU,WAC,11,35,459,13.1,1,,,,,35,459,13.1,1,john-hampton-1
177,Antwone Savage,Oklahoma,Big 12,12,34,446,13.1,5,4,26,6.5,0,38,472,12.4,5,antwone-savage-1
178,Will Glover,Georgia Tech,ACC,10,42,546,13.0,3,3,4,1.3,0,45,550,12.2,3,will-glover-1
179,Jeremy Shockey,Miami (FL),Big East,11,40,519,13.0,7,,,,,40,519,13.0,7,jeremy-shockey-1
180,Keary Colbert*,USC,Pac-10,12,34,442,13.0,2,1,9,9.0,0,35,451,12.9,2,keary-colbert-1
181,Jack Whitver,Iowa State,Big 12,11,21,272,13.0,3,1,4,4.0,0,22,276,12.5,3,jack-whitver-1
182,Marquise Walker,Michigan,Big Ten,11,81,1043,12.9,11,4,29,7.3,0,85,1072,12.6,11,marquise-walker-1
183,Joshua Bush,Western Michigan,MAC,11,48,617,12.9,1,5,34,6.8,0,53,651,12.3,1,joshua-bush-1
184,Latarence Dunbar,TCU,CUSA,11,41,529,12.9,3,13,49,3.8,2,54,578,10.7,5,latarence-dunbar-1
185,Jurron Kelly,Kent State,MAC,11,37,479,12.9,5,1,11,11.0,0,38,490,12.9,5,jurron-kelly-1
186,Jason Armstead,Ole Miss,SEC,11,32,413,12.9,5,1,-1,-1.0,0,33,412,12.5,5,jason-armstead-1
187,Billy McMullen,Virginia,ACC,12,83,1060,12.8,12,,,,,83,1060,12.8,12,billy-mcmullen-1
188,Rashaun Woods,Oklahoma State,Big 12,11,80,1023,12.8,10,,,,,80,1023,12.8,10,rashaun-woods-1
189,Delwyn Daigre,Louisiana Tech,WAC,9,60,770,12.8,6,,,,,60,770,12.8,6,delwyn-daigre-1
190,Chris Collins,Ole Miss,SEC,11,54,692,12.8,6,1,38,38.0,1,55,730,13.3,7,chris-collins-1
191,Willie Quinnie,UAB,CUSA,11,36,460,12.8,3,2,23,11.5,1,38,483,12.7,4,willie-quinnie-1
192,C.J. Jones*,Iowa,Big Ten,11,34,434,12.8,1,3,16,5.3,0,37,450,12.2,1,cj-jones-1
193,Jamal Burke,Boston College,Big East,11,25,320,12.8,8,,,,,25,320,12.8,8,jamal-burke-1
194,Mike Rigell,Brigham Young,MWC,13,25,320,12.8,3,1,9,9.0,0,26,329,12.7,3,mike-rigell-1
195,Fabian Davis,Wake Forest,ACC,11,24,306,12.8,2,20,103,5.2,2,44,409,9.3,4,fabian-davis-1
196,John Stone,Wake Forest,ACC,11,23,294,12.8,1,58,315,5.4,4,81,609,7.5,5,john-stone-1
197,Joe Mohler,Ohio,MAC,11,21,269,12.8,2,4,43,10.8,0,25,312,12.5,2,joe-mohler-1
198,Rocky Harrison,Southern Mississippi,CUSA,11,21,268,12.8,1,,,,,21,268,12.8,1,rocky-harrison-1
199,David Bautista,Bowling Green State,MAC,11,52,661,12.7,4,,,,,52,661,12.7,4,david-bautista-1
200,Matt Knueven,Buffalo,MAC,11,35,443,12.7,2,,,,,35,443,12.7,2,matt-knueven-1
201,Sean Schembra,Ball State,MAC,11,34,432,12.7,3,3,5,1.7,0,37,437,11.8,3,sean-schembra-1
202,Terrance Lloyd,Eastern Michigan,MAC,11,31,393,12.7,2,1,1,1.0,0,32,394,12.3,2,terrance-lloyd-1
203,Marque Davis*,Fresno State,WAC,14,29,368,12.7,4,13,73,5.6,0,42,441,10.5,4,marque-davis-1
204,Kelly Campbell,Georgia Tech,ACC,9,56,708,12.6,3,4,12,3.0,0,60,720,12.0,3,kelly-campbell-1
205,Bunkie Perkins,Memphis,CUSA,11,46,579,12.6,6,2,9,4.5,0,48,588,12.3,6,bunkie-perkins-1
206,Reginald Perkins,Memphis,CUSA,11,46,579,12.6,6,2,9,4.5,0,48,588,12.3,6,reginald-perkins-1
207,Roger Ross,Kansas,Big 12,11,39,493,12.6,2,2,14,7.0,0,41,507,12.4,2,roger-ross-1
208,Nick Davis,Wisconsin,Big Ten,12,30,378,12.6,3,2,20,10.0,0,32,398,12.4,3,nick-davis-1
209,Billy Wingfield,Boise State,WAC,11,27,340,12.6,2,3,-3,-1.0,0,30,337,11.2,2,billy-wingfield-1
210,Andre Forde,Buffalo,MAC,7,23,289,12.6,0,1,11,11.0,0,24,300,12.5,0,andre-forde-1
211,Taylor Stubblefield*,Purdue,Big Ten,12,73,910,12.5,2,2,-2,-1.0,0,75,908,12.1,2,taylor-stubblefield-1
212,Roy Williams,Texas,Big 12,12,67,836,12.5,7,5,47,9.4,0,72,883,12.3,7,roy-williams-3
213,John Standeford*,Purdue,Big Ten,12,47,587,12.5,4,1,2,2.0,0,48,589,12.3,4,john-standeford-1
214,Jamaar Taylor,Texas A&amp;M,Big 12,10,39,489,12.5,3,2,7,3.5,0,41,496,12.1,3,jamaar-taylor-1
215,Chris Iskra,South Florida,Ind,11,37,461,12.5,2,,,,,37,461,12.5,2,chris-iskra-1
216,Manny Johnson,Toledo,MAC,11,31,386,12.5,2,2,4,2.0,0,33,390,11.8,2,manny-johnson-1
217,Justin Gage,Missouri,Big 12,11,74,920,12.4,5,1,8,8.0,0,75,928,12.4,5,justin-gage-1
218,Ladaris Vann,Cincinnati,CUSA,11,73,902,12.4,3,5,20,4.0,0,78,922,11.8,3,ladaris-vann-1
219,P.J. Fleck,Northern Illinois,MAC,11,59,732,12.4,5,1,0,0.0,0,60,732,12.2,5,pj-fleck-1
220,P.J. Winston,New Mexico State,Sun Belt,12,46,570,12.4,1,11,79,7.2,0,57,649,11.4,1,pj-winston-1
221,Darron White,Memphis,CUSA,10,34,422,12.4,3,,,,,34,422,12.4,3,darron-white-1
222,Robert Redd,Bowling Green State,MAC,11,72,884,12.3,9,4,-2,-0.5,0,76,882,11.6,9,robert-redd-1
223,Jason Branch,Miami (OH),MAC,12,46,565,12.3,6,,,,,46,565,12.3,6,jason-branch-1
224,Josh Davis,Marshall,MAC,12,79,961,12.2,5,2,21,10.5,0,81,982,12.1,5,josh-davis-1
225,Kendall Newson,Middle Tennessee State,Sun Belt,11,65,796,12.2,7,2,15,7.5,0,67,811,12.1,7,kendall-newson-1
226,Gary Coleman,Utah State,Ind,11,36,440,12.2,4,1,9,9.0,0,37,449,12.1,4,gary-coleman-1
227,Jason Samples,Troy,Ind,11,30,365,12.2,0,1,14,14.0,0,31,379,12.2,0,jason-samples-1
228,Seth Morales*,Purdue,Big Ten,12,29,353,12.2,4,1,-3,-3.0,0,30,350,11.7,4,seth-morales-1
229,Donald Shoals,Tulsa,WAC,10,75,908,12.1,4,3,9,3.0,0,78,917,11.8,4,donald-shoals-1
