
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Doug Gabriel,UCF,Ind,10,22,632,28.7,9,,,,,22,632,28.7,9,doug-gabriel-1
2,Shaun McDonald,Arizona State,Pac-10,11,47,1104,23.5,10,4,8,2.0,1,51,1112,21.8,11,shaun-mcdonald-1
3,Fred Gibson,Georgia,SEC,10,33,772,23.4,6,3,27,9.0,0,36,799,22.2,6,fred-gibson-1
4,Charles Rogers*,Michigan State,Big Ten,12,67,1470,21.9,14,4,36,9.0,1,71,1506,21.2,15,charles-rogers-1
5,Darrell Hill,Northern Illinois,MAC,11,38,822,21.6,7,2,45,22.5,0,40,867,21.7,7,darrell-hill-1
6,Javon Walker,Florida State,ACC,11,45,944,21.0,7,,,,,45,944,21.0,7,javon-walker-1
7,Lou Fanucchi,Boise State,WAC,11,30,626,20.9,2,2,7,3.5,0,32,633,19.8,2,lou-fanucchi-1
8,Aaron Martin,Rutgers,Big East,11,25,523,20.9,3,1,-1,-1.0,0,26,522,20.1,3,aaron-martin-1
9,Mike Bush*,Washington State,Pac-10,12,46,959,20.8,10,1,8,8.0,0,47,967,20.6,10,mike-bush-1
10,Lee Evans,Wisconsin,Big Ten,12,75,1545,20.6,9,,,,,75,1545,20.6,9,lee-evans-1
11,Ashley Lelie,Hawaii,WAC,12,84,1713,20.4,19,,,,,84,1713,20.4,19,ashley-lelie-1
12,Michael Jenkins,Ohio State,Big Ten,11,41,836,20.4,3,,,,,41,836,20.4,3,michael-jenkins-1
13,Scottie Vines,Wyoming,MWC,11,27,550,20.4,2,2,18,9.0,0,29,568,19.6,2,scottie-vines-1
14,Donte' Stallworth,Tennessee,SEC,9,41,821,20.0,10,1,11,11.0,0,42,832,19.8,10,donte-stallworth-1
15,Luke Powell,Stanford,Pac-10,11,40,790,19.8,7,1,-1,-1.0,0,41,789,19.2,7,luke-powell-1
16,Tab Perry,UCLA,Pac-10,9,21,416,19.8,2,,,,,21,416,19.8,2,tab-perry-1
17,Talman Gardner,Florida State,ACC,11,33,649,19.7,11,2,-8,-4.0,0,35,641,18.3,11,talman-gardner-1
18,Pete Rebstock,Colorado State,MWC,9,28,546,19.5,3,3,10,3.3,0,31,556,17.9,3,pete-rebstock-1
