
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Owen Spencer,North Carolina State,ACC,11,30,765,25.5,6,2,3,1.5,0,32,768,24.0,6,owen-spencer-1
2,Demaryius Thomas*,Georgia Tech,ACC,14,46,1154,25.1,8,1,3,3.0,0,47,1157,24.6,8,demaryius-thomas-1
3,Kevin Fogler*,Air Force,MWC,13,25,567,22.7,5,,,,,25,567,22.7,5,kevin-fogler-1
4,Tim Brown*,Rutgers,Big East,13,55,1150,20.9,9,8,-4,-0.5,0,63,1146,18.2,9,tim-brown-1
5,Jarrett Boykin*,Virginia Tech,ACC,13,40,835,20.9,5,0,0,,1,40,835,20.9,6,jarrett-boykin-1
6,Maurice Shaw*,Idaho,WAC,12,32,666,20.8,6,,,,,32,666,20.8,6,maurice-shaw-1
7,Colin Larmond*,Boston College,ACC,13,29,596,20.6,5,,,,,29,596,20.6,5,colin-larmond-1
8,Danny Coale*,Virginia Tech,ACC,13,30,614,20.5,2,2,8,4.0,0,32,622,19.4,2,danny-coale-1
9,Niles Paul*,Nebraska,Big 12,14,40,796,19.9,4,3,48,16.0,1,43,844,19.6,5,niles-paul-1
10,Marvin McNutt*,Iowa,Big Ten,13,34,674,19.8,8,,,,,34,674,19.8,8,marvin-mcnutt-1
11,Lagregory Sapp,Louisiana-Monroe,Sun Belt,10,40,784,19.6,3,,,,,40,784,19.6,3,lagregory-sapp-1
12,Joe Adams*,Arkansas,SEC,10,29,568,19.6,7,5,31,6.2,1,34,599,17.6,8,joe-adams-1
13,Jonathan Baldwin*,Pitt,Big East,13,57,1111,19.5,8,1,61,61.0,0,58,1172,20.2,8,jonathan-baldwin-1
14,Riley Cooper*,Florida,SEC,14,51,961,18.8,9,1,14,14.0,0,52,975,18.8,9,riley-cooper-1
15,A.J. Love*,South Florida,Big East,13,26,489,18.8,4,1,12,12.0,0,27,501,18.6,4,aj-love-1
16,Stanley Morrison,Utah State,WAC,12,33,616,18.7,3,4,37,9.3,0,37,653,17.6,3,stanley-morrison-1
17,Greg Childs*,Arkansas,SEC,13,48,894,18.6,7,,,,,48,894,18.6,7,greg-childs-1
18,Marcus Easley*,Connecticut,Big East,13,48,893,18.6,8,1,11,11.0,0,49,904,18.4,8,marcus-easley-1
19,Rodney Bradley,Hawaii,WAC,7,31,575,18.5,5,,,,,31,575,18.5,5,rodney-bradley-1
20,Jeff Moturi,UTEP,CUSA,12,53,974,18.4,4,7,68,9.7,0,60,1042,17.4,4,jeff-moturi-1
21,Chris Owusu*,Stanford,Pac-10,13,37,682,18.4,5,12,66,5.5,0,49,748,15.3,5,chris-owusu-1
22,Terrell Zachery*,Auburn,SEC,13,26,477,18.3,5,9,214,23.8,1,35,691,19.7,6,terrell-zachery-1
23,Michael Floyd,Notre Dame,Ind,7,44,795,18.1,9,1,8,8.0,0,45,803,17.8,9,michael-floyd-1
24,Leonard Hankerson*,Miami (FL),ACC,13,45,801,17.8,6,,,,,45,801,17.8,6,leonard-hankerson-1
25,Chris Bonner,Florida Atlantic,Sun Belt,12,32,571,17.8,6,4,50,12.5,1,36,621,17.3,7,chris-bonner-1
26,Uzoma Nwachukwu*,Texas A&amp;M,Big 12,13,40,708,17.7,6,8,87,10.9,1,48,795,16.6,7,uzoma-nwachukwu-1
27,Carlton Mitchell*,South Florida,Big East,11,40,706,17.7,4,,,,,40,706,17.7,4,carlton-mitchell-1
28,Daniel Hardy*,Idaho,WAC,12,39,691,17.7,3,,,,,39,691,17.7,3,daniel-hardy-1
29,Dion Morton,Colorado State,MWC,12,25,443,17.7,4,11,43,3.9,1,36,486,13.5,5,dion-morton-1
30,Slick Shelley,Tulsa,CUSA,11,29,511,17.6,4,,,,,29,511,17.6,4,slick-shelley-1
31,Jermaine Kearse,Washington,Pac-10,12,50,866,17.3,8,1,2,2.0,0,51,868,17.0,8,jermaine-kearse-1
32,Vincent Brown,San Diego State,MWC,7,45,778,17.3,6,3,10,3.3,0,48,788,16.4,6,vincent-brown-3
33,Travis Benjamin*,Miami (FL),ACC,13,29,501,17.3,4,9,21,2.3,0,38,522,13.7,4,travis-benjamin-1
34,Mark Dell*,Michigan State,Big Ten,10,26,449,17.3,1,,,,,26,449,17.3,1,mark-dell-1
35,Nelson Rosario*,UCLA,Pac-10,13,42,723,17.2,2,,,,,42,723,17.2,2,nelson-rosario-1
36,Aldrick Robinson*,SMU,CUSA,13,47,800,17.0,5,,,,,47,800,17.0,5,aldrick-robinson-1
37,Kamar Aiken*,UCF,CUSA,12,36,610,16.9,9,2,-11,-5.5,0,38,599,15.8,9,kamar-aiken-1
38,Marquis Maze*,Alabama,SEC,14,31,523,16.9,2,4,7,1.8,0,35,530,15.1,2,marquis-maze-1
39,Andre Jones,Akron,MAC,12,33,553,16.8,4,6,34,5.7,1,39,587,15.1,5,andre-jones-2
40,Max Komar*,Idaho,WAC,13,63,1052,16.7,11,8,28,3.5,0,71,1080,15.2,11,max-komar-1
41,Deandre Brown*,Southern Mississippi,CUSA,11,47,785,16.7,9,2,16,8.0,0,49,801,16.3,9,deandre-brown-1
42,Derrell Johnson-Koulianos*,Iowa,Big Ten,12,45,750,16.7,2,,,,,45,750,16.7,2,derrell-johnson-koulianos-1
43,Ladarius Green,Louisiana,Sun Belt,9,32,533,16.7,2,,,,,32,533,16.7,2,ladarius-green-1
44,Darvin Adams*,Auburn,SEC,13,60,997,16.6,10,,,,,60,997,16.6,10,darvin-adams-1
45,Alshon Jeffery*,South Carolina,SEC,13,46,763,16.6,6,,,,,46,763,16.6,6,alshon-jeffery-1
46,Jarius Wright*,Arkansas,SEC,13,41,681,16.6,5,,,,,41,681,16.6,5,jarius-wright-1
47,Derek Moye*,Penn State,Big Ten,13,48,785,16.4,6,1,-3,-3.0,0,49,782,16.0,6,derek-moye-1
48,Dennis Morris,Louisiana Tech,WAC,12,38,623,16.4,12,,,,,38,623,16.4,12,dennis-morris-1
49,Frantrell Forrest,UAB,CUSA,11,34,558,16.4,9,7,71,10.1,0,41,629,15.3,9,frantrell-forrest-1
50,Shay Hodge*,Ole Miss,SEC,13,70,1135,16.2,8,,,,,70,1135,16.2,8,shay-hodge-1
51,Ryan Whalen*,Stanford,Pac-10,13,57,926,16.2,4,,,,,57,926,16.2,4,ryan-whalen-1
52,Andrew Brewer*,Northwestern,Big Ten,13,57,925,16.2,9,,,,,57,925,16.2,9,andrew-brewer-1
53,Golden Tate,Notre Dame,Ind,12,93,1496,16.1,15,25,186,7.4,2,118,1682,14.3,17,golden-tate-1
54,Donovan Varner,Duke,ACC,12,65,1047,16.1,8,,,,,65,1047,16.1,8,donovan-varner-1
55,Isaac Anderson*,Wisconsin,Big Ten,13,30,480,16.0,2,4,49,12.3,1,34,529,15.6,3,isaac-anderson-1
56,Dezmon Briscoe,Kansas,Big 12,11,84,1337,15.9,9,2,19,9.5,1,86,1356,15.8,10,dezmon-briscoe-1
57,Danario Alexander*,Missouri,Big 12,13,113,1781,15.8,14,1,10,10.0,0,114,1791,15.7,14,danario-alexander-1
58,Dane Sanzenbacher*,Ohio State,Big Ten,13,36,570,15.8,6,2,8,4.0,0,38,578,15.2,6,dane-sanzenbacher-1
59,Jimmy Young*,TCU,MWC,13,33,517,15.7,3,,,,,33,517,15.7,3,jimmy-young-1
60,Chastin West*,Fresno State,WAC,13,30,472,15.7,2,1,-1,-1.0,0,31,471,15.2,2,chastin-west-1
61,Brandon Caleb*,Oklahoma,Big 12,11,26,408,15.7,2,,,,,26,408,15.7,2,brandon-caleb-1
62,Chris Duvalt,Illinois,Big Ten,12,23,361,15.7,3,2,-4,-2.0,0,25,357,14.3,3,chris-duvalt-1
63,Terrence McCrae*,Ohio,MAC,14,35,545,15.6,9,,,,,35,545,15.6,9,terrence-mccrae-1
64,Verran Tucker*,California,Pac-10,13,29,453,15.6,1,,,,,29,453,15.6,1,verran-tucker-1
65,Jerrel Jernigan*,Troy,Sun Belt,13,71,1101,15.5,4,40,266,6.7,1,111,1367,12.3,5,jerrel-jernigan-1
66,Chris McClover*,Middle Tennessee State,Sun Belt,12,35,541,15.5,5,,,,,35,541,15.5,5,chris-mcclover-1
67,Greg Ellingson,Florida International,Sun Belt,12,34,528,15.5,4,,,,,34,528,15.5,4,greg-ellingson-1
68,Michael Campbell*,Temple,MAC,13,27,419,15.5,3,,,,,27,419,15.5,3,michael-campbell-1
69,Alejandro Villanueva,Army,Ind,12,34,522,15.4,5,,,,,34,522,15.4,5,alejandro-villanueva-1
70,Jeffery Anderson,UAB,CUSA,12,26,398,15.3,5,,,,,26,398,15.3,5,jeffery-anderson-1
