
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Shun White*,Navy,Ind,13,132,1092,8.3,8,4,92,23.0,1,136,1184,8.7,9,shun-white-1
2,Jahvid Best*,California,Pac-10,12,194,1580,8.1,15,27,246,9.1,1,221,1826,8.3,16,jahvid-best-1
3,Joe McKnight*,USC,Pac-10,11,89,659,7.4,2,21,193,9.2,1,110,852,7.7,3,joe-mcknight-1
4,Legarrette Blount*,Oregon,Pac-10,13,137,1002,7.3,17,2,2,1.0,0,139,1004,7.2,17,legarrette-blount-1
5,Michael Desormeaux,Louisiana,Sun Belt,11,144,1035,7.2,5,,,,,144,1035,7.2,5,michael-desormeaux-1
6,Derek Lawson,Arkansas State,Sun Belt,12,97,695,7.2,4,1,4,4.0,0,98,699,7.1,4,derek-lawson-1
7,Jeremiah Johnson*,Oregon,Pac-10,13,168,1201,7.1,13,8,75,9.4,0,176,1276,7.3,13,jeremiah-johnson-1
8,Jonathan Dwyer*,Georgia Tech,ACC,13,200,1395,7.0,12,8,209,26.1,1,208,1604,7.7,13,jonathan-dwyer-1
9,Colin Kaepernick*,Nevada,WAC,13,161,1130,7.0,17,,,,,161,1130,7.0,17,colin-kaepernick-1
10,Lonyae Miller*,Fresno State,WAC,12,120,812,6.8,7,,,,,120,812,6.8,7,lonyae-miller-1
11,Baron Batch*,Texas Tech,Big 12,13,113,758,6.7,7,45,449,10.0,1,158,1207,7.6,8,baron-batch-1
12,Keith Toston*,Oklahoma State,Big 12,13,102,686,6.7,9,8,62,7.8,0,110,748,6.8,9,keith-toston-1
13,Marcus Thigpen,Indiana,Big Ten,12,94,631,6.7,7,13,235,18.1,2,107,866,8.1,9,marcus-thigpen-1
14,Kendall Hunter*,Oklahoma State,Big 12,13,241,1555,6.5,16,22,198,9.0,1,263,1753,6.7,17,kendall-hunter-1
15,Evan Royster*,Penn State,Big Ten,13,191,1236,6.5,12,17,155,9.1,0,208,1391,6.7,12,evan-royster-1
16,Vai Taua*,Nevada,WAC,13,236,1521,6.4,15,30,243,8.1,3,266,1764,6.6,18,vai-taua-1
17,Julian Edelman,Kent State,MAC,12,215,1370,6.4,13,1,11,11.0,0,216,1381,6.4,13,julian-edelman-1
18,Roy Helu Jr.*,Nebraska,Big 12,12,125,803,6.4,7,25,266,10.6,0,150,1069,7.1,7,roy-helu-jr-1
19,Noel Devine*,West Virginia,Big East,13,206,1289,6.3,4,35,185,5.3,0,241,1474,6.1,4,noel-devine-1
20,Bryce Beall*,Houston,CUSA,13,198,1247,6.3,13,34,496,14.6,4,232,1743,7.5,17,bryce-beall-1
21,Charles Pierre,Florida Atlantic,Sun Belt,13,161,1014,6.3,8,1,5,5.0,0,162,1019,6.3,8,charles-pierre-1
22,Tarrion Adams*,Tulsa,CUSA,14,247,1523,6.2,14,23,213,9.3,1,270,1736,6.4,15,tarrion-adams-1
23,Princeton McCarty,Idaho,WAC,12,77,480,6.2,3,9,60,6.7,0,86,540,6.3,3,princeton-mccarty-1
24,Tyrell Fenroy,Louisiana,Sun Belt,12,226,1375,6.1,19,24,259,10.8,0,250,1634,6.5,19,tyrell-fenroy-1
25,Shonn Greene*,Iowa,Big Ten,13,307,1850,6.0,20,8,49,6.1,0,315,1899,6.0,20,shonn-greene-1
