
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Kenton Keith,New Mexico State,Big West,11,109,849,7.8,4,6,16,2.7,0,115,865,7.5,4,kenton-keith-1
2,Levron Williams,Indiana,Big Ten,10,116,821,7.1,10,20,116,5.8,0,136,937,6.9,10,levron-williams-1
3,Correll Buckhalter,Nebraska,Big 12,11,106,750,7.1,7,5,85,17.0,1,111,835,7.5,8,correll-buckhalter-1
4,Deonce Whitaker,San Jose State,WAC,10,224,1577,7.0,15,3,37,12.3,1,227,1614,7.1,16,deonce-whitaker-1
5,Dwone Hicks,Middle Tennessee State,Ind,11,186,1277,6.9,19,19,181,9.5,2,205,1458,7.1,21,dwone-hicks-1
6,James Mungro,Syracuse,Big East,10,115,797,6.9,7,12,157,13.1,0,127,954,7.5,7,james-mungro-1
7,Damien Anderson*,Northwestern,Big Ten,12,311,2063,6.6,23,19,132,6.9,0,330,2195,6.7,23,damien-anderson-1
8,Chris Barnes,New Mexico State,Big West,11,171,1131,6.6,5,8,72,9.0,0,179,1203,6.7,5,chris-barnes-1
9,Dan Alexander,Nebraska,Big 12,11,182,1154,6.3,8,2,17,8.5,0,184,1171,6.4,8,dan-alexander-1
10,Rich Alexis,Washington,Pac-10,11,118,738,6.3,9,5,38,7.6,0,123,776,6.3,9,rich-alexis-1
11,Clinton Portis,Miami (FL),Big East,8,77,485,6.3,2,5,103,20.6,0,82,588,7.2,2,clinton-portis-1
12,William Green,Boston College,Big East,11,187,1164,6.2,14,6,78,13.0,1,193,1242,6.4,15,william-green-1
13,Dicenzo Miller,Mississippi State,SEC,11,161,996,6.2,10,24,344,14.3,2,185,1340,7.2,12,dicenzo-miller-1
14,Michael Wallace,Army,CUSA,10,192,1157,6.0,11,24,187,7.8,1,216,1344,6.2,12,michael-wallace-1
15,Dee Brown,Syracuse,Big East,11,172,1031,6.0,9,14,90,6.4,2,186,1121,6.0,11,dee-brown-2
16,Chester Taylor,Toledo,MAC,11,250,1470,5.9,18,17,129,7.6,1,267,1599,6.0,19,chester-taylor-1
17,Nate Scott,Wyoming,MWC,10,110,645,5.9,5,14,113,8.1,1,124,758,6.1,6,nate-scott-1
18,Michael Vick,Virginia Tech,Big East,10,104,617,5.9,8,,,,,104,617,5.9,8,michael-vick-1
19,Scott McKay,Air Force,MWC,11,80,472,5.9,3,11,181,16.5,1,91,653,7.2,4,scott-mckay-1
20,LaDainian Tomlinson,TCU,WAC,11,369,2158,5.8,22,10,40,4.0,0,379,2198,5.8,22,ladainian-tomlinson-1
21,Antwaan Randle El,Indiana,Big Ten,11,218,1270,5.8,13,,,,,218,1270,5.8,13,antwaan-randle-el-1
22,Jamel Patterson,Ohio,MAC,11,114,660,5.8,7,2,33,16.5,0,116,693,6.0,7,jamel-patterson-1
23,James Fenderson,Hawaii,WAC,11,113,651,5.8,7,30,216,7.2,1,143,867,6.1,8,james-fenderson-1
24,Qualario Brown,Air Force,MWC,10,84,483,5.8,4,8,95,11.9,2,92,578,6.3,6,qualario-brown-1
25,Anthony Young,Wake Forest,ACC,9,79,455,5.8,3,,,,,79,455,5.8,3,anthony-young-1
26,Derek Watson*,South Carolina,SEC,11,187,1066,5.7,11,21,193,9.2,0,208,1259,6.1,11,derek-watson-1
27,Eric Crouch,Nebraska,Big 12,11,169,971,5.7,20,,,,,169,971,5.7,20,eric-crouch-1
28,Terrance Howard,Notre Dame,Ind,11,75,424,5.7,4,8,77,9.6,0,83,501,6.0,4,terrance-howard-1
29,T.J. Duckett,Michigan State,Big Ten,11,240,1353,5.6,7,8,39,4.9,0,248,1392,5.6,7,tj-duckett-1
30,Jeremi Rudolph,UNLV,MWC,12,178,1005,5.6,9,6,44,7.3,0,184,1049,5.7,9,jeremi-rudolph-1
