
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Reggie Bush*,USC,Pac-10,13,200,1740,8.7,16,37,478,12.9,2,237,2218,9.4,18,reggie-bush-1
2,George Stripling*,Louisville,Big East,12,79,621,7.9,7,1,14,14.0,0,80,635,7.9,7,george-stripling-1
3,Justin Forsett*,California,Pac-10,12,132,999,7.6,6,7,68,9.7,0,139,1067,7.7,6,justin-forsett-1
4,Nate Ilaoa,Hawaii,WAC,12,85,643,7.6,6,36,274,7.6,1,121,917,7.6,7,nate-ilaoa-1
5,Jamaal Charles*,Texas,Big 12,13,119,878,7.4,11,14,157,11.2,2,133,1035,7.8,13,jamaal-charles-1
6,Pat White*,West Virginia,Big East,12,131,952,7.3,7,,,,,131,952,7.3,7,pat-white-1
7,Reggie McNeal,Texas A&amp;M,Big 12,10,96,664,6.9,3,,,,,96,664,6.9,3,reggie-mcneal-1
8,Vince Young*,Texas,Big 12,13,155,1050,6.8,12,,,,,155,1050,6.8,12,vince-young-1
9,Javon Ringer,Michigan State,Big Ten,11,122,817,6.7,5,19,138,7.3,0,141,955,6.8,5,javon-ringer-1
10,Yonus Davis,San Jose State,WAC,10,95,638,6.7,4,7,48,6.9,0,102,686,6.7,4,yonus-davis-1
11,Lendale White*,USC,Pac-10,13,197,1302,6.6,24,14,219,15.6,2,211,1521,7.2,26,lendale-white-1
12,Courtney Lewis,Texas A&amp;M,Big 12,9,109,723,6.6,7,9,106,11.8,1,118,829,7.0,8,courtney-lewis-1
13,Garrett Wolfe,Northern Illinois,MAC,9,242,1580,6.5,16,20,222,11.1,1,262,1802,6.9,17,garrett-wolfe-1
14,Shermar Bracey*,Arkansas State,Sun Belt,10,107,699,6.5,5,12,124,10.3,1,119,823,6.9,6,shermar-bracey-1
15,Marshawn Lynch*,California,Pac-10,10,196,1246,6.4,10,15,125,8.3,0,211,1371,6.5,10,marshawn-lynch-1
16,Quinton Smith,Rice,CUSA,11,140,902,6.4,5,7,40,5.7,1,147,942,6.4,6,quinton-smith-1
17,Tarrion Adams*,Tulsa,CUSA,13,89,574,6.4,8,24,273,11.4,2,113,847,7.5,10,tarrion-adams-1
18,DeAngelo Williams*,Memphis,CUSA,11,310,1964,6.3,18,12,78,6.5,1,322,2042,6.3,19,deangelo-williams-1
19,Darren McFadden,Arkansas,SEC,11,176,1113,6.3,11,14,52,3.7,0,190,1165,6.1,11,darren-mcfadden-1
20,Felix Jones,Arkansas,SEC,11,99,626,6.3,3,8,100,12.5,0,107,726,6.8,3,felix-jones-1
21,Jerome Harrison,Washington State,Pac-10,11,308,1900,6.2,16,24,206,8.6,1,332,2106,6.3,17,jerome-harrison-1
22,Antonio Warren*,Arkansas State,Sun Belt,10,173,1066,6.2,6,7,49,7.0,0,180,1115,6.2,6,antonio-warren-1
23,Gary Russell*,Minnesota,Big Ten,12,186,1130,6.1,18,16,168,10.5,1,202,1298,6.4,19,gary-russell-1
24,Ryan Gilbert*,Houston,CUSA,12,170,1037,6.1,9,21,237,11.3,1,191,1274,6.7,10,ryan-gilbert-1
25,Adam Ballard*,Navy,Ind,12,109,668,6.1,6,5,78,15.6,0,114,746,6.5,6,adam-ballard-1
26,Tony Hunt*,Penn State,Big Ten,12,174,1047,6.0,6,20,206,10.3,0,194,1253,6.5,6,tony-hunt-1
27,Amir Pinnix*,Minnesota,Big Ten,10,78,467,6.0,1,,,,,78,467,6.0,1,amir-pinnix-1
28,Tyrell Sutton*,Northwestern,Big Ten,12,250,1474,5.9,16,44,396,9.0,2,294,1870,6.4,18,tyrell-sutton-1
29,Jerious Norwood,Mississippi State,SEC,11,191,1136,5.9,6,19,96,5.1,2,210,1232,5.9,8,jerious-norwood-1
30,Tyrell Fenroy,Louisiana,Sun Belt,11,179,1053,5.9,12,6,37,6.2,0,185,1090,5.9,12,tyrell-fenroy-1
31,Taurean Henderson*,Texas Tech,Big 12,12,148,872,5.9,17,67,528,7.9,5,215,1400,6.5,22,taurean-henderson-1
32,Aaron Brown*,TCU,MWC,11,128,758,5.9,6,11,146,13.3,3,139,904,6.5,9,aaron-brown-2
33,Robert Hubbard*,Nevada,WAC,12,122,719,5.9,11,12,112,9.3,2,134,831,6.2,13,robert-hubbard-1
