
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Jhurell Pressley,New Mexico,MWC,12,114,1083,9.5,12,7,64,9.1,0,121,1147,9.5,12,jhurell-pressley-1
2,Matt Breida,Georgia Southern,Sun Belt,12,171,1485,8.7,17,8,97,12.1,1,179,1582,8.8,18,matt-breida-1
3,Devon Johnson*,Marshall,CUSA,13,206,1767,8.6,17,6,121,20.2,2,212,1888,8.9,19,devon-johnson-1
4,Kareem Hunt*,Toledo,MAC,10,205,1631,8.0,16,9,39,4.3,0,214,1670,7.8,16,kareem-hunt-1
5,Elijah McGuire*,Louisiana,Sun Belt,13,166,1264,7.6,14,45,468,10.4,2,211,1732,8.2,16,elijah-mcguire-1
6,Melvin Gordon*,Wisconsin,Big Ten,14,343,2587,7.5,29,19,153,8.1,3,362,2740,7.6,32,melvin-gordon-1
7,Tevin Coleman,Indiana,Big Ten,12,270,2036,7.5,15,25,141,5.6,0,295,2177,7.4,15,tevin-coleman-1
8,Steward Butler*,Marshall,CUSA,12,107,798,7.5,7,3,21,7.0,0,110,819,7.4,7,steward-butler-1
9,Noah Copeland*,Navy,Ind,13,129,952,7.4,5,3,65,21.7,1,132,1017,7.7,6,noah-copeland-1
10,Todd Gurley*,Georgia,SEC,6,123,911,7.4,9,12,57,4.8,0,135,968,7.2,9,todd-gurley-1
11,Nick Chubb*,Georgia,SEC,13,219,1547,7.1,14,18,213,11.8,2,237,1760,7.4,16,nick-chubb-1
12,Ray Lawry,Old Dominion,CUSA,12,134,947,7.1,16,17,155,9.1,0,151,1102,7.3,16,ray-lawry-1
13,Aaron Green*,TCU,Big 12,13,129,922,7.1,9,19,166,8.7,2,148,1088,7.4,11,aaron-green-1
14,Ezekiel Elliott*,Ohio State,Big Ten,15,273,1878,6.9,18,28,220,7.9,0,301,2098,7.0,18,ezekiel-elliott-1
