
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Brennan Marion*,Tulsa,CUSA,13,43,1112,25.9,8,1,-6,-6.0,0,44,1106,25.1,8,brennan-marion-1
2,T.Y. Hilton,Florida International,Sun Belt,12,41,1013,24.7,7,14,43,3.1,2,55,1056,19.2,9,ty-hilton-1
3,Owen Spencer*,North Carolina State,ACC,13,31,691,22.3,5,1,4,4.0,0,32,695,21.7,5,owen-spencer-1
4,Tim Brown*,Rutgers,Big East,13,27,565,20.9,6,6,34,5.7,1,33,599,18.2,7,tim-brown-1
5,Mike Wallace*,Ole Miss,SEC,13,39,784,20.1,7,10,92,9.2,0,49,876,17.9,7,mike-wallace-1
6,Kris Adams,UTEP,CUSA,12,50,958,19.2,14,,,,,50,958,19.2,14,kris-adams-1
7,Mark Dell*,Michigan State,Big Ten,11,36,679,18.9,3,,,,,36,679,18.9,3,mark-dell-1
8,Marko Mitchell*,Nevada,WAC,13,61,1141,18.7,10,4,45,11.3,0,65,1186,18.2,10,marko-mitchell-1
9,Golden Tate*,Notre Dame,Ind,13,58,1080,18.6,10,5,37,7.4,1,63,1117,17.7,11,golden-tate-1
10,Hakeem Nicks*,North Carolina,ACC,13,68,1222,18.0,12,5,34,6.8,1,73,1256,17.2,13,hakeem-nicks-1
11,Rashaun Greer*,Colorado State,MWC,13,63,1114,17.7,3,1,5,5.0,0,64,1119,17.5,3,rashaun-greer-1
12,Aldrick Robinson,SMU,CUSA,10,59,1047,17.7,11,,,,,59,1047,17.7,11,aldrick-robinson-1
13,Malcolm Lane*,Hawaii,WAC,14,35,613,17.5,6,,,,,35,613,17.5,6,malcolm-lane-1
14,Quentin Chaney*,Oklahoma,Big 12,14,29,504,17.4,2,,,,,29,504,17.4,2,quentin-chaney-1
15,Jason Harper,Temple,MAC,12,33,571,17.3,3,5,24,4.8,0,38,595,15.7,3,jason-harper-1
16,Ronald Johnson*,USC,Pac-10,13,33,570,17.3,8,6,32,5.3,0,39,602,15.4,8,ronald-johnson-2
17,A.J. Green*,Georgia,SEC,13,56,963,17.2,8,4,61,15.3,0,60,1024,17.1,8,aj-green-1
18,Deon Butler*,Penn State,Big Ten,13,47,810,17.2,7,1,5,5.0,0,48,815,17.0,7,deon-butler-1
19,Louis Murphy*,Florida,SEC,14,38,655,17.2,7,2,7,3.5,0,40,662,16.6,7,louis-murphy-1
20,L.J. Castile*,Houston,CUSA,13,31,531,17.1,8,,,,,31,531,17.1,8,lj-castile-1
21,David Reed*,Utah,MWC,13,25,427,17.1,6,1,15,15.0,1,26,442,17.0,7,david-reed-1
22,Dez Bryant*,Oklahoma State,Big 12,13,87,1480,17.0,19,,,,,87,1480,17.0,19,dez-bryant-1
23,Manuel Johnson*,Oklahoma,Big 12,13,42,714,17.0,9,2,4,2.0,0,44,718,16.3,9,manuel-johnson-1
24,Darius Passmore,Marshall,CUSA,12,56,945,16.9,7,21,195,9.3,1,77,1140,14.8,8,darius-passmore-1
25,Seyi Ajirotutu*,Fresno State,WAC,13,47,795,16.9,5,0,0,,1,47,795,16.9,6,seyi-ajirotutu-1
26,Dion Morton*,Colorado State,MWC,13,51,859,16.8,10,14,129,9.2,2,65,988,15.2,12,dion-morton-1
27,Darius Hill*,Ball State,MAC,14,40,670,16.8,7,,,,,40,670,16.8,7,darius-hill-1
28,David Gilreath*,Wisconsin,Big Ten,13,31,520,16.8,3,25,285,11.4,2,56,805,14.4,5,david-gilreath-1
29,Deandre Brown*,Southern Mississippi,CUSA,13,67,1117,16.7,12,1,2,2.0,0,68,1119,16.5,12,deandre-brown-1
30,Jimmy Young*,TCU,MWC,13,59,988,16.7,5,1,7,7.0,0,60,995,16.6,5,jimmy-young-1
