
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
382,D.J. Banks,Tulane,CUSA,12,47,419,8.9,3,18,83,4.6,2,65,502,7.7,5,dj-banks-1
383,Tevin Reese*,Baylor,Big 12,13,45,401,8.9,0,2,13,6.5,0,47,414,8.8,0,tevin-reese-1
384,Chandler Jones,San Jose State,WAC,13,54,474,8.8,1,4,16,4.0,0,58,490,8.4,1,chandler-jones-1
385,Lyle Fitte,Louisiana Tech,WAC,12,25,219,8.8,0,12,57,4.8,1,37,276,7.5,1,lyle-fitte-1
386,William Spight*,Southern Mississippi,CUSA,13,25,219,8.8,0,,,,,25,219,8.8,0,william-spight-1
387,Antwon Bailey*,Syracuse,Big East,13,35,306,8.7,3,114,554,4.9,2,149,860,5.8,5,antwon-bailey-1
388,Preston Davis,Idaho,WAC,12,31,267,8.6,1,,,,,31,267,8.6,1,preston-davis-1
389,Chris Rainey*,Florida,SEC,8,25,216,8.6,3,51,366,7.2,2,76,582,7.7,5,chris-rainey-1
390,Michael Egnew*,Missouri,Big 12,13,90,762,8.5,5,,,,,90,762,8.5,5,michael-egnew-1
391,Demarco Murray*,Oklahoma,Big 12,14,71,594,8.4,5,282,1214,4.3,15,353,1808,5.1,20,demarco-murray-1
392,DeMarco Paine*,Miami (OH),MAC,14,32,270,8.4,0,2,-16,-8.0,0,34,254,7.5,0,demarco-paine-1
393,Chuck Walker,Marshall,CUSA,11,26,219,8.4,1,1,2,2.0,0,27,221,8.2,1,chuck-walker-2
394,Deonte Jackson,Idaho,WAC,13,25,211,8.4,1,113,442,3.9,4,138,653,4.7,5,deonte-jackson-1
395,Jon Williams*,East Carolina,CUSA,13,52,431,8.3,1,154,847,5.5,10,206,1278,6.2,11,jon-williams-1
396,Tramain Swindall*,Texas Tech,Big 12,13,33,271,8.2,1,,,,,33,271,8.2,1,tramain-swindall-1
397,Ben Guidugli,Cincinnati,Big East,11,24,197,8.2,2,,,,,24,197,8.2,2,ben-guidugli-1
398,Daymond Patterson,Kansas,Big 12,12,60,487,8.1,2,8,55,6.9,0,68,542,8.0,2,daymond-patterson-1
399,Jamal Miles,Arizona State,Pac-10,12,25,203,8.1,4,27,63,2.3,2,52,266,5.1,6,jamal-miles-1
400,Kenny Turner,New Mexico State,WAC,10,25,203,8.1,0,115,461,4.0,2,140,664,4.7,2,kenny-turner-1
401,Evan Royster*,Penn State,Big Ten,13,25,202,8.1,1,208,1014,4.9,6,233,1216,5.2,7,evan-royster-1
402,Eddie Wide*,Utah,MWC,13,34,271,8.0,2,149,717,4.8,11,183,988,5.4,13,eddie-wide-1
403,Dion Lewis*,Pitt,Big East,12,27,216,8.0,0,219,1061,4.8,13,246,1277,5.2,13,dion-lewis-1
