
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Dan Sheldon*,Northern Illinois,MAC,12,40,936,23.4,9,7,74,10.6,0,47,1010,21.5,9,dan-sheldon-1
2,Roosevelt Bynes,Florida Atlantic,Sun Belt,10,27,627,23.2,4,1,1,1.0,0,28,628,22.4,4,roosevelt-bynes-1
3,Jason Hill,Washington State,Pac-10,11,45,1007,22.4,12,,,,,45,1007,22.4,12,jason-hill-1
4,Chad Jackson*,Florida,SEC,12,29,648,22.3,6,1,1,1.0,0,30,649,21.6,6,chad-jackson-1
5,Ernie Wheelwright*,Minnesota,Big Ten,12,30,654,21.8,7,,,,,30,654,21.8,7,ernie-wheelwright-1
6,Todd Blythe*,Iowa State,Big 12,12,39,833,21.4,9,1,6,6.0,0,40,839,21.0,9,todd-blythe-1
7,Johnny Peyton,South Florida,CUSA,11,22,469,21.3,2,,,,,22,469,21.3,2,johnny-peyton-1
8,Tramissian Davis,Louisiana Tech,WAC,12,25,527,21.1,3,,,,,25,527,21.1,3,tramissian-davis-1
9,D'Juan Woods*,Oklahoma State,Big 12,12,33,690,20.9,6,1,-5,-5.0,0,34,685,20.1,6,djuan-woods-1
10,Bradley Chavez*,UAB,CUSA,12,24,497,20.7,2,0,0,,0,24,497,20.7,2,bradly-chavez-1
11,Johnnie Lee Higgins Jr.*,UTEP,WAC,12,34,700,20.6,10,,,,,34,700,20.6,10,johnnie-lee-higgins-jr-1
12,Roddy White*,UAB,CUSA,12,71,1452,20.5,14,,,,,71,1452,20.5,14,roddy-white-1
13,Todd Watkins,Brigham Young,MWC,11,52,1042,20.0,6,1,-4,-4.0,0,53,1038,19.6,6,todd-watkins-1
14,Troy Williamson,South Carolina,SEC,11,43,835,19.4,7,4,30,7.5,0,47,865,18.4,7,troy-williamson-1
15,Leonard Pope*,Georgia,SEC,12,25,482,19.3,6,,,,,25,482,19.3,6,leonard-pope-1
