
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
16,Greg Lee*,Pitt,Big East,12,68,1297,19.1,10,,,,,68,1297,19.1,10,greg-lee-1
17,Reggie Harrell,TCU,CUSA,9,32,595,18.6,4,,,,,32,595,18.6,4,reggie-harrell-1
18,Dustin Osborn,Colorado State,MWC,11,30,555,18.5,3,,,,,30,555,18.5,3,dustin-osborn-1
19,Robert Meachem*,Tennessee,SEC,13,25,459,18.4,4,3,0,0.0,0,28,459,16.4,4,robert-meachem-1
20,Josh Hyman*,Virginia Tech,ACC,13,27,491,18.2,5,1,16,16.0,0,28,507,18.1,5,josh-hyman-1
21,Jason Samples*,Troy,Sun Belt,12,38,687,18.1,6,1,21,21.0,0,39,708,18.2,6,jason-samples-1
22,Chris Bush,Tulane,CUSA,11,37,665,18.0,7,2,1,0.5,0,39,666,17.1,7,chris-bush-1
23,Steve Sanders*,Bowling Green State,MAC,12,55,984,17.9,8,1,20,20.0,0,56,1004,17.9,8,steve-sanders-1
24,Scott Mayle,Ohio,MAC,10,33,583,17.7,4,13,70,5.4,0,46,653,14.2,4,scott-mayle-1
25,Calvin Johnson*,Georgia Tech,ACC,12,48,837,17.4,7,3,10,3.3,1,51,847,16.6,8,calvin-johnson-1
26,Erik Gill*,Pitt,Big East,12,25,433,17.3,4,,,,,25,433,17.3,4,erik-gill-1
27,T.J. Acree*,Boise State,WAC,12,55,947,17.2,8,,,,,55,947,17.2,8,tj-acree-1
28,Drouzon Quillen,Louisiana-Monroe,Sun Belt,11,44,758,17.2,7,,,,,44,758,17.2,7,drouzon-quillen-1
29,David Thomas*,Texas,Big 12,12,25,430,17.2,5,,,,,25,430,17.2,5,david-thomas-1
30,Jovon Bouknight*,Wyoming,MWC,12,63,1075,17.1,7,11,78,7.1,0,74,1153,15.6,7,jovon-bouknight-1
31,Courtney Taylor*,Auburn,SEC,13,43,737,17.1,6,3,56,18.7,0,46,793,17.2,6,courtney-taylor-1
32,Vincent Marshall,Houston,CUSA,11,61,1040,17.0,5,8,8,1.0,0,69,1048,15.2,5,vincent-marshall-1
33,Chris Francies*,UTEP,WAC,12,33,558,16.9,4,,,,,33,558,16.9,4,chris-francies-1
34,Hank Baskett*,New Mexico,MWC,12,54,908,16.8,3,1,2,2.0,0,55,910,16.5,3,hank-baskett-1
35,Chris Henry*,West Virginia,Big East,11,52,872,16.8,12,1,2,2.0,0,53,874,16.5,12,chris-henry-3
36,Eddie Royal*,Virginia Tech,ACC,12,28,470,16.8,3,1,11,11.0,1,29,481,16.6,4,eddie-royal-1
37,Steven Harris,Arkansas,SEC,11,37,617,16.7,4,2,5,2.5,0,39,622,15.9,4,steven-harris-1
38,Sean Coffey,Missouri,Big 12,11,39,648,16.6,10,,,,,39,648,16.6,10,sean-coffey-1
39,David Anderson,Colorado State,MWC,11,57,940,16.5,2,1,-5,-5.0,0,58,935,16.1,2,david-anderson-1
40,Fred Gibson*,Georgia,SEC,12,49,801,16.3,7,1,11,11.0,0,50,812,16.2,7,fred-gibson-1
41,Broderick Clark*,Louisville,CUSA,10,27,441,16.3,4,1,6,6.0,0,28,447,16.0,4,broderick-clark-1
42,Vernon Davis,Maryland,ACC,11,27,441,16.3,3,1,-2,-2.0,0,28,439,15.7,3,vernon-davis-1
43,Charles Sharon*,Bowling Green State,MAC,12,66,1070,16.2,15,,,,,66,1070,16.2,15,charles-sharon-1
44,Reggie Brown*,Georgia,SEC,12,53,860,16.2,6,4,35,8.8,0,57,895,15.7,6,reggie-brown-2
45,Anthony Crissinger-Hill,Florida Atlantic,Sun Belt,7,46,746,16.2,5,0,0,,0,46,746,16.2,5,anthony-crissinger-hill-1
46,Larry Taylor,Florida Atlantic,Sun Belt,10,25,405,16.2,2,1,3,3.0,0,26,408,15.7,2,larry-taylor-2
47,Hannibal Thomas*,Cincinnati,CUSA,12,64,1028,16.1,9,2,24,12.0,0,66,1052,15.9,9,hannibal-thomas-1
48,Roscoe Parrish*,Miami (FL),ACC,12,43,693,16.1,8,9,60,6.7,0,52,753,14.5,8,roscoe-parrish-1
49,Brittney Tellis,Florida Atlantic,Sun Belt,12,23,371,16.1,2,1,16,16.0,0,24,387,16.1,2,brittney-tellis-1
50,Mike Hass*,Oregon State,Pac-10,12,86,1379,16.0,7,,,,,86,1379,16.0,7,mike-hass-1
51,Johnny Quinn*,North Texas,Sun Belt,12,49,785,16.0,9,,,,,49,785,16.0,9,johnny-quinn-1
52,Andre Caldwell*,Florida,SEC,12,43,689,16.0,3,2,66,33.0,1,45,755,16.8,4,andre-caldwell-1
53,Blake Mackey*,Colorado,Big 12,13,28,449,16.0,1,3,18,6.0,0,31,467,15.1,1,blake-mackey-1
54,Roydell Williams,Tulane,CUSA,10,52,826,15.9,12,1,-7,-7.0,0,53,819,15.5,12,roydell-williams-1
55,Evan Moore,Stanford,Pac-10,11,39,616,15.8,6,,,,,39,616,15.8,6,evan-moore-1
56,Marlon White,Vanderbilt,SEC,11,29,457,15.8,2,,,,,29,457,15.8,2,marlon-white-1
57,Dallas Baker*,Florida,SEC,12,26,410,15.8,5,,,,,26,410,15.8,5,dallas-baker-1
58,Steve Smith*,USC,Pac-10,8,42,660,15.7,6,1,-1,-1.0,0,43,659,15.3,6,steve-smith-2
59,Jerome Stegall,Arkansas State,Sun Belt,11,25,392,15.7,3,6,25,4.2,0,31,417,13.5,3,jerome-stegall-1
60,Clinton Solomon*,Iowa,Big Ten,12,58,905,15.6,6,,,,,58,905,15.6,6,clinton-solomon-1
61,Bobby Chase,SMU,WAC,11,31,483,15.6,0,,,,,31,483,15.6,0,bobby-chase-1
62,Yamon Figurs,Kansas State,Big 12,11,31,483,15.6,2,2,8,4.0,0,33,491,14.9,2,yamon-figurs-1
63,Owen Daniels*,Wisconsin,Big Ten,12,25,391,15.6,2,,,,,25,391,15.6,2,owen-daniels-1
64,Jarrett Hicks*,Texas Tech,Big 12,12,76,1177,15.5,13,2,20,10.0,0,78,1197,15.3,13,jarrett-hicks-1
65,Chuck Walker,Arkansas State,Sun Belt,11,38,589,15.5,2,2,2,1.0,0,40,591,14.8,2,chuck-walker-1
66,Damien Linson,Central Michigan,MAC,9,37,574,15.5,7,4,-7,-1.8,0,41,567,13.8,7,damien-linson-1
67,Lawrence Bady*,Boise State,WAC,11,30,466,15.5,1,14,115,8.2,2,44,581,13.2,3,lawrence-bady-1
68,Dwayne Jarrett*,USC,Pac-10,13,55,849,15.4,13,,,,,55,849,15.4,13,dwayne-jarrett-1
69,Dorien Bryant*,Purdue,Big Ten,12,38,584,15.4,3,7,85,12.1,1,45,669,14.9,4,dorien-bryant-1
70,Marcus Monk,Arkansas,SEC,11,37,569,15.4,6,,,,,37,569,15.4,6,marcus-monk-1
71,Ashlan Davis,Tulsa,WAC,12,30,462,15.4,1,8,43,5.4,0,38,505,13.3,1,ashlan-davis-1
72,Craig Davis*,LSU,SEC,12,43,659,15.3,1,1,5,5.0,0,44,664,15.1,1,craig-davis-1
73,Dwayne Bowe*,LSU,SEC,11,39,597,15.3,5,1,2,2.0,0,40,599,15.0,5,dwayne-bowe-1
74,Levon Thomas*,Georgia Tech,ACC,12,32,489,15.3,3,2,25,12.5,0,34,514,15.1,3,levon-thomas-1
75,Buchie Ibeh,Temple,Big East,8,22,337,15.3,1,,,,,22,337,15.3,1,buchie-ibeh-1
76,Kenny Higgins*,Toledo,MAC,13,46,697,15.2,5,10,79,7.9,0,56,776,13.9,5,kenny-higgins-1
77,Montrell Jones*,Louisville,CUSA,12,37,564,15.2,3,0,0,,0,37,564,15.2,3,montrell-jones-1
78,Jesse Holley*,North Carolina,ACC,12,30,456,15.2,2,2,4,2.0,0,32,460,14.4,2,jesse-holley-1
79,Travis Latendresse*,Utah,MWC,12,27,411,15.2,2,3,9,3.0,0,30,420,14.0,2,travis-latendresse-1
80,Geoff McArthur*,California,Pac-10,12,57,862,15.1,7,,,,,57,862,15.1,7,geoff-mcarthur-1
81,Terry Richardson*,Arizona State,Pac-10,12,45,679,15.1,6,4,39,9.8,1,49,718,14.7,7,terry-richardson-1
82,Derek Hagan*,Arizona State,Pac-10,12,83,1248,15.0,10,,,,,83,1248,15.0,10,derek-hagan-1
83,Jason Williams*,Connecticut,Big East,12,44,661,15.0,4,2,31,15.5,0,46,692,15.0,4,jason-williams-1
84,Ikey Chuku,Temple,Big East,11,31,464,15.0,3,1,9,9.0,0,32,473,14.8,3,ikey-chuku-1
85,Tim Tolbert,New Mexico State,Sun Belt,11,28,420,15.0,3,,,,,28,420,15.0,3,tim-tolbert-1
86,Nate Morton,Wake Forest,ACC,10,26,391,15.0,1,4,8,2.0,0,30,399,13.3,1,nate-morton-1
87,Eric Deslauriers,Eastern Michigan,MAC,11,84,1252,14.9,13,1,13,13.0,0,85,1265,14.9,13,eric-deslauriers-1
88,Britton Komine*,Hawaii,WAC,13,53,788,14.9,4,,,,,53,788,14.9,4,britton-komine-1
89,J.P. Waller,Air Force,MWC,11,32,476,14.9,3,1,2,2.0,0,33,478,14.5,3,jp-waller-1
90,Syndric Steptoe,Arizona,Pac-10,10,30,446,14.9,3,3,30,10.0,0,33,476,14.4,3,syndric-steptoe-1
91,Greg Jennings,Western Michigan,MAC,11,74,1092,14.8,11,3,12,4.0,0,77,1104,14.3,11,greg-jennings-1
92,Courtney Roby,Indiana,Big Ten,11,55,810,14.7,7,21,135,6.4,2,76,945,12.4,9,courtney-roby-1
93,Chauncey Stovall*,Florida State,ACC,12,53,780,14.7,6,1,-2,-2.0,0,54,778,14.4,6,chauncey-stovall-1
94,Rufus Skillern,San Jose State,WAC,11,40,588,14.7,4,,,,,40,588,14.7,4,rufus-skillern-1
95,Larry Lester*,Boston College,Big East,8,35,515,14.7,2,,,,,35,515,14.7,2,larry-lester-1
96,Michael Robinson,Penn State,Big Ten,9,33,485,14.7,3,49,172,3.5,0,82,657,8.0,3,michael-robinson-1
97,Ryne Robinson*,Miami (OH),MAC,13,64,932,14.6,4,6,-9,-1.5,0,70,923,13.2,4,ryne-robinson-1
98,Michael Larkin*,Miami (OH),MAC,13,57,832,14.6,8,,,,,57,832,14.6,8,michael-larkin-1
99,Kendrick Jones,Illinois,Big Ten,11,47,687,14.6,5,1,7,7.0,0,48,694,14.5,5,kendrick-jones-1
100,Austin Collie,Brigham Young,MWC,11,53,771,14.5,8,6,19,3.2,0,59,790,13.4,8,austin-collie-1
101,Rhema McKnight*,Notre Dame,Ind,12,42,610,14.5,3,,,,,42,610,14.5,3,rhema-mcknight-1
102,Kemmie Lewis,Louisiana,Sun Belt,11,40,578,14.5,1,,,,,40,578,14.5,1,kemmie-lewis-1
103,Shaun Herbert,Northwestern,Big Ten,12,32,465,14.5,1,,,,,32,465,14.5,1,shaun-herbert-1
104,Junior Taylor*,UCLA,Pac-10,12,32,463,14.5,2,,,,,32,463,14.5,2,junior-taylor-1
105,Justin McCullum,Stanford,Pac-10,10,26,376,14.5,1,,,,,26,376,14.5,1,justin-mccullum-1
106,Phil Goodman,Temple,Big East,11,47,677,14.4,5,,,,,47,677,14.4,5,phil-goodman-1
107,Jared Jones*,Syracuse,Big East,12,43,621,14.4,3,3,-8,-2.7,0,46,613,13.3,3,jared-jones-1
108,Joe Fernandez*,Fresno State,WAC,12,38,546,14.4,4,1,7,7.0,0,39,553,14.2,4,joe-fernandez-1
109,Ben Obomanu*,Auburn,SEC,13,25,359,14.4,7,1,7,7.0,0,26,366,14.1,7,ben-obomanu-1
110,Ted Ginn Jr.*,Ohio State,Big Ten,12,25,359,14.4,2,13,113,8.7,2,38,472,12.4,4,ted-ginn-jr-1
111,Steve Fleming,Arizona,Pac-10,11,23,332,14.4,2,,,,,23,332,14.4,2,steve-fleming-1
112,Steve Savoy*,Utah,MWC,12,67,961,14.3,11,22,307,14.0,6,89,1268,14.2,17,steve-savoy-1
113,Grant Adams*,Boston College,Big East,12,52,745,14.3,3,,,,,52,745,14.3,3,grant-adams-1
114,Marques Roberts,Baylor,Big 12,11,40,570,14.3,6,,,,,40,570,14.3,6,marques-roberts-1
115,Tavaris Capers,UCF,MAC,11,36,514,14.3,4,1,-8,-8.0,0,37,506,13.7,4,tavaris-capers-1
116,Matt Knueven,Buffalo,MAC,11,29,415,14.3,1,2,11,5.5,0,31,426,13.7,1,matt-knueven-1
117,Terrance Breaux,Buffalo,MAC,11,23,330,14.3,1,,,,,23,330,14.3,1,terrance-breaux-1
118,Airese Currie,Clemson,ACC,11,61,868,14.2,2,6,8,1.3,0,67,876,13.1,2,airese-currie-1
119,Drisan James*,Boise State,WAC,12,40,568,14.2,1,,,,,40,568,14.2,1,drisan-james-1
120,Joshua Tinch*,Louisville,CUSA,12,36,510,14.2,1,,,,,36,510,14.2,1,joshua-tinch-1
121,Mark Bradford,Stanford,Pac-10,11,34,482,14.2,1,4,44,11.0,0,38,526,13.8,1,mark-bradford-1
122,Nate Curry*,Georgia Tech,ACC,11,32,454,14.2,3,,,,,32,454,14.2,3,nate-curry-1
123,Andy Blount*,North Texas,Sun Belt,12,30,427,14.2,5,,,,,30,427,14.2,5,andy-blount-1
124,Sonny Shackelford,Washington,Pac-10,11,21,298,14.2,1,1,-7,-7.0,0,22,291,13.2,1,sonny-shackelford-1
125,Jared Ellerson*,Minnesota,Big Ten,12,37,521,14.1,3,10,68,6.8,0,47,589,12.5,3,jared-ellerson-1
126,Dan Murray*,Connecticut,Big East,12,28,396,14.1,5,,,,,28,396,14.1,5,dan-murray-1
127,Rod McNeal,Utah State,Sun Belt,10,26,366,14.1,1,29,122,4.2,0,55,488,8.9,1,rod-mcneal-1
128,Jay'Mond Cleveland,SMU,WAC,10,24,339,14.1,0,,,,,24,339,14.1,0,jaymond-cleveland-1
129,Santonio Holmes*,Ohio State,Big Ten,12,55,769,14.0,7,2,19,9.5,0,57,788,13.8,7,santonio-holmes-1
130,Robert Ortiz,San Diego State,MWC,11,52,728,14.0,6,2,-4,-2.0,0,54,724,13.4,6,robert-ortiz-1
131,Antwon Courington*,Southern Mississippi,CUSA,12,47,659,14.0,5,6,39,6.5,0,53,698,13.2,5,antwon-courington-1
132,Paul Dombrowski,New Mexico State,Sun Belt,11,28,392,14.0,4,46,161,3.5,1,74,553,7.5,5,paul-dombrowski-1
133,John Madsen*,Utah,MWC,12,27,377,14.0,5,,,,,27,377,14.0,5,john-madsen-1
134,Tony Pennyman,Utah State,Sun Belt,11,43,598,13.9,2,11,53,4.8,1,54,651,12.1,3,tony-pennyman-1
135,Luther Huggins,UCF,MAC,11,42,585,13.9,3,,,,,42,585,13.9,3,luther-huggins-1
136,Alvin Pearman*,Virginia,ACC,12,29,402,13.9,1,195,1037,5.3,10,224,1439,6.4,11,alvin-pearman-1
137,Chris Baker,Rutgers,Big East,11,28,388,13.9,2,,,,,28,388,13.9,2,chris-baker-3
138,Tyrone Prothro*,Alabama,SEC,12,25,347,13.9,1,13,66,5.1,1,38,413,10.9,2,tyrone-prothro-1
139,Kerry Wright,Middle Tennessee State,Sun Belt,11,76,1048,13.8,11,4,13,3.3,0,80,1061,13.3,11,kerry-wright-1
140,Erik Davis,Vanderbilt,SEC,10,37,510,13.8,3,,,,,37,510,13.8,3,erik-davis-1
141,Andrew Mooney,New Mexico State,Sun Belt,11,27,372,13.8,2,,,,,27,372,13.8,2,andrew-mooney-1
142,Darron White*,Memphis,CUSA,12,26,359,13.8,1,11,12,1.1,0,37,371,10.0,1,darron-white-1
143,Anthony Perine*,Southern Mississippi,CUSA,12,24,332,13.8,1,,,,,24,332,13.8,1,anthony-perine-1
144,Braylon Edwards*,Michigan,Big Ten,12,97,1330,13.7,15,6,61,10.2,0,103,1391,13.5,15,braylon-edwards-1
145,Cory Rodgers,TCU,CUSA,11,61,836,13.7,7,12,35,2.9,2,73,871,11.9,9,cory-rodgers-1
146,Clark Harris,Rutgers,Big East,11,53,725,13.7,5,,,,,53,725,13.7,5,clark-harris-1
147,Kevin Robinson,Utah State,Sun Belt,11,44,602,13.7,3,,,,,44,602,13.7,3,kevin-robinson-1
148,Jacob Murphy,Army,CUSA,10,26,357,13.7,2,1,10,10.0,0,27,367,13.6,2,jacob-murphy-1
149,Will Prosser,Mississippi State,SEC,11,24,328,13.7,0,,,,,24,328,13.7,0,will-prosser-1
150,Bill Sampy,Louisiana,Sun Belt,11,57,776,13.6,6,,,,,57,776,13.6,6,bill-sampy-1
151,Alex Smith,Stanford,Pac-10,11,52,706,13.6,3,,,,,52,706,13.6,3,alex-smith-2
152,Aaron Alexander,Army,CUSA,10,37,505,13.6,4,,,,,37,505,13.6,4,aaron-alexander-3
153,Anthony Fasano*,Notre Dame,Ind,11,27,367,13.6,4,,,,,27,367,13.6,4,anthony-fasano-1
154,Lamart Barrett,North Carolina State,ACC,11,24,326,13.6,0,1,29,29.0,0,25,355,14.2,0,lamart-barrett-1
155,Paris Warren*,Utah,MWC,12,80,1076,13.5,12,28,157,5.6,2,108,1233,11.4,14,paris-warren-2
156,Brandon Smith,Vanderbilt,SEC,11,41,553,13.5,3,4,-13,-3.3,0,45,540,12.0,3,brandon-smith-5
157,Justin Harper,Central Michigan,MAC,11,39,526,13.5,5,,,,,39,526,13.5,5,justin-harper-1
158,Martin Nance*,Miami (OH),MAC,5,25,337,13.5,1,,,,,25,337,13.5,1,martin-nance-1
159,Scott Chandler*,Iowa,Big Ten,12,24,324,13.5,2,,,,,24,324,13.5,2,scott-chandler-1
160,Josh Barge*,Wyoming,MWC,10,23,310,13.5,2,2,8,4.0,0,25,318,12.7,2,josh-barge-1
161,Kevin Everett*,Miami (FL),ACC,11,23,310,13.5,0,1,-3,-3.0,0,24,307,12.8,0,kevin-everett-1
162,Domenik Hixon,Akron,MAC,11,66,882,13.4,6,,,,,66,882,13.4,6,domenik-hixon-1
163,Craig Bragg*,UCLA,Pac-10,9,36,483,13.4,4,1,2,2.0,0,37,485,13.1,4,craig-bragg-1
164,Jayson Swain*,Tennessee,SEC,13,29,388,13.4,4,,,,,29,388,13.4,4,jayson-swain-1
165,Bo Scaife*,Texas,Big 12,12,26,348,13.4,2,0,0,,1,26,348,13.4,3,bo-scaife-1
166,Jahkeen Gilmore,Indiana,Big Ten,9,23,308,13.4,2,1,8,8.0,0,24,316,13.2,2,jahkeen-gilmore-1
167,Dante Ridgeway,Ball State,MAC,11,105,1399,13.3,8,1,-13,-13.0,0,106,1386,13.1,8,dante-ridgeway-1
168,J.R. Russell*,Louisville,CUSA,12,73,968,13.3,7,,,,,73,968,13.3,7,jr-russell-1
169,Keron Henry*,Connecticut,Big East,12,67,891,13.3,5,1,6,6.0,0,68,897,13.2,5,keron-henry-1
170,Mark Clayton*,Oklahoma,Big 12,13,66,876,13.3,8,4,11,2.8,0,70,887,12.7,8,mark-clayton-1
171,Earvin Johnson,UNLV,MWC,11,60,795,13.3,8,,,,,60,795,13.3,8,earvin-johnson-1
172,Jayson Boyd*,UTEP,WAC,12,42,560,13.3,5,,,,,42,560,13.3,5,jayson-boyd-2
173,Darrin Charles*,Wisconsin,Big Ten,12,25,333,13.3,3,,,,,25,333,13.3,3,darrin-charles-1
174,Dantson Dareus,Florida Atlantic,Sun Belt,11,23,306,13.3,0,0,0,,0,23,306,13.3,0,dantson-dareus-1
175,Lance Moore*,Toledo,MAC,13,90,1189,13.2,14,3,19,6.3,0,93,1208,13.0,14,lance-moore-1
176,Trey Haverty*,Texas Tech,Big 12,12,77,1019,13.2,6,,,,,77,1019,13.2,6,trey-haverty-1
177,Travis Wilson*,Oklahoma,Big 12,13,50,660,13.2,11,1,5,5.0,0,51,665,13.0,11,travis-wilson-2
178,Heath Miller*,Virginia,ACC,12,41,541,13.2,5,1,6,6.0,0,42,547,13.0,5,heath-miller-1
179,Tony Jeffery*,Texas,Big 12,12,33,437,13.2,3,7,47,6.7,1,40,484,12.1,4,tony-jeffery-1
180,Brett Biggs,Akron,MAC,11,32,421,13.2,2,185,871,4.7,10,217,1292,6.0,12,brett-biggs-1
181,Marcel Love*,Oregon State,Pac-10,12,40,523,13.1,4,,,,,40,523,13.1,4,marcel-love-1
182,Tim Day,Oregon,Pac-10,11,35,457,13.1,8,,,,,35,457,13.1,8,tim-day-1
183,Earnest Jackson*,Cincinnati,CUSA,12,24,314,13.1,1,2,9,4.5,0,26,323,12.4,1,earnest-jackson-1
184,Kyle Brown,Michigan State,Big Ten,12,23,302,13.1,1,,,,,23,302,13.1,1,kyle-brown-2
185,Tres Moses,Rutgers,Big East,11,81,1056,13.0,5,4,3,0.8,0,85,1059,12.5,5,tres-moses-1
186,Jason Carter*,Texas A&amp;M,Big 12,12,36,468,13.0,0,9,68,7.6,3,45,536,11.9,3,jason-carter-2
187,Jason Wood,Arkansas State,Sun Belt,11,34,443,13.0,3,,,,,34,443,13.0,3,jason-wood-1
188,Brian Casey,Kansas State,Big 12,11,22,286,13.0,2,,,,,22,286,13.0,2,brian-casey-1
189,Terrence Murphy*,Texas A&amp;M,Big 12,11,56,721,12.9,3,4,31,7.8,0,60,752,12.5,3,terrence-murphy-1
190,Bobby Good,East Carolina,CUSA,8,33,427,12.9,4,1,4,4.0,0,34,431,12.7,4,bobby-good-1
191,Jon Davis*,Iowa State,Big 12,12,48,614,12.8,2,9,103,11.4,0,57,717,12.6,2,jon-davis-1
192,Johnny Walker,Colorado State,MWC,10,35,449,12.8,2,2,19,9.5,1,37,468,12.6,3,johnny-walker-1
193,Scott Mitchell,Kentucky,SEC,11,30,383,12.8,1,1,4,4.0,0,31,387,12.5,1,scott-mitchell-1
194,Brandon Jones*,Oklahoma,Big 12,13,27,345,12.8,3,,,,,27,345,12.8,3,brandon-jones-3
195,Matt Herian,Nebraska,Big 12,8,24,308,12.8,3,,,,,24,308,12.8,3,matt-herian-1
196,Steve Odom*,Toledo,MAC,13,53,675,12.7,5,,,,,53,675,12.7,5,steve-odom-1
197,Talib Wise,Nevada,WAC,12,44,559,12.7,3,35,147,4.2,3,79,706,8.9,6,talib-wise-1
198,Joe Klopfenstein*,Colorado,Big 12,13,33,418,12.7,5,,,,,33,418,12.7,5,joe-klopfenstein-1
199,James Hawkins*,Bowling Green State,MAC,12,25,318,12.7,2,,,,,25,318,12.7,2,james-hawkins-1
200,James Jones,San Jose State,WAC,11,25,317,12.7,1,5,2,0.4,0,30,319,10.6,1,james-jones-3
201,Chad Owens*,Hawaii,WAC,13,102,1290,12.6,17,1,0,0.0,0,103,1290,12.5,17,chad-owens-1
202,Demetrius Williams,Oregon,Pac-10,9,47,593,12.6,2,1,6,6.0,0,48,599,12.5,2,demetrius-williams-1
203,Marcedes Lewis*,UCLA,Pac-10,12,32,402,12.6,7,,,,,32,402,12.6,7,marcedes-lewis-1
204,Tyler Holden*,Wyoming,MWC,12,27,339,12.6,1,2,0,0.0,0,29,339,11.7,1,tyler-holden-1
205,Moey Mutz*,Arizona State,Pac-10,12,35,438,12.5,1,,,,,35,438,12.5,1,moey-mutz-1
206,Ashton Aikens,Northwestern,Big Ten,11,32,401,12.5,0,,,,,32,401,12.5,0,ashton-aikens-1
207,Tony Brown*,Tennessee,SEC,13,31,388,12.5,3,,,,,31,388,12.5,3,tony-brown-1
208,Evan Judge*,Colorado,Big 12,12,31,386,12.5,4,1,3,3.0,0,32,389,12.2,4,evan-judge-1
209,Kerry Johnson,Ole Miss,SEC,11,27,338,12.5,0,1,1,1.0,0,28,339,12.1,0,kerry-johnson-1
210,Ross Pilkington,Nebraska,Big 12,11,27,337,12.5,2,,,,,27,337,12.5,2,ross-pilkington-1
211,Cory Ross,Nebraska,Big 12,11,21,262,12.5,2,207,1102,5.3,6,228,1364,6.0,8,cory-ross-1
212,Nichiren Flowers,Nevada,WAC,12,91,1126,12.4,6,,,,,91,1126,12.4,6,nichiren-flowers-1
213,Matt Cutaia*,Connecticut,Big East,12,44,545,12.4,1,,,,,44,545,12.4,1,matt-cutaia-1
214,Craphonso Thorpe*,Florida State,ACC,11,40,496,12.4,2,,,,,40,496,12.4,2,craphonso-thorpe-1
215,Brad Cieslak*,Northern Illinois,MAC,12,31,384,12.4,3,,,,,31,384,12.4,3,brad-cieslak-1
216,Kendal Briles,Houston,CUSA,6,25,311,12.4,0,10,17,1.7,1,35,328,9.4,1,kendal-briles-1
217,Matt Spaeth*,Minnesota,Big Ten,12,24,298,12.4,4,,,,,24,298,12.4,4,matt-spaeth-1
218,Taylor Stubblefield*,Purdue,Big Ten,12,89,1095,12.3,16,,,,,89,1095,12.3,16,taylor-stubblefield-1
219,Joe Newton*,Oregon State,Pac-10,12,56,687,12.3,7,,,,,56,687,12.3,7,joe-newton-1
220,Tavares Gideon*,Memphis,CUSA,12,54,665,12.3,11,,,,,54,665,12.3,11,tavares-gideon-1
221,Brandon Williams*,Wisconsin,Big Ten,12,42,517,12.3,0,8,56,7.0,0,50,573,11.5,0,brandon-williams-6
222,Derrick Fenner,Maryland,ACC,11,35,430,12.3,2,,,,,35,430,12.3,2,derrick-fenner-1
223,T.J. Williams,North Carolina State,ACC,11,31,382,12.3,0,,,,,31,382,12.3,0,tj-williams-2
224,R.J. Corbin*,Miami (OH),MAC,12,26,319,12.3,1,,,,,26,319,12.3,1,rj-corbin-1
225,Jason Rivers*,Hawaii,WAC,13,80,973,12.2,7,,,,,80,973,12.2,7,jason-rivers-1
226,Jeff Webb,San Diego State,MWC,11,71,863,12.2,6,1,4,4.0,0,72,867,12.0,6,jeff-webb-2
227,Kyle Ingraham*,Purdue,Big Ten,12,51,624,12.2,7,,,,,51,624,12.2,7,kyle-ingraham-1
