
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Dri Archer*,Kent State,MAC,14,159,1429,9.0,16,39,561,14.4,4,198,1990,10.1,20,dri-archer-1
2,Lache Seastrunk*,Baylor,Big 12,13,131,1012,7.7,7,9,107,11.9,1,140,1119,8.0,8,lache-seastrunk-1
3,De'Anthony Thomas*,Oregon,Pac-12,13,92,701,7.6,11,45,445,9.9,5,137,1146,8.4,16,deanthony-thomas-1
4,Chris Thompson*,Florida State,ACC,9,91,687,7.5,5,21,248,11.8,0,112,935,8.3,5,chris-thompson-1
5,Gee Gee Greene*,Navy,Ind,13,120,877,7.3,3,18,309,17.2,2,138,1186,8.6,5,gee-gee-greene-1
6,Denard Robinson*,Michigan,Big Ten,11,177,1266,7.2,7,3,31,10.3,0,180,1297,7.2,7,denard-robinson-1
7,Marcus Mariota*,Oregon,Pac-12,13,106,752,7.1,5,1,2,2.0,1,107,754,7.0,6,marcus-mariota-1
8,Johnny Manziel*,Texas A&amp;M,SEC,13,201,1410,7.0,21,,,,,201,1410,7.0,21,johnny-manziel-1
9,Cole Gautsche,New Mexico,MWC,11,109,760,7.0,7,,,,,109,760,7.0,7,cole-gautsche-1
10,Kerwynn Williams*,Utah State,WAC,13,218,1512,6.9,15,45,697,15.5,5,263,2209,8.4,20,kerwynn-williams-1
11,Rex Burkhead*,Nebraska,Big Ten,8,98,675,6.9,5,11,92,8.4,2,109,767,7.0,7,rex-burkhead-1
12,Duke Johnson,Miami (FL),ACC,12,139,947,6.8,10,27,221,8.2,1,166,1168,7.0,11,duke-johnson-1
13,Ja'Terian Douglas*,Tulsa,CUSA,14,137,936,6.8,7,1,7,7.0,0,138,943,6.8,7,jaterian-douglas-1
14,Giovani Bernard,North Carolina,ACC,10,184,1228,6.7,12,47,490,10.4,5,231,1718,7.4,17,giovani-bernard-1
15,Jay Ajayi*,Boise State,MWC,11,82,548,6.7,4,1,14,14.0,0,83,562,6.8,4,jay-ajayi-1
16,Marion Grice*,Arizona State,Pac-12,13,103,679,6.6,11,41,425,10.4,8,144,1104,7.7,19,marion-grice-1
17,Eddie Lacy*,Alabama,SEC,14,204,1322,6.5,17,22,189,8.6,2,226,1511,6.7,19,eddie-lacy-1
18,Bronson Hill,Eastern Michigan,MAC,11,140,910,6.5,6,12,208,17.3,1,152,1118,7.4,7,bronson-hill-1
19,Terrance Broadway*,Louisiana,Sun Belt,13,119,769,6.5,9,,,,,119,769,6.5,9,terrance-broadway-1
20,Tony Pierson,Kansas,Big 12,11,117,760,6.5,4,21,291,13.9,2,138,1051,7.6,6,tony-pierson-1
21,Keith Marshall*,Georgia,SEC,14,117,759,6.5,8,11,91,8.3,1,128,850,6.6,9,keith-marshall-1
22,Cierre Wood*,Notre Dame,Ind,11,114,742,6.5,4,5,25,5.0,0,119,767,6.4,4,cierre-wood-1
23,Ka'Deem Carey*,Arizona,Pac-12,13,303,1929,6.4,23,36,303,8.4,1,339,2232,6.6,24,kadeem-carey-1
24,Kenjon Barner*,Oregon,Pac-12,13,278,1767,6.4,21,20,256,12.8,2,298,2023,6.8,23,kenjon-barner-1
25,James White*,Wisconsin,Big Ten,14,125,806,6.4,12,8,132,16.5,1,133,938,7.1,13,james-white-2
26,Cody Getz*,Air Force,MWC,12,198,1248,6.3,9,2,1,0.5,0,200,1249,6.2,9,cody-getz-1
27,T.J. Yeldon*,Alabama,SEC,14,175,1108,6.3,12,11,131,11.9,1,186,1239,6.7,13,tj-yeldon-1
28,C.J. Anderson,California,Pac-12,12,126,790,6.3,4,15,164,10.9,1,141,954,6.8,5,cj-anderson-1
29,Jordan Lynch*,Northern Illinois,MAC,14,294,1815,6.2,19,,,,,294,1815,6.2,19,jordan-lynch-1
30,Adam Muema*,San Diego State,MWC,13,237,1458,6.2,16,9,147,16.3,1,246,1605,6.5,17,adam-muema-1
31,Todd Gurley*,Georgia,SEC,14,222,1385,6.2,17,16,117,7.3,0,238,1502,6.3,17,todd-gurley-1
