
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Matt Miller*,Arizona State,Pac-10,11,24,563,23.5,7,,,,,24,563,23.5,7,matt-miller-2
2,Billy Pittman*,Texas,Big 12,13,34,750,22.1,5,2,28,14.0,0,36,778,21.6,5,billy-pittman-1
3,Mario Urrutia*,Louisville,Big East,11,37,797,21.5,7,,,,,37,797,21.5,7,mario-urrutia-1
4,Brian Clark*,North Carolina State,ACC,10,25,537,21.5,6,,,,,25,537,21.5,6,brian-clark-1
5,Najah Pruden,Kent State,MAC,10,33,688,20.8,5,,,,,33,688,20.8,5,najah-pruden-1
6,Greg Carr*,Florida State,ACC,12,30,618,20.6,9,1,-7,-7.0,0,31,611,19.7,9,greg-carr-1
7,Thomas Parker,Florida Atlantic,Sun Belt,11,29,584,20.1,3,1,-2,-2.0,0,30,582,19.4,3,thomas-parker-1
8,Todd Blythe*,Iowa State,Big 12,12,51,1000,19.6,9,,,,,51,1000,19.6,9,todd-blythe-1
9,Greg Lee,Pitt,Big East,11,49,962,19.6,7,,,,,49,962,19.6,7,greg-lee-1
10,Jamaal Lewis*,Arizona State,Pac-10,9,23,446,19.4,5,,,,,23,446,19.4,5,jamaal-lewis-1
11,Devin Aromashodu*,Auburn,SEC,12,26,494,19.0,4,,,,,26,494,19.0,4,devin-aromashodu-1
12,Keith Brown*,Alabama,SEC,11,34,642,18.9,4,2,12,6.0,0,36,654,18.2,4,keith-brown-2
13,Eric Newman,Louisiana Tech,WAC,11,30,566,18.9,8,2,16,8.0,0,32,582,18.2,8,eric-newman-1
14,Deon Butler*,Penn State,Big Ten,11,37,691,18.7,9,1,6,6.0,0,38,697,18.3,9,deon-butler-1
15,Brandon Williams*,Wisconsin,Big Ten,13,59,1095,18.6,6,7,47,6.7,0,66,1142,17.3,6,brandon-williams-6
16,Reggie Lindsey,UAB,CUSA,11,53,978,18.5,11,2,0,0.0,0,55,978,17.8,11,reggie-lindsey-1
17,Craig Chambers,Washington,Pac-10,11,31,573,18.5,6,,,,,31,573,18.5,6,craig-chambers-1
18,Greg Kirkwood,Air Force,MWC,11,30,555,18.5,4,8,91,11.4,1,38,646,17.0,5,greg-kirkwood-1
19,Santonio Holmes*,Ohio State,Big Ten,12,53,977,18.4,11,,,,,53,977,18.4,11,santonio-holmes-1
