
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
20,Brian Hernandez*,Utah,MWC,11,39,709,18.2,3,,,,,39,709,18.2,3,brian-hernandez-1
21,David Clowney*,Virginia Tech,ACC,13,34,619,18.2,3,,,,,34,619,18.2,3,david-clowney-1
22,Demetrius Williams*,Oregon,Pac-10,12,59,1059,17.9,10,9,58,6.4,1,68,1117,16.4,11,demetrius-williams-1
23,Jason Brown,Air Force,MWC,11,49,874,17.8,5,1,1,1.0,0,50,875,17.5,5,jason-brown-3
24,Jason Tomlinson*,Navy,Ind,12,25,445,17.8,1,5,73,14.6,0,30,518,17.3,1,jason-tomlinson-1
25,Jason Hill,Washington State,Pac-10,10,62,1097,17.7,13,1,-4,-4.0,0,63,1093,17.3,13,jason-hill-1
26,Chris Francies*,UTEP,CUSA,10,44,774,17.6,5,2,1,0.5,0,46,775,16.8,5,chris-francies-1
27,Clinton Solomon*,Iowa,Big Ten,12,46,800,17.4,7,1,8,8.0,0,47,808,17.2,7,clinton-solomon-1
28,Dwayne Bowe*,LSU,SEC,12,41,710,17.3,9,,,,,41,710,17.3,9,dwayne-bowe-1
29,Jonathan Orr*,Wisconsin,Big Ten,13,40,688,17.2,8,,,,,40,688,17.2,8,jonathan-orr-1
30,Trandon Harvey,Washington State,Pac-10,11,25,431,17.2,1,,,,,25,431,17.2,1,trandon-harvey-1
31,Vernon Davis,Maryland,ACC,11,51,871,17.1,6,1,7,7.0,0,52,878,16.9,6,vernon-davis-1
32,Johnnie Lee Higgins Jr.*,UTEP,CUSA,12,49,837,17.1,9,8,13,1.6,0,57,850,14.9,9,johnnie-lee-higgins-jr-1
33,Mike Hass,Oregon State,Pac-10,11,90,1532,17.0,6,2,18,9.0,0,92,1550,16.8,6,mike-hass-1
34,Paul Williams*,Fresno State,WAC,13,43,729,17.0,7,9,83,9.2,0,52,812,15.6,7,paul-williams-2
35,Harry Douglas*,Louisville,Big East,12,27,457,16.9,2,6,37,6.2,0,33,494,15.0,2,harry-douglas-1
36,Mike Mason,North Carolina,ACC,11,22,372,16.9,1,1,-7,-7.0,0,23,365,15.9,1,mike-mason-1
37,Tres Moses*,Rutgers,Big East,12,45,758,16.8,5,2,-9,-4.5,0,47,749,15.9,5,tres-moses-1
38,Josh Morgan*,Virginia Tech,ACC,13,28,471,16.8,4,1,3,3.0,0,29,474,16.3,4,josh-morgan-2
39,Maurice Stovall*,Notre Dame,Ind,12,69,1149,16.7,11,2,1,0.5,0,71,1150,16.2,11,maurice-stovall-1
40,Sinorice Moss*,Miami (FL),ACC,12,37,614,16.6,6,7,55,7.9,0,44,669,15.2,6,sinorice-moss-1
41,Ryan Moore*,Miami (FL),ACC,11,28,464,16.6,4,,,,,28,464,16.6,4,ryan-moore-1
42,Sam Hurd,Northern Illinois,MAC,12,65,1074,16.5,13,,,,,65,1074,16.5,13,sam-hurd-1
43,Mark Bradford,Stanford,Pac-10,10,37,609,16.5,6,2,4,2.0,0,39,613,15.7,6,mark-bradford-1
44,Calvin Johnson*,Georgia Tech,ACC,12,54,888,16.4,6,,,,,54,888,16.4,6,calvin-johnson-1
45,Sidney Rice*,South Carolina,SEC,11,70,1143,16.3,13,,,,,70,1143,16.3,13,sidney-rice-1
46,Wendell Octave,Idaho,WAC,11,33,537,16.3,3,,,,,33,537,16.3,3,wendell-octave-1
47,Jeff Samardzija*,Notre Dame,Ind,12,77,1249,16.2,15,9,13,1.4,0,86,1262,14.7,15,jeff-samardzija-1
48,Anthony Russo,Washington,Pac-10,11,30,487,16.2,1,4,16,4.0,0,34,503,14.8,1,anthony-russo-1
49,Domenik Hixon*,Akron,MAC,13,75,1210,16.1,8,1,24,24.0,0,76,1234,16.2,8,domenik-hixon-1
50,Brandon Marshall*,UCF,CUSA,13,74,1195,16.1,11,1,3,3.0,0,75,1198,16.0,11,brandon-marshall-1
51,Jabari Arthur*,Akron,MAC,12,30,482,16.1,3,1,-15,-15.0,0,31,467,15.1,3,jabari-arthur-1
52,Scott Mayle,Ohio,MAC,11,21,338,16.1,3,21,141,6.7,0,42,479,11.4,3,scott-mayle-1
53,Hank Baskett,New Mexico,MWC,11,67,1071,16.0,9,,,,,67,1071,16.0,9,hank-baskett-1
54,Steve Smith*,USC,Pac-10,13,60,957,16.0,5,2,11,5.5,0,62,968,15.6,5,steve-smith-2
55,Bobby Chase,SMU,CUSA,11,39,625,16.0,4,,,,,39,625,16.0,4,bobby-chase-1
56,Craig Davis*,LSU,SEC,11,35,559,16.0,2,,,,,35,559,16.0,2,craig-davis-1
57,Mario Manningham*,Michigan,Big Ten,12,27,433,16.0,6,6,38,6.3,0,33,471,14.3,6,mario-manningham-1
58,Bryan Watje,San Jose State,WAC,11,27,431,16.0,0,,,,,27,431,16.0,0,bryan-watje-1
59,Desean Jackson*,California,Pac-10,11,38,601,15.8,7,8,48,6.0,0,46,649,14.1,7,desean-jackson-1
60,Brandon Myles*,West Virginia,Big East,12,34,536,15.8,3,,,,,34,536,15.8,3,brandon-myles-1
61,Ross Lane*,Northwestern,Big Ten,12,24,378,15.8,1,,,,,24,378,15.8,1,ross-lane-1
62,Derek Hagan*,Arizona State,Pac-10,12,77,1210,15.7,8,,,,,77,1210,15.7,8,derek-hagan-1
63,D'Juan Woods,Oklahoma State,Big 12,11,56,879,15.7,8,,,,,56,879,15.7,8,djuan-woods-1
64,Ted Ginn Jr.*,Ohio State,Big Ten,12,51,803,15.7,4,12,83,6.9,1,63,886,14.1,5,ted-ginn-jr-1
65,Drouzon Quillen,Louisiana-Monroe,Sun Belt,11,45,707,15.7,9,,,,,45,707,15.7,9,drouzon-quillen-1
66,Donnie Avery*,Houston,CUSA,12,44,688,15.6,5,,,,,44,688,15.6,5,donnie-avery-1
67,Ryan Scott*,Memphis,CUSA,12,37,577,15.6,3,,,,,37,577,15.6,3,ryan-scott-1
68,Rufus Skillern,San Jose State,WAC,11,36,561,15.6,6,,,,,36,561,15.6,6,rufus-skillern-1
69,Curtis Baham*,Clemson,ACC,12,32,500,15.6,4,,,,,32,500,15.6,4,curtis-baham-1
70,Lance Rhodes,UAB,CUSA,11,24,374,15.6,3,,,,,24,374,15.6,3,lance-rhodes-1
71,Joel Filani*,Texas Tech,Big 12,12,65,1007,15.5,8,6,54,9.0,0,71,1061,14.9,8,joel-filani-1
72,Jhun Cook,UAB,CUSA,11,42,653,15.5,2,,,,,42,653,15.5,2,jhun-cook-1
73,Johnny Walker*,Colorado State,MWC,12,43,663,15.4,2,,,,,43,663,15.4,2,johnny-walker-1
74,Kevin Robinson,Utah State,WAC,11,43,661,15.4,8,13,91,7.0,1,56,752,13.4,9,kevin-robinson-1
75,Clark Harris*,Rutgers,Big East,12,38,584,15.4,4,,,,,38,584,15.4,4,clark-harris-1
76,Ernie Wheelwright*,Minnesota,Big Ten,12,37,568,15.4,5,1,3,3.0,0,38,571,15.0,5,ernie-wheelwright-1
77,Shawn Nelson*,Southern Mississippi,CUSA,11,35,540,15.4,5,,,,,35,540,15.4,5,shawn-nelson-1
78,Mario Hill,Ole Miss,SEC,8,34,524,15.4,2,2,11,5.5,0,36,535,14.9,2,mario-hill-1
79,Quinn Sypniewski*,Colorado,Big 12,13,29,447,15.4,5,,,,,29,447,15.4,5,quinn-sypniewski-1
80,Terry Love,Michigan State,Big Ten,11,28,430,15.4,3,2,25,12.5,0,30,455,15.2,3,terry-love-1
81,Steve Sanders,Bowling Green State,MAC,11,56,855,15.3,14,6,47,7.8,1,62,902,14.5,15,steve-sanders-1
82,Jason Carter,Texas A&amp;M,Big 12,11,54,827,15.3,6,17,99,5.8,0,71,926,13.0,6,jason-carter-2
83,Preston Brown,Tulane,CUSA,11,47,720,15.3,6,1,5,5.0,0,48,725,15.1,6,preston-brown-2
84,Phillip Henry,East Carolina,CUSA,11,28,428,15.3,1,2,22,11.0,0,30,450,15.0,1,phillip-henry-1
85,Kyle Brown,Michigan State,Big Ten,9,36,546,15.2,2,2,9,4.5,0,38,555,14.6,2,kyle-brown-2
86,Drisan James*,Boise State,WAC,12,34,518,15.2,2,7,70,10.0,0,41,588,14.3,2,drisan-james-1
87,Keenan Burton,Kentucky,SEC,7,24,365,15.2,2,1,1,1.0,0,25,366,14.6,2,keenan-burton-1
88,Jerard Rabb*,Boise State,WAC,13,38,572,15.1,5,,,,,38,572,15.1,5,jerard-rabb-1
89,Limas Sweed*,Texas,Big 12,13,36,545,15.1,5,,,,,36,545,15.1,5,limas-sweed-1
90,Bryan McClendon*,Georgia,SEC,13,35,529,15.1,6,,,,,35,529,15.1,6,bryan-mcclendon-1
91,Shawn Tucker*,Rutgers,Big East,12,32,484,15.1,1,,,,,32,484,15.1,1,shawn-tucker-1
92,Kyle Hudson,Illinois,Big Ten,11,31,469,15.1,1,2,27,13.5,0,33,496,15.0,1,kyle-hudson-1
93,Will Blackmon*,Boston College,ACC,12,51,763,15.0,4,3,21,7.0,0,54,784,14.5,4,will-blackmon-1
94,Justin McCullum,Stanford,Pac-10,9,36,539,15.0,5,,,,,36,539,15.0,5,justin-mccullum-1
95,Jarett Dillard,Rice,CUSA,11,35,524,15.0,5,1,-7,-7.0,0,36,517,14.4,5,jarett-dillard-1
96,Early Doucet*,LSU,SEC,12,26,389,15.0,5,1,5,5.0,0,27,394,14.6,5,early-doucet-1
97,Ryne Robinson,Miami (OH),MAC,11,75,1119,14.9,8,13,108,8.3,0,88,1227,13.9,8,ryne-robinson-1
98,Daniel Smith,Idaho,WAC,10,67,1001,14.9,7,1,-3,-3.0,0,68,998,14.7,7,daniel-smith-1
99,Damien Linson,Central Michigan,MAC,11,56,832,14.9,4,4,6,1.5,0,60,838,14.0,4,damien-linson-1
100,Jordy Nelson,Kansas State,Big 12,11,45,669,14.9,8,1,-2,-2.0,0,46,667,14.5,8,jordy-nelson-1
101,Eugene Hampton,Troy,Sun Belt,11,39,582,14.9,2,1,4,4.0,0,40,586,14.7,2,eugene-hampton-1
102,Mike Thomas,Arizona,Pac-10,11,52,771,14.8,5,5,40,8.0,1,57,811,14.2,6,mike-thomas-9
103,Damarius Bilbo*,Georgia Tech,ACC,12,40,591,14.8,2,,,,,40,591,14.8,2,damarius-bilbo-1
104,Tony Gonzalez*,Boston College,ACC,11,28,414,14.8,5,,,,,28,414,14.8,5,tony-gonzalez-1
105,Louis Johnson,Ball State,MAC,9,28,413,14.8,1,,,,,28,413,14.8,1,louis-johnson-1
106,Travis Latendresse*,Utah,MWC,9,55,810,14.7,8,,,,,55,810,14.7,8,travis-latendresse-1
107,Jerramy Scott,Michigan State,Big Ten,11,49,722,14.7,4,12,67,5.6,2,61,789,12.9,6,jerramy-scott-1
108,James Hardy,Indiana,Big Ten,10,61,893,14.6,10,,,,,61,893,14.6,10,james-hardy-1
109,Jason Montgomery*,Akron,MAC,13,48,702,14.6,7,2,11,5.5,0,50,713,14.3,7,jason-montgomery-1
110,Dan Melendez,Maryland,ACC,11,40,584,14.6,2,,,,,40,584,14.6,2,dan-melendez-1
111,Maurice Drew*,UCLA,Pac-10,12,31,453,14.6,4,186,914,4.9,13,217,1367,6.3,17,maurice-drew-1
112,Jovon Bouknight,Wyoming,MWC,11,77,1116,14.5,12,7,94,13.4,0,84,1210,14.4,12,jovon-bouknight-1
113,Greg Olsen*,Miami (FL),ACC,12,31,451,14.5,4,,,,,31,451,14.5,4,greg-olsen-1
114,Johnathan Holland,Louisiana Tech,WAC,10,29,421,14.5,2,3,34,11.3,0,32,455,14.2,2,johnathan-holland-1
115,Michael Ford,Wyoming,MWC,11,29,421,14.5,0,1,5,5.0,0,30,426,14.2,0,michael-ford-1
116,Ryan Grice-Mullen,Hawaii,WAC,12,85,1228,14.4,12,2,18,9.0,1,87,1246,14.3,13,ryan-grice-mullen-1
117,Sonny Shackelford,Washington,Pac-10,11,41,592,14.4,2,1,6,6.0,0,42,598,14.2,2,sonny-shackelford-1
118,Chandler Williams,Florida International,Sun Belt,11,61,870,14.3,2,2,25,12.5,0,63,895,14.2,2,chandler-williams-1
119,Jesse Holley,North Carolina,ACC,11,47,670,14.3,1,,,,,47,670,14.3,1,jesse-holley-1
120,Mark Simmons*,Kansas,Big 12,12,44,631,14.3,4,1,-14,-14.0,0,45,617,13.7,4,mark-simmons-1
121,Bruce Gordon,Temple,Ind,10,42,601,14.3,1,,,,,42,601,14.3,1,bruce-gordon-1
122,Matt Trannon,Michigan State,Big Ten,11,40,573,14.3,4,,,,,40,573,14.3,4,matt-trannon-1
123,Logan Payne*,Minnesota,Big Ten,12,37,529,14.3,2,1,11,11.0,0,38,540,14.2,2,logan-payne-1
124,Malcolm Kelly*,Oklahoma,Big 12,11,33,471,14.3,2,,,,,33,471,14.3,2,malcolm-kelly-1
125,Evan Wallace,Buffalo,MAC,11,25,357,14.3,2,3,16,5.3,0,28,373,13.3,2,evan-wallace-1
126,Garrett Mills*,Tulsa,CUSA,13,87,1235,14.2,9,,,,,87,1235,14.2,9,garrett-mills-1
127,David Anderson*,Colorado State,MWC,12,86,1221,14.2,8,3,23,7.7,0,89,1244,14.0,8,david-anderson-1
128,Robert Johnson*,Texas Tech,Big 12,12,67,951,14.2,4,,,,,67,951,14.2,4,robert-johnson-3
129,Ross Dickerson,Hawaii,WAC,12,51,725,14.2,4,,,,,51,725,14.2,4,ross-dickerson-1
130,Nate Swift,Nebraska,Big 12,12,45,641,14.2,7,,,,,45,641,14.2,7,nate-swift-1
131,Evan Judge*,Colorado,Big 12,13,41,583,14.2,2,,,,,41,583,14.2,2,evan-judge-1
132,Legedu Naanee*,Boise State,WAC,13,34,483,14.2,6,4,25,6.3,0,38,508,13.4,6,legedu-naanee-1
133,Joe Klopfenstein*,Colorado,Big 12,13,33,468,14.2,4,,,,,33,468,14.2,4,joe-klopfenstein-1
134,Anthony Perine*,Southern Mississippi,CUSA,11,31,441,14.2,2,,,,,31,441,14.2,2,anthony-perine-1
135,D.J. Hall*,Alabama,SEC,12,48,676,14.1,5,,,,,48,676,14.1,5,dj-hall-1
136,Kerry Reed,Michigan State,Big Ten,11,31,438,14.1,5,,,,,31,438,14.1,5,kerry-reed-1
137,Jayson Swain,Tennessee,SEC,11,27,380,14.1,0,,,,,27,380,14.1,0,jayson-swain-1
138,Dwayne Jarrett*,USC,Pac-10,13,91,1274,14.0,16,2,4,2.0,0,93,1278,13.7,16,dwayne-jarrett-1
139,Frantz Hardy,Nebraska,Big 12,11,25,349,14.0,1,,,,,25,349,14.0,1,frantz-hardy-1
140,Nick Moore*,Toledo,MAC,11,24,335,14.0,4,,,,,24,335,14.0,4,nick-moore-3
141,Corey Fredrick,Louisiana,Sun Belt,11,21,293,14.0,0,1,17,17.0,1,22,310,14.1,1,corey-fredrick-1
142,Charles Sharon,Bowling Green State,MAC,11,74,1028,13.9,6,3,26,8.7,0,77,1054,13.7,6,charles-sharon-1
143,Leonard Pope*,Georgia,SEC,12,39,541,13.9,4,,,,,39,541,13.9,4,leonard-pope-1
144,Bubba Terranova,Tulane,CUSA,11,36,500,13.9,4,1,-1,-1.0,0,37,499,13.5,4,bubba-terranova-1
145,Taye Biddle,Ole Miss,SEC,11,35,487,13.9,2,8,51,6.4,0,43,538,12.5,2,taye-biddle-1
146,Jermaine Moreira,Kansas State,Big 12,10,35,485,13.9,1,1,-2,-2.0,0,36,483,13.4,1,jermaine-moreira-1
147,Kyle Sammons*,Nevada,WAC,11,27,375,13.9,2,,,,,27,375,13.9,2,kyle-sammons-1
148,John Broussard,San Jose State,WAC,11,26,361,13.9,5,2,10,5.0,0,28,371,13.3,5,john-broussard-1
149,Todd Watkins*,Brigham Young,MWC,12,49,678,13.8,9,,,,,49,678,13.8,9,todd-watkins-1
150,Marcus Thomas*,UTEP,CUSA,11,32,440,13.8,3,149,791,5.3,5,181,1231,6.8,8,marcus-thomas-2
151,Bill Sampy,Louisiana,Sun Belt,10,29,399,13.8,0,,,,,29,399,13.8,0,bill-sampy-1
152,Rice Moss,Syracuse,Big East,11,26,359,13.8,0,,,,,26,359,13.8,0,rice-moss-1
153,Corey Partridge,Bowling Green State,MAC,10,23,317,13.8,1,,,,,23,317,13.8,1,corey-partridge-1
154,Bobby Williams,Middle Tennessee State,Sun Belt,11,22,303,13.8,1,4,24,6.0,0,26,327,12.6,1,bobby-williams-1
155,Martin Nance,Miami (OH),MAC,11,81,1107,13.7,14,1,6,6.0,0,82,1113,13.6,14,martin-nance-1
156,Jo Jo Walker,Maryland,ACC,11,35,480,13.7,3,14,55,3.9,0,49,535,10.9,3,jo-jo-walker-1
157,Antwon Courington*,Southern Mississippi,CUSA,5,24,329,13.7,5,,,,,24,329,13.7,5,antwon-courington-1
158,Marcus Monk,Arkansas,SEC,11,35,476,13.6,7,,,,,35,476,13.6,7,marcus-monk-1
159,Jonny Harline*,Brigham Young,MWC,12,63,853,13.5,5,,,,,63,853,13.5,5,jonny-harline-1
160,Erik Davis,Vanderbilt,SEC,9,46,619,13.5,3,,,,,46,619,13.5,3,erik-davis-1
161,Marcus Thigpen,Indiana,Big Ten,11,32,432,13.5,2,7,35,5.0,0,39,467,12.0,2,marcus-thigpen-1
162,Cedric Washington,Arkansas,SEC,10,27,365,13.5,1,,,,,27,365,13.5,1,cedric-washington-1
163,Earnest Jackson,Cincinnati,Big East,10,27,364,13.5,3,2,-2,-1.0,0,29,362,12.5,3,earnest-jackson-1
164,Obed Cetoute,Central Michigan,MAC,11,27,364,13.5,2,,,,,27,364,13.5,2,obed-cetoute-1
165,Cleannord Saintil,Middle Tennessee State,Sun Belt,11,66,884,13.4,3,,,,,66,884,13.4,3,cleannord-saintil-1
166,Mike Walker*,UCF,CUSA,11,64,855,13.4,9,1,7,7.0,0,65,862,13.3,9,mike-walker-1
167,Dallas Baker*,Florida,SEC,12,52,697,13.4,5,,,,,52,697,13.4,5,dallas-baker-1
168,Terry Richardson*,Arizona State,Pac-10,11,37,495,13.4,5,7,56,8.0,0,44,551,12.5,5,terry-richardson-1
169,Joe Cowan*,UCLA,Pac-10,12,35,469,13.4,3,1,6,6.0,0,36,475,13.2,3,joe-cowan-1
170,Robert Jordan*,California,Pac-10,10,34,455,13.4,4,2,10,5.0,0,36,465,12.9,4,robert-jordan-1
171,Jaron Fairman*,Fresno State,WAC,12,26,348,13.4,2,,,,,26,348,13.4,2,jaron-fairman-1
172,Herb Grigsby*,Iowa,Big Ten,12,25,335,13.4,3,,,,,25,335,13.4,3,herb-grigsby-1
173,Cary Koch,Tulane,CUSA,11,23,308,13.4,2,2,0,0.0,0,25,308,12.3,2,cary-koch-1
174,Caleb Spencer*,Nevada,WAC,11,67,889,13.3,7,2,9,4.5,0,69,898,13.0,7,caleb-spencer-1
175,Montrell Jones*,Louisville,Big East,12,43,574,13.3,5,0,0,,0,43,574,13.3,5,montrell-jones-1
176,Mohamed Massaquoi*,Georgia,SEC,13,38,505,13.3,2,1,23,23.0,0,39,528,13.5,2,mohamed-massaquoi-1
177,Syndric Steptoe,Arizona,Pac-10,10,37,493,13.3,1,8,73,9.1,0,45,566,12.6,1,syndric-steptoe-1
178,Gerren Crochet,Stanford,Pac-10,11,29,387,13.3,0,3,75,25.0,1,32,462,14.4,1,gerren-crochet-1
179,Anthony Gonzalez*,Ohio State,Big Ten,12,28,373,13.3,3,1,8,8.0,0,29,381,13.1,3,anthony-gonzalez-1
180,Derek Dubois,New Mexico State,WAC,12,28,373,13.3,4,7,33,4.7,1,35,406,11.6,5,derek-dubois-1
181,Brandon Young,Connecticut,Big East,10,28,371,13.3,2,,,,,28,371,13.3,2,brandon-young-1
182,Jonathan Stupar*,Virginia,ACC,11,24,319,13.3,1,,,,,24,319,13.3,1,jonathan-stupar-1
183,Vincent Marshall*,Houston,CUSA,12,71,939,13.2,6,7,85,12.1,0,78,1024,13.1,6,vincent-marshall-1
184,Deyon Williams*,Virginia,ACC,12,58,767,13.2,7,,,,,58,767,13.2,7,deyon-williams-1
185,Cory Rodgers*,TCU,MWC,12,52,685,13.2,5,17,41,2.4,5,69,726,10.5,10,cory-rodgers-1
186,Jordan Norwood*,Penn State,Big Ten,10,32,422,13.2,0,2,24,12.0,0,34,446,13.1,0,jordan-norwood-1
187,Josh Barnes*,Southern Mississippi,CUSA,10,32,421,13.2,5,2,43,21.5,1,34,464,13.6,6,josh-barnes-1
188,Jemalle Cornelius*,Florida,SEC,11,29,383,13.2,1,2,-8,-4.0,0,31,375,12.1,1,jemalle-cornelius-1
189,Robert Meachem,Tennessee,SEC,11,29,383,13.2,2,,,,,29,383,13.2,2,robert-meachem-1
190,Jarrett Hicks*,Texas Tech,Big 12,11,65,850,13.1,10,,,,,65,850,13.1,10,jarrett-hicks-1
191,Chris Davis*,Florida State,ACC,13,51,666,13.1,5,5,21,4.2,0,56,687,12.3,5,chris-davis-2
192,Anthony Johnson,Arizona,Pac-10,11,32,419,13.1,3,1,-3,-3.0,0,33,416,12.6,3,anthony-johnson-1
193,Kory Sperry*,Colorado State,MWC,12,42,547,13.0,4,,,,,42,547,13.0,4,kory-sperry-1
194,Ed Hinkel*,Iowa,Big Ten,9,40,518,13.0,7,1,20,20.0,1,41,538,13.1,8,ed-hinkel-1
195,Chaz Schilens,San Diego State,MWC,12,34,441,13.0,2,,,,,34,441,13.0,2,chaz-schilens-1
196,Jacob Brown,Central Michigan,MAC,11,33,429,13.0,3,,,,,33,429,13.0,3,jacob-brown-1
197,Levi Dejohnette*,Arkansas State,Sun Belt,12,43,554,12.9,1,2,11,5.5,0,45,565,12.6,1,levi-dejohnette-1
198,Reggie Bush*,USC,Pac-10,13,37,478,12.9,2,200,1740,8.7,16,237,2218,9.4,18,reggie-bush-1
199,Ashlan Davis*,Tulsa,CUSA,11,35,451,12.9,5,7,20,2.9,0,42,471,11.2,5,ashlan-davis-1
200,Dan Murray,Connecticut,Big East,11,23,296,12.9,3,,,,,23,296,12.9,3,dan-murray-1
201,Greg Jennings,Western Michigan,MAC,11,98,1259,12.8,14,10,50,5.0,0,108,1309,12.1,14,greg-jennings-1
202,Joshua Tinch*,Louisville,Big East,12,67,855,12.8,4,,,,,67,855,12.8,4,joshua-tinch-1
203,Marcedes Lewis*,UCLA,Pac-10,12,58,741,12.8,10,,,,,58,741,12.8,10,marcedes-lewis-1
204,Nichiren Flowers*,Nevada,WAC,12,55,706,12.8,2,1,3,3.0,0,56,709,12.7,2,nichiren-flowers-1
205,Jahkeen Gilmore,Indiana,Big Ten,10,30,383,12.8,3,,,,,30,383,12.8,3,jahkeen-gilmore-1
206,Patrick Higgins*,Arkansas State,Sun Belt,12,28,358,12.8,2,,,,,28,358,12.8,2,patrick-higgins-1
207,Matt Spaeth*,Minnesota,Big Ten,12,26,333,12.8,4,,,,,26,333,12.8,4,matt-spaeth-1
208,Willie Reid*,Florida State,ACC,11,50,634,12.7,1,1,5,5.0,0,51,639,12.5,1,willie-reid-1
209,Jeremy Trimble,Army,Ind,11,42,535,12.7,4,,,,,42,535,12.7,4,jeremy-trimble-1
210,Donell Wheaton,UNLV,MWC,10,30,381,12.7,3,2,-3,-1.5,0,32,378,11.8,3,donell-wheaton-1
211,Davone Bess,Hawaii,WAC,12,89,1124,12.6,14,1,6,6.0,0,90,1130,12.6,14,davone-bess-1
212,Johnny Quinn,North Texas,Sun Belt,11,47,591,12.6,5,2,-1,-0.5,0,49,590,12.0,5,johnny-quinn-1
213,Timothy Lane,Syracuse,Big East,11,27,341,12.6,1,,,,,27,341,12.6,1,timothy-lane-1
214,Quinton Ganther*,Utah,MWC,11,25,314,12.6,1,205,1120,5.5,7,230,1434,6.2,8,quinton-ganther-1
215,Steve Odom*,Toledo,MAC,12,55,690,12.5,6,,,,,55,690,12.5,6,steve-odom-1
216,Cory McKinney,Florida International,Sun Belt,11,44,552,12.5,6,2,-10,-5.0,0,46,542,11.8,6,cory-mckinney-1
217,Zach Miller*,Arizona State,Pac-10,10,38,476,12.5,4,,,,,38,476,12.5,4,zach-miller-1
218,Jermaine Jamison*,Fresno State,WAC,13,38,475,12.5,4,,,,,38,475,12.5,4,jermaine-jamison-1
219,Chico Cleveland,UAB,CUSA,11,25,312,12.5,4,,,,,25,312,12.5,4,chico-cleveland-1
220,Anthony Mix*,Auburn,SEC,12,23,288,12.5,2,,,,,23,288,12.5,2,anthony-mix-1
221,Scott Mitchell,Kentucky,SEC,11,23,288,12.5,2,,,,,23,288,12.5,2,scott-mitchell-1
222,George Smith,Vanderbilt,SEC,10,23,287,12.5,2,,,,,23,287,12.5,2,george-smith-1
223,Nate Morton,Wake Forest,ACC,11,39,482,12.4,2,13,69,5.3,2,52,551,10.6,4,nate-morton-1
224,James Bailey,Indiana,Big Ten,9,27,335,12.4,3,,,,,27,335,12.4,3,james-bailey-1
225,Travis Wilson*,Oklahoma,Big 12,9,25,310,12.4,1,2,61,30.5,1,27,371,13.7,2,travis-wilson-2
226,Brandon Breazell*,UCLA,Pac-10,12,24,297,12.4,4,3,60,20.0,0,27,357,13.2,4,brandon-breazell-1
227,Aundrae Allison,East Carolina,CUSA,11,83,1024,12.3,7,7,65,9.3,0,90,1089,12.1,7,aundrae-allison-1
