
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Dwight Counter*,New Mexico,MWC,13,31,776,25.0,6,7,59,8.4,0,38,835,22.0,6,dwight-counter-1
2,Lawrence Bady*,Boise State,WAC,13,29,726,25.0,4,6,39,6.5,0,35,765,21.9,4,lawrence-bady-1
3,Chris Henry*,West Virginia,Big East,12,41,1006,24.5,10,,,,,41,1006,24.5,10,chris-henry-3
4,Mike Hass*,Oregon State,Pac-10,13,44,1013,23.0,7,,,,,44,1013,23.0,7,mike-hass-1
5,Brandon Middleton*,Houston,CUSA,13,55,1250,22.7,14,,,,,55,1250,22.7,14,brandon-middleton-1
6,Johnny Quinn,North Texas,Sun Belt,12,30,653,21.8,3,1,4,4.0,0,31,657,21.2,3,johnny-quinn-1
7,Roddy White,UAB,CUSA,12,39,844,21.6,7,1,17,17.0,0,40,861,21.5,7,roddy-white-1
8,Jared Ellerson*,Minnesota,Big Ten,12,44,909,20.7,5,20,147,7.4,1,64,1056,16.5,6,jared-ellerson-1
9,Scott Mayle,Ohio,MAC,12,25,515,20.6,4,9,22,2.4,1,34,537,15.8,5,scott-mayle-1
10,Craphonso Thorpe*,Florida State,ACC,11,51,994,19.5,11,3,11,3.7,0,54,1005,18.6,11,craphonso-thorpe-1
11,James Terry*,Kansas State,Big 12,15,64,1232,19.3,13,,,,,64,1232,19.3,13,james-terry-1
12,Mark Simmons*,Kansas,Big 12,13,40,769,19.2,7,2,14,7.0,0,42,783,18.6,7,mark-simmons-1
13,Darrell Dowery,Kent State,MAC,12,41,783,19.1,4,6,38,6.3,0,47,821,17.5,4,darrell-dowery-1
14,Richard Smith*,Arkansas,SEC,13,30,573,19.1,7,1,-3,-3.0,0,31,570,18.4,7,richard-smith-1
15,Lee Evans*,Wisconsin,Big Ten,13,64,1213,19.0,13,4,26,6.5,0,68,1239,18.2,13,lee-evans-1
16,Jerry Smith*,Boise State,WAC,12,32,609,19.0,5,3,29,9.7,0,35,638,18.2,5,jerry-smith-1
17,Greg Jennings,Western Michigan,MAC,12,56,1050,18.8,14,4,15,3.8,0,60,1065,17.8,14,greg-jennings-1
18,Matthew Thomas,South Carolina,SEC,11,24,442,18.4,2,4,-5,-1.3,0,28,437,15.6,2,matthew-thomas-1
19,Demetrius Williams*,Oregon,Pac-10,13,51,935,18.3,8,2,12,6.0,0,53,947,17.9,8,demetrius-williams-1
20,B.J. Johnson*,Texas,Big 12,13,30,549,18.3,4,2,1,0.5,0,32,550,17.2,4,bj-johnson-1
21,Larry Fitzgerald*,Pitt,Big East,13,92,1672,18.2,22,1,7,7.0,0,93,1679,18.1,22,larry-fitzgerald-1
22,Jamaar Taylor,Texas A&amp;M,Big 12,6,25,456,18.2,4,2,13,6.5,0,27,469,17.4,4,jamaar-taylor-1
23,Mike Espy*,Ole Miss,SEC,13,30,542,18.1,3,1,6,6.0,0,31,548,17.7,3,mike-espy-1
24,David Anderson*,Colorado State,MWC,13,72,1293,18.0,9,,,,,72,1293,18.0,9,david-anderson-1
25,George Wilson*,Arkansas,SEC,13,50,900,18.0,6,,,,,50,900,18.0,6,george-wilson-1
26,Rashaun Woods*,Oklahoma State,Big 12,13,77,1367,17.8,15,,,,,77,1367,17.8,15,rashaun-woods-1
27,Tim Gilligan*,Boise State,WAC,13,67,1192,17.8,6,6,27,4.5,1,73,1219,16.7,7,tim-gilligan-1
28,Geoff McArthur*,California,Pac-10,13,85,1504,17.7,10,,,,,85,1504,17.7,10,geoff-mcarthur-1
29,Taye Biddle*,Ole Miss,SEC,13,26,460,17.7,4,,,,,26,460,17.7,4,taye-biddle-1
30,Princell Brockenbrough*,Pitt,Big East,13,35,616,17.6,4,,,,,35,616,17.6,4,princell-brockenbrough-1
31,Chris Bush,Tulane,CUSA,11,33,581,17.6,8,,,,,33,581,17.6,8,chris-bush-1
32,Kerry Wright,Middle Tennessee State,Sun Belt,12,73,1280,17.5,9,,,,,73,1280,17.5,9,kerry-wright-1
33,Reggie Harrell*,TCU,CUSA,13,58,1012,17.4,2,,,,,58,1012,17.4,2,reggie-harrell-1
34,Johnnie Morant,Syracuse,Big East,12,46,799,17.4,5,3,15,5.0,0,49,814,16.6,5,johnnie-morant-1
35,Anthony Hackett,Ohio,MAC,11,26,452,17.4,2,6,39,6.5,0,32,491,15.3,2,anthony-hackett-1
36,Terrence Murphy,Texas A&amp;M,Big 12,12,44,762,17.3,0,10,150,15.0,1,54,912,16.9,1,terrence-murphy-1
37,Mark Clayton*,Oklahoma,Big 12,14,83,1425,17.2,15,9,62,6.9,0,92,1487,16.2,15,mark-clayton-1
38,Santonio Holmes*,Ohio State,Big Ten,12,32,549,17.2,7,1,-1,-1.0,0,33,548,16.6,7,santonio-holmes-1
39,Jason Anderson,Wake Forest,ACC,12,44,751,17.1,6,,,,,44,751,17.1,6,jason-anderson-1
40,Keron Henry,Connecticut,Ind,11,39,662,17.0,4,,,,,39,662,17.0,4,keron-henry-1
41,Maurice Mann,Nevada,WAC,8,35,594,17.0,2,3,8,2.7,0,38,602,15.8,2,maurice-mann-1
42,James Hawkins*,Bowling Green State,MAC,14,31,525,16.9,3,1,3,3.0,0,32,528,16.5,3,james-hawkins-1
43,Lane Danielsen,Iowa State,Big 12,12,46,772,16.8,5,9,15,1.7,1,55,787,14.3,6,lane-danielsen-1
44,Jimmy Labita,Idaho,Sun Belt,10,26,438,16.8,2,3,21,7.0,0,29,459,15.8,2,jimmy-labita-1
45,Marvin Young*,Southern Mississippi,CUSA,13,42,703,16.7,7,2,19,9.5,0,44,722,16.4,7,marvin-young-1
46,Derick Ross,Cincinnati,CUSA,12,29,483,16.7,1,,,,,29,483,16.7,1,derick-ross-1
