
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Onterio McCalebb*,Auburn,SEC,14,95,810,8.5,9,7,86,12.3,1,102,896,8.8,10,onterio-mccalebb-1
2,Alex Green*,Hawaii,WAC,14,146,1199,8.2,18,27,363,13.4,1,173,1562,9.0,19,alex-green-2
3,Allen Bradford,USC,Pac-10,12,110,794,7.2,5,3,74,24.7,1,113,868,7.7,6,allen-bradford-1
4,Colin Kaepernick*,Nevada,WAC,14,173,1206,7.0,20,,,,,173,1206,7.0,20,colin-kaepernick-1
5,James White*,Wisconsin,Big Ten,12,156,1052,6.7,14,11,88,8.0,0,167,1140,6.8,14,james-white-2
6,Denard Robinson*,Michigan,Big Ten,13,256,1702,6.6,14,,,,,256,1702,6.6,14,denard-robinson-1
7,Roy Helu Jr.*,Nebraska,Big 12,14,188,1245,6.6,11,5,46,9.2,0,193,1291,6.7,11,roy-helu-jr-1
8,Isaiah Pead,Cincinnati,Big East,11,157,1029,6.6,6,26,190,7.3,1,183,1219,6.7,7,isaiah-pead-1
9,Knile Davis*,Arkansas,SEC,13,204,1322,6.5,13,19,136,7.2,1,223,1458,6.5,14,knile-davis-1
10,Ed Wesley*,TCU,MWC,13,166,1078,6.5,11,8,62,7.8,0,174,1140,6.6,11,ed-wesley-1
11,Kendrick Hardy*,Southern Mississippi,CUSA,13,139,903,6.5,7,8,27,3.4,0,147,930,6.3,7,kendrick-hardy-1
12,Doug Martin*,Boise State,WAC,13,201,1260,6.3,12,28,338,12.1,2,229,1598,7.0,14,doug-martin-1
13,Adonis Thomas*,Toledo,MAC,13,175,1098,6.3,8,31,372,12.0,2,206,1470,7.1,10,adonis-thomas-1
14,Chris Thompson*,Florida State,ACC,14,134,845,6.3,6,19,155,8.2,1,153,1000,6.5,7,chris-thompson-1
15,Trent Richardson*,Alabama,SEC,11,112,700,6.3,6,23,266,11.6,4,135,966,7.2,10,trent-richardson-1
16,Jay Finley*,Baylor,Big 12,13,195,1218,6.2,12,9,76,8.4,0,204,1294,6.3,12,jay-finley-1
17,Ray Graham*,Pitt,Big East,12,148,922,6.2,8,24,213,8.9,2,172,1135,6.6,10,ray-graham-1
18,Dujuan Harris*,Troy,Sun Belt,12,97,603,6.2,6,11,66,6.0,0,108,669,6.2,6,dujuan-harris-1
19,Zach Line*,SMU,CUSA,14,244,1494,6.1,10,17,163,9.6,0,261,1657,6.3,10,zach-line-1
20,Bilal Powell*,Louisville,Big East,12,229,1405,6.1,11,18,158,8.8,3,247,1563,6.3,14,bilal-powell-1
21,Montee Ball*,Wisconsin,Big Ten,12,163,996,6.1,18,16,128,8.0,0,179,1124,6.3,18,montee-ball-1
22,Chandler Harnish*,Northern Illinois,MAC,13,137,836,6.1,7,,,,,137,836,6.1,7,chandler-harnish-1
23,Kenjon Barner*,Oregon,Pac-10,11,91,551,6.1,6,13,121,9.3,2,104,672,6.5,8,kenjon-barner-1
24,Mikel Leshoure*,Illinois,Big Ten,13,281,1697,6.0,17,17,196,11.5,3,298,1893,6.4,20,mikel-leshoure-1
25,Michael Dyer*,Auburn,SEC,14,182,1093,6.0,5,1,9,9.0,0,183,1102,6.0,5,michael-dyer-1
26,Brandon Bolden,Ole Miss,SEC,12,163,976,6.0,14,32,344,10.8,3,195,1320,6.8,17,brandon-bolden-1
27,Taylor Martinez*,Nebraska,Big 12,13,162,965,6.0,12,1,1,1.0,0,163,966,5.9,12,taylor-martinez-1
28,Lamar Miller*,Miami (FL),ACC,11,108,646,6.0,6,11,96,8.7,0,119,742,6.2,6,lamar-miller-1
29,Jeff Demps*,Florida,SEC,11,92,551,6.0,3,18,116,6.4,0,110,667,6.1,3,jeff-demps-1
30,Warren Norman,Vanderbilt,SEC,8,77,459,6.0,4,11,110,10.0,0,88,569,6.5,4,warren-norman-1
31,LaMichael James*,Oregon,Pac-10,12,294,1731,5.9,21,17,208,12.2,3,311,1939,6.2,24,lamichael-james-1
32,Alexander Teich*,Navy,Ind,13,147,863,5.9,5,7,86,12.3,2,154,949,6.2,7,alexander-teich-1
33,Deantre Lewis,Arizona State,Pac-10,11,92,539,5.9,4,23,370,16.1,2,115,909,7.9,6,deantre-lewis-1
34,Waymon James*,TCU,MWC,11,87,513,5.9,5,5,91,18.2,1,92,604,6.6,6,waymon-james-1
35,Derrick Coleman,UCLA,Pac-10,11,82,487,5.9,5,3,3,1.0,0,85,490,5.8,5,derrick-coleman-1
36,Ronnie Hillman*,San Diego State,MWC,13,262,1532,5.8,17,9,68,7.6,1,271,1600,5.9,18,ronnie-hillman-1
37,Edwin Baker*,Michigan State,Big Ten,13,207,1201,5.8,13,3,22,7.3,0,210,1223,5.8,13,edwin-baker-1
38,Phillip Tanner*,Middle Tennessee State,Sun Belt,13,160,928,5.8,13,21,194,9.2,0,181,1122,6.2,13,phillip-tanner-1
39,Da'Rel Scott*,Maryland,ACC,13,122,708,5.8,5,14,170,12.1,3,136,878,6.5,8,darel-scott-1
40,Andre Ellington*,Clemson,ACC,9,118,686,5.8,10,12,109,9.1,1,130,795,6.1,11,andre-ellington-1
41,Vai Taua*,Nevada,WAC,13,284,1610,5.7,19,18,226,12.6,3,302,1836,6.1,22,vai-taua-1
42,Lance Dunbar,North Texas,Sun Belt,12,274,1553,5.7,13,28,332,11.9,3,302,1885,6.2,16,lance-dunbar-1
43,Kendall Hunter*,Oklahoma State,Big 12,13,271,1548,5.7,16,20,101,5.1,0,291,1649,5.7,16,kendall-hunter-1
44,Cyrus Gray*,Texas A&amp;M,Big 12,13,200,1133,5.7,12,34,251,7.4,1,234,1384,5.9,13,cyrus-gray-1
45,Asher Clark*,Air Force,MWC,13,182,1031,5.7,5,4,7,1.8,0,186,1038,5.6,5,asher-clark-1
46,Darren Evans*,Virginia Tech,ACC,14,151,854,5.7,11,9,100,11.1,0,160,954,6.0,11,darren-evans-1
47,Davin Meggett*,Maryland,ACC,13,126,720,5.7,4,6,59,9.8,0,132,779,5.9,4,davin-meggett-1
48,Josh Harris,Wake Forest,ACC,11,126,720,5.7,7,8,69,8.6,0,134,789,5.9,7,josh-harris-3
49,Latavius Murray*,UCF,CUSA,14,111,637,5.7,11,5,47,9.4,1,116,684,5.9,12,latavius-murray-1
50,Joe Banyard*,UTEP,CUSA,13,109,623,5.7,8,17,107,6.3,0,126,730,5.8,8,joe-banyard-1
51,Le'Veon Bell*,Michigan State,Big Ten,13,107,605,5.7,8,11,97,8.8,0,118,702,5.9,8,leveon-bell-1
52,Cam Newton*,Auburn,SEC,14,264,1473,5.6,20,2,42,21.0,1,266,1515,5.7,21,cam-newton-1
53,Lennon Creer,Louisiana Tech,WAC,12,212,1181,5.6,10,25,181,7.2,0,237,1362,5.7,10,lennon-creer-1
54,Terrelle Pryor*,Ohio State,Big Ten,13,135,754,5.6,4,2,19,9.5,1,137,773,5.6,5,terrelle-pryor-1
55,Darian Mallary*,Florida International,Sun Belt,13,122,679,5.6,2,22,178,8.1,1,144,857,6.0,3,darian-mallary-1
