
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Khalil Tate*,Arizona,Pac-12,11,153,1411,9.2,12,0,0,,0,153,1411,9.2,12,khalil-tate-1
2,Darrell Henderson*,Memphis,American,12,130,1154,8.9,9,24,226,9.4,2,154,1380,9.0,11,darrell-henderson-1
3,Malcolm Perry*,Navy,American,12,138,1182,8.6,11,13,303,23.3,2,151,1485,9.8,13,malcolm-perry-1
4,Bryce Love*,Stanford,Pac-12,13,263,2118,8.1,19,6,33,5.5,0,269,2151,8.0,19,bryce-love-1
5,Sony Michel*,Georgia,SEC,14,156,1227,7.9,16,9,96,10.7,1,165,1323,8.0,17,sony-michel-1
6,Rashaad Penny*,San Diego State,MWC,13,289,2248,7.8,23,19,135,7.1,2,308,2383,7.7,25,rashaad-penny-1
7,Damien Harris*,Alabama,SEC,14,135,1000,7.4,11,12,91,7.6,0,147,1091,7.4,11,damien-harris-1
8,Kell Walker*,Army,Ind,12,86,629,7.3,6,5,111,22.2,0,91,740,8.1,6,kell-walker-1
9,Ahmad Bradshaw*,Army,Ind,13,242,1746,7.2,14,0,0,,0,242,1746,7.2,14,ahmad-bradshaw-2
10,J.K. Dobbins*,Ohio State,Big Ten,14,194,1403,7.2,7,22,135,6.1,1,216,1538,7.1,8,jk-dobbins-1
11,Travis Etienne*,Clemson,ACC,13,107,766,7.2,13,5,57,11.4,0,112,823,7.3,13,travis-etienne-1
12,Lamar Jackson*,Louisville,ACC,13,232,1601,6.9,18,0,0,,0,232,1601,6.9,18,lamar-jackson-1
13,Josh Adams*,Notre Dame,Ind,13,206,1430,6.9,9,13,101,7.8,0,219,1531,7.0,9,josh-adams-2
14,Dorian Brown*,Ohio,MAC,12,111,757,6.8,11,3,16,5.3,0,114,773,6.8,11,dorian-brown-1
15,Andrew Clair,Bowling Green State,MAC,11,107,725,6.8,4,13,129,9.9,2,120,854,7.1,6,andrew-clair-1
16,Malik Davis,Florida,SEC,7,79,526,6.7,2,7,58,8.3,0,86,584,6.8,2,malik-davis-1
17,Jonathan Taylor*,Wisconsin,Big Ten,14,299,1977,6.6,13,8,95,11.9,0,307,2072,6.7,13,jonathan-taylor-1
18,Nathan Rourke*,Ohio,MAC,13,137,907,6.6,21,3,36,12.0,1,140,943,6.7,22,nathan-rourke-1
