
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Henry Josey*,Missouri,Big 12,10,145,1168,8.1,9,10,91,9.1,0,155,1259,8.1,9,henry-josey-1
2,Ja'Terian Douglas*,Tulsa,CUSA,13,112,883,7.9,4,11,59,5.4,0,123,942,7.7,4,jaterian-douglas-1
3,Michael Smith*,Utah State,WAC,13,114,870,7.6,9,16,181,11.3,2,130,1051,8.1,11,michael-smith-6
4,Charles Sims*,Houston,CUSA,13,110,821,7.5,9,51,575,11.3,4,161,1396,8.7,13,charles-sims-1
5,LaMichael James*,Oregon,Pac-12,12,247,1805,7.3,18,17,210,12.4,1,264,2015,7.6,19,lamichael-james-1
6,Raymond Maples,Army,Ind,11,146,1066,7.3,4,1,5,5.0,0,147,1071,7.3,4,raymond-maples-1
7,C.J. Brown,Maryland,ACC,10,79,574,7.3,5,,,,,79,574,7.3,5,cj-brown-1
8,Waymon James*,TCU,MWC,13,121,875,7.2,6,10,113,11.3,0,131,988,7.5,6,waymon-james-1
9,Chandler Harnish*,Northern Illinois,MAC,14,194,1379,7.1,11,,,,,194,1379,7.1,11,chandler-harnish-1
10,Eddie Lacy*,Alabama,SEC,12,95,674,7.1,7,11,131,11.9,0,106,805,7.6,7,eddie-lacy-1
11,Jeremy Smith*,Oklahoma State,Big 12,12,91,646,7.1,9,11,81,7.4,0,102,727,7.1,9,jeremy-smith-2
12,Malcolm Brown,Army,Ind,12,81,572,7.1,3,7,163,23.3,2,88,735,8.4,5,malcolm-brown-1
13,Curtis McNeal,USC,Pac-12,12,145,1005,6.9,6,3,19,6.3,0,148,1024,6.9,6,curtis-mcneal-1
14,Jonas Gray*,Notre Dame,Ind,11,114,791,6.9,12,6,38,6.3,0,120,829,6.9,12,jonas-gray-1
15,Asher Clark*,Air Force,MWC,13,163,1110,6.8,7,8,33,4.1,0,171,1143,6.7,7,asher-clark-1
16,Jamal Woodyard*,Southern Mississippi,CUSA,13,110,732,6.7,3,17,159,9.4,2,127,891,7.0,5,jamal-woodyard-1
17,Joe Banyard,UTEP,CUSA,12,127,832,6.6,6,12,67,5.6,0,139,899,6.5,6,joe-banyard-1
18,Montee Ball*,Wisconsin,Big Ten,14,307,1923,6.3,33,24,306,12.8,6,331,2229,6.7,39,montee-ball-1
19,Adonis Thomas*,Toledo,MAC,10,171,1071,6.3,12,31,350,11.3,1,202,1421,7.0,13,adonis-thomas-1
20,Dennis Johnson*,Arkansas,SEC,11,106,670,6.3,3,24,255,10.6,2,130,925,7.1,5,dennis-johnson-1
21,Terrance Ganaway*,Baylor,Big 12,13,250,1547,6.2,21,6,52,8.7,1,256,1599,6.2,22,terrance-ganaway-1
22,Vick Ballard*,Mississippi State,SEC,13,193,1189,6.2,10,20,187,9.4,1,213,1376,6.5,11,vick-ballard-1
23,Kenjon Barner*,Oregon,Pac-12,12,152,939,6.2,11,17,184,10.8,3,169,1123,6.6,14,kenjon-barner-1
24,Larry Dixon,Army,Ind,12,87,542,6.2,5,1,25,25.0,0,88,567,6.4,5,larry-dixon-1
25,Robert Turbin*,Utah State,WAC,13,249,1517,6.1,19,17,171,10.1,4,266,1688,6.3,23,robert-turbin-1
26,Ed Wesley*,TCU,MWC,10,120,726,6.1,6,6,82,13.7,0,126,808,6.4,6,ed-wesley-1
27,Dominique Sherrer,Eastern Michigan,MAC,6,94,572,6.1,2,3,33,11.0,0,97,605,6.2,2,dominique-sherrer-1
28,Christine Michael*,Texas A&amp;M,Big 12,9,149,899,6.0,8,8,35,4.4,1,157,934,5.9,9,christine-michael-1
29,Michael Ford*,LSU,SEC,14,127,756,6.0,7,4,10,2.5,0,131,766,5.8,7,michael-ford-2
30,David Wilson*,Virginia Tech,ACC,14,290,1709,5.9,9,22,129,5.9,1,312,1838,5.9,10,david-wilson-1
31,Trent Richardson*,Alabama,SEC,13,283,1679,5.9,21,29,338,11.7,3,312,2017,6.5,24,trent-richardson-1
32,Zach Line*,SMU,CUSA,10,208,1224,5.9,17,15,139,9.3,0,223,1363,6.1,17,zach-line-1
33,Zac Stacy*,Vanderbilt,SEC,13,201,1193,5.9,14,20,106,5.3,0,221,1299,5.9,14,zac-stacy-1
34,Johnathan Franklin*,UCLA,Pac-12,14,166,976,5.9,5,9,74,8.2,1,175,1050,6.0,6,johnathan-franklin-1
35,Matt Brown*,Temple,MAC,13,155,916,5.9,6,3,7,2.3,0,158,923,5.8,6,matt-brown-1
36,Anthon Samuel,Bowling Green State,MAC,9,144,844,5.9,5,15,93,6.2,0,159,937,5.9,5,anthon-samuel-1
37,Joseph Randle*,Oklahoma State,Big 12,13,208,1216,5.8,24,43,266,6.2,2,251,1482,5.9,26,joseph-randle-1
38,Ray Graham*,Pitt,Big East,8,164,958,5.8,9,30,200,6.7,0,194,1158,6.0,9,ray-graham-1
39,Jeff Demps*,Florida,SEC,12,98,569,5.8,6,16,172,10.8,0,114,741,6.5,6,jeff-demps-1
40,Chris Nwoke,Colorado State,MWC,12,200,1130,5.7,9,23,143,6.2,0,223,1273,5.7,9,chris-nwoke-1
41,Lampford Mark*,Nevada,WAC,8,159,911,5.7,10,7,32,4.6,0,166,943,5.7,10,lampford-mark-1
42,Matthew Tucker*,TCU,MWC,13,123,702,5.7,12,8,77,9.6,0,131,779,5.9,12,matthew-tucker-1
43,Onterio McCalebb*,Auburn,SEC,13,112,641,5.7,5,32,344,10.8,2,144,985,6.8,7,onterio-mccalebb-1
44,Lamar Miller,Miami (FL),ACC,12,227,1272,5.6,9,17,85,5.0,1,244,1357,5.6,10,lamar-miller-1
45,Fitzgerald Toussaint*,Michigan,Big Ten,12,187,1041,5.6,9,6,28,4.7,1,193,1069,5.5,10,fitzgerald-toussaint-1
46,Trey Watts*,Tulsa,CUSA,13,157,881,5.6,3,31,242,7.8,3,188,1123,6.0,6,trey-watts-1
47,Tim Cornett,UNLV,MWC,11,119,671,5.6,7,10,54,5.4,0,129,725,5.6,7,tim-cornett-1
48,Tevin Drake*,Western Michigan,MAC,12,105,586,5.6,5,4,17,4.3,0,109,603,5.5,5,tevin-drake-1
49,Latavius Murray,UCF,CUSA,12,98,549,5.6,8,17,242,14.2,1,115,791,6.9,9,latavius-murray-1
50,Ronnie Hillman*,San Diego State,MWC,13,311,1711,5.5,19,24,270,11.3,1,335,1981,5.9,20,ronnie-hillman-1
51,Stepfan Taylor*,Stanford,Pac-12,13,242,1330,5.5,10,25,182,7.3,2,267,1512,5.7,12,stepfan-taylor-1
52,Tyler Smith,Rice,CUSA,12,155,860,5.5,5,39,309,7.9,1,194,1169,6.0,6,tyler-smith-1
53,Dustin Garrison*,West Virginia,Big East,12,136,742,5.5,6,24,201,8.4,0,160,943,5.9,6,dustin-garrison-1
54,Dominique Whaley*,Oklahoma,Big 12,7,113,627,5.5,9,15,153,10.2,0,128,780,6.1,9,dominique-whaley-1
55,Roy Finch*,Oklahoma,Big 12,13,111,605,5.5,3,34,296,8.7,0,145,901,6.2,3,roy-finch-1
56,Bernard Pierce*,Temple,MAC,12,273,1481,5.4,27,3,52,17.3,0,276,1533,5.6,27,bernard-pierce-1
57,Cody Fajardo*,Nevada,WAC,10,128,694,5.4,11,,,,,128,694,5.4,11,cody-fajardo-1
58,Michael Alisa*,Brigham Young,Ind,12,85,455,5.4,3,5,55,11.0,1,90,510,5.7,4,michael-alisa-1
59,Isaiah Pead*,Cincinnati,Big East,13,237,1259,5.3,12,39,319,8.2,3,276,1578,5.7,15,isaiah-pead-1
60,Andre Ellington*,Clemson,ACC,13,223,1178,5.3,11,22,109,5.0,0,245,1287,5.3,11,andre-ellington-1
61,Denard Robinson*,Michigan,Big Ten,13,221,1176,5.3,16,,,,,221,1176,5.3,16,denard-robinson-1
62,Cyrus Gray*,Texas A&amp;M,Big 12,11,198,1045,5.3,12,31,239,7.7,3,229,1284,5.6,15,cyrus-gray-1
63,Donte Harden*,Ohio,MAC,12,187,986,5.3,2,27,267,9.9,2,214,1253,5.9,4,donte-harden-1
64,Darrell Scott,South Florida,Big East,11,153,814,5.3,5,15,169,11.3,1,168,983,5.9,6,darrell-scott-1
65,Stephen Houston,Indiana,Big Ten,12,151,802,5.3,8,17,164,9.6,0,168,966,5.8,8,stephen-houston-1
66,Michael Hayes*,Houston,CUSA,13,138,727,5.3,11,44,483,11.0,4,182,1210,6.6,15,michael-hayes-1
67,Rickey Galvin,Washington State,Pac-12,12,114,602,5.3,5,28,242,8.6,1,142,844,5.9,6,rickey-galvin-1
68,Carlos Hyde*,Ohio State,Big Ten,13,106,566,5.3,6,10,73,7.3,0,116,639,5.5,6,carlos-hyde-1
69,Isi Sofele*,California,Pac-12,13,252,1322,5.2,10,6,33,5.5,0,258,1355,5.3,10,isi-sofele-1
70,Giovani Bernard*,North Carolina,ACC,13,239,1253,5.2,13,45,362,8.0,1,284,1615,5.7,14,giovani-bernard-1
71,Le'Veon Bell*,Michigan State,Big Ten,14,182,948,5.2,13,35,267,7.6,0,217,1215,5.6,13,leveon-bell-1
72,Davin Meggett,Maryland,ACC,12,171,896,5.2,4,17,141,8.3,1,188,1037,5.5,5,davin-meggett-1
73,Mike Ball*,Nevada,WAC,9,135,704,5.2,3,11,42,3.8,2,146,746,5.1,5,mike-ball-1
74,David Sims*,Georgia Tech,ACC,12,135,698,5.2,7,3,29,9.7,1,138,727,5.3,8,david-sims-2
75,Eric Stephens,Texas Tech,Big 12,5,108,565,5.2,8,16,133,8.3,0,124,698,5.6,8,eric-stephens-1
76,Donovonn Young*,Illinois,Big Ten,12,87,451,5.2,6,8,15,1.9,0,95,466,4.9,6,donovonn-young-1
77,Chris Polk*,Washington,Pac-12,13,293,1488,5.1,12,31,332,10.7,4,324,1820,5.6,16,chris-polk-1
78,Michael Dyer*,Auburn,SEC,12,242,1242,5.1,10,2,7,3.5,0,244,1249,5.1,10,michael-dyer-1
79,Silas Redd*,Penn State,Big Ten,13,244,1241,5.1,7,9,40,4.4,0,253,1281,5.1,7,silas-redd-1
80,Cierre Wood*,Notre Dame,Ind,13,217,1102,5.1,9,27,189,7.0,0,244,1291,5.3,9,cierre-wood-1
81,Jasmin Hopkins*,Northern Illinois,MAC,14,187,956,5.1,15,12,54,4.5,1,199,1010,5.1,16,jasmin-hopkins-1
82,James White*,Wisconsin,Big Ten,13,141,713,5.1,6,15,150,10.0,0,156,863,5.5,6,james-white-2
83,Brett Smith*,Wyoming,MWC,13,139,710,5.1,10,2,17,8.5,1,141,727,5.2,11,brett-smith-1
84,David Fluellen*,Toledo,MAC,13,97,493,5.1,4,16,155,9.7,2,113,648,5.7,6,david-fluellen-1
85,Tracy Lampley*,Southern Mississippi,CUSA,14,91,463,5.1,3,47,574,12.2,4,138,1037,7.5,7,tracy-lampley-1
86,Greg Franklin,UAB,CUSA,12,84,430,5.1,2,21,284,13.5,0,105,714,6.8,2,greg-franklin-1
87,Alfred Morris,Florida Atlantic,Sun Belt,12,236,1186,5.0,9,15,139,9.3,1,251,1325,5.3,10,alfred-morris-1
88,Perry Jones*,Virginia,ACC,13,184,915,5.0,5,48,506,10.5,3,232,1421,6.1,8,perry-jones-1
89,Chris Rainey*,Florida,SEC,12,171,861,5.0,2,31,381,12.3,2,202,1242,6.1,4,chris-rainey-1
90,Marcus Lattimore*,South Carolina,SEC,7,163,818,5.0,10,19,182,9.6,1,182,1000,5.5,11,marcus-lattimore-1
91,Derrick Coleman*,UCLA,Pac-12,14,152,765,5.0,11,5,24,4.8,0,157,789,5.0,11,derrick-coleman-1
92,Dan Herron*,Ohio State,Big Ten,7,134,675,5.0,3,8,34,4.3,0,142,709,5.0,3,dan-herron-1
93,Morgan Williams*,Toledo,MAC,13,134,671,5.0,11,17,167,9.8,3,151,838,5.5,14,morgan-williams-1
94,JJ Di Luigi*,Brigham Young,Ind,13,116,584,5.0,3,27,274,10.1,0,143,858,6.0,3,jj-di-luigi-1
95,Joey Iosefa,Hawaii,WAC,13,110,548,5.0,7,20,122,6.1,1,130,670,5.2,8,joey-iosefa-1
96,Beau Blankenship*,Ohio,MAC,13,93,462,5.0,4,3,19,6.3,0,96,481,5.0,4,beau-blankenship-1
97,Marcus Coker*,Iowa,Big Ten,12,281,1384,4.9,15,21,157,7.5,0,302,1541,5.1,15,marcus-coker-1
98,Doug Martin*,Boise State,MWC,13,263,1299,4.9,16,28,255,9.1,2,291,1554,5.3,18,doug-martin-1
99,Kedrick Rhodes*,Florida International,Sun Belt,13,234,1149,4.9,8,27,252,9.3,0,261,1401,5.4,8,kedrick-rhodes-1
100,Kenny Turner,New Mexico State,WAC,13,219,1074,4.9,10,46,514,11.2,3,265,1588,6.0,13,kenny-turner-1
101,John Hubert*,Kansas State,Big 12,13,200,970,4.9,3,24,188,7.8,1,224,1158,5.2,4,john-hubert-1
102,Marqueis Gray,Minnesota,Big Ten,11,199,966,4.9,6,,,,,199,966,4.9,6,marqueis-gray-1
103,Trent Steelman,Army,Ind,9,132,645,4.9,12,,,,,132,645,4.9,12,trent-steelman-1
104,Ladarius Perkins*,Mississippi State,SEC,13,87,422,4.9,2,13,59,4.5,2,100,481,4.8,4,ladarius-perkins-1
105,John White*,Utah,Pac-12,13,316,1519,4.8,15,13,44,3.4,2,329,1563,4.8,17,john-white-9
106,Rex Burkhead*,Nebraska,Big Ten,13,284,1357,4.8,15,21,177,8.4,2,305,1534,5.0,17,rex-burkhead-1
107,Kain Colter*,Northwestern,Big Ten,13,135,654,4.8,9,43,466,10.8,3,178,1120,6.3,12,kain-colter-1
108,Hunter Lee*,Louisiana Tech,WAC,13,135,650,4.8,5,13,126,9.7,0,148,776,5.2,5,hunter-lee-1
109,William Pratcher,Middle Tennessee State,Sun Belt,12,122,585,4.8,2,6,67,11.2,0,128,652,5.1,2,william-pratcher-1
110,Raymond Carter,Colorado State,MWC,12,121,584,4.8,4,15,138,9.2,1,136,722,5.3,5,raymond-carter-2
111,Devonta Freeman*,Florida State,ACC,12,120,579,4.8,8,15,111,7.4,0,135,690,5.1,8,devonta-freeman-1
112,Mike Dewitt*,Air Force,MWC,13,117,567,4.8,12,1,9,9.0,0,118,576,4.9,12,mike-dewitt-2
113,Kendial Lawrence*,Missouri,Big 12,10,119,566,4.8,5,14,77,5.5,0,133,643,4.8,5,kendial-lawrence-1
114,D.J. Harper*,Boise State,MWC,12,115,557,4.8,9,19,140,7.4,1,134,697,5.2,10,dj-harper-1
115,Turner Petersen,Rice,CUSA,12,102,485,4.8,5,7,118,16.9,0,109,603,5.5,5,turner-petersen-1
116,Brandon Bolden,Ole Miss,SEC,10,96,462,4.8,4,14,147,10.5,1,110,609,5.5,5,brandon-bolden-1
117,Malcolm Agnew,Oregon State,Pac-12,6,89,423,4.8,5,3,8,2.7,0,92,431,4.7,5,malcolm-agnew-1
118,Deandre Washington,Texas Tech,Big 12,12,77,366,4.8,3,19,109,5.7,0,96,475,4.9,3,deandre-washington-1
119,Robbie Rouse,Fresno State,WAC,13,329,1549,4.7,13,32,228,7.1,1,361,1777,4.9,14,robbie-rouse-1
120,Alexander Teich,Navy,Ind,11,186,883,4.7,4,8,25,3.1,0,194,908,4.7,4,alexander-teich-1
121,James White*,Iowa State,Big 12,13,159,743,4.7,8,21,165,7.9,1,180,908,5.0,9,james-white-1
122,Kevin Parks*,Virginia,ACC,12,152,709,4.7,9,11,82,7.5,1,163,791,4.9,10,kevin-parks-1
123,Princeton McCarty,Idaho,WAC,12,149,705,4.7,3,20,109,5.5,0,169,814,4.8,3,princeton-mccarty-1
124,Javonti Greene,Eastern Michigan,MAC,12,143,667,4.7,6,5,109,21.8,1,148,776,5.2,7,javonti-greene-1
125,Jyruss Edwards,Louisiana-Monroe,Sun Belt,12,143,667,4.7,11,31,203,6.5,1,174,870,5.0,12,jyruss-edwards-1
126,Marc Tyler,USC,Pac-12,10,122,568,4.7,4,11,108,9.8,0,133,676,5.1,4,marc-tyler-1
127,Vic Anderson*,Louisville,Big East,12,114,539,4.7,3,28,232,8.3,1,142,771,5.4,4,vic-anderson-1
128,Akeem Shavers*,Purdue,Big Ten,12,111,519,4.7,6,5,58,11.6,1,116,577,5.0,7,akeem-shavers-1
129,Ka'Deem Carey,Arizona,Pac-12,11,91,425,4.7,6,15,203,13.5,2,106,628,5.9,8,kadeem-carey-1
130,Darrin Reaves,UAB,CUSA,9,79,372,4.7,2,7,56,8.0,0,86,428,5.0,2,darrin-reaves-1
131,Zurlon Tipton,Central Michigan,MAC,7,79,370,4.7,2,17,124,7.3,0,96,494,5.1,2,zurlon-tipton-1
132,Bobby Rainey,Western Kentucky,Sun Belt,12,369,1695,4.6,13,36,361,10.0,4,405,2056,5.1,17,bobby-rainey-1
133,Branden Oliver,Buffalo,MAC,12,306,1395,4.6,13,38,365,9.6,0,344,1760,5.1,13,branden-oliver-1
134,Cameron Marshall*,Arizona State,Pac-12,13,230,1050,4.6,18,24,188,7.8,0,254,1238,4.9,18,cameron-marshall-1
135,Taylor Martinez*,Nebraska,Big Ten,13,188,874,4.6,9,,,,,188,874,4.6,9,taylor-martinez-1
136,Isaiah Crowell*,Georgia,SEC,12,185,850,4.6,5,8,59,7.4,1,193,909,4.7,6,isaiah-crowell-1
137,Alvester Alexander*,Wyoming,MWC,13,152,695,4.6,6,12,200,16.7,0,164,895,5.5,6,alvester-alexander-1
138,Ralph Bolden*,Purdue,Big Ten,12,148,674,4.6,6,13,129,9.9,0,161,803,5.0,6,ralph-bolden-1
139,Dionza Bradford,UNLV,MWC,12,133,615,4.6,3,8,45,5.6,0,141,660,4.7,3,dionza-bradford-1
140,B.J. Daniels,South Florida,Big East,11,132,601,4.6,6,,,,,132,601,4.6,6,bj-daniels-1
141,Brynn Harvey,UCF,CUSA,11,126,574,4.6,3,13,103,7.9,0,139,677,4.9,3,brynn-harvey-1
142,Jeff Scott,Ole Miss,SEC,10,116,529,4.6,6,15,99,6.6,0,131,628,4.8,6,jeff-scott-2
143,Crusoe Gongbay,New Mexico,MWC,12,108,500,4.6,5,11,83,7.5,0,119,583,4.9,5,crusoe-gongbay-1
144,Jared Hassin,Army,Ind,12,98,450,4.6,1,2,39,19.5,0,100,489,4.9,1,jared-hassin-1
145,Anthony Garland,Central Michigan,MAC,8,83,378,4.6,1,,,,,83,378,4.6,1,anthony-garland-1
146,James Franklin*,Missouri,Big 12,13,217,981,4.5,15,1,31,31.0,0,218,1012,4.6,15,james-franklin-1
147,Rodney Stewart,Colorado,Pac-12,11,189,854,4.5,4,45,571,12.7,0,234,1425,6.1,4,rodney-stewart-1
148,Braxton Miller*,Ohio State,Big Ten,12,159,715,4.5,7,,,,,159,715,4.5,7,braxton-miller-1
