
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Vince Young*,Texas,Big 12,12,135,998,7.4,11,,,,,135,998,7.4,11,vince-young-1
2,Matt Jones*,Arkansas,SEC,13,96,707,7.4,8,1,12,12.0,0,97,719,7.4,8,matt-jones-1
3,Thomas Lott,Rice,WAC,11,98,714,7.3,3,4,15,3.8,0,102,729,7.1,3,thomas-lott-1
4,Laurence Maroney*,Minnesota,Big Ten,13,162,1121,6.9,10,1,11,11.0,0,163,1132,6.9,10,laurence-maroney-1
5,Ciatrick Fason*,Florida,SEC,13,84,583,6.9,3,11,142,12.9,3,95,725,7.6,6,ciatrick-fason-1
6,Brad Smith,Missouri,Big 12,12,192,1310,6.8,17,3,53,17.7,1,195,1363,7.0,18,brad-smith-1
7,Vernand Morency*,Oklahoma State,Big 12,13,135,918,6.8,8,4,20,5.0,0,139,938,6.7,8,vernand-morency-1
8,Terry Caulley,Connecticut,Ind,5,89,607,6.8,7,14,81,5.8,1,103,688,6.7,8,terry-caulley-1
9,Darren Sproles*,Kansas State,Big 12,15,306,1986,6.5,16,25,287,11.5,2,331,2273,6.9,18,darren-sproles-1
10,Ryan Moats,Louisiana Tech,WAC,12,199,1300,6.5,10,27,251,9.3,1,226,1551,6.9,11,ryan-moats-1
11,Justin Vincent*,LSU,SEC,14,154,1001,6.5,10,8,80,10.0,0,162,1081,6.7,10,justin-vincent-1
12,Noah Herron*,Northwestern,Big Ten,13,119,739,6.2,5,19,228,12.0,1,138,967,7.0,6,noah-herron-1
13,Decori Birmingham*,Arkansas,SEC,13,88,549,6.2,3,17,186,10.9,2,105,735,7.0,5,decori-birmingham-1
14,Tatum Bell*,Oklahoma State,Big 12,11,213,1286,6.0,16,9,60,6.7,0,222,1346,6.1,16,tatum-bell-1
15,Kevin Jones*,Virginia Tech,Big East,13,281,1647,5.9,21,14,161,11.5,0,295,1808,6.1,21,kevin-jones-3
16,DeAngelo Williams*,Memphis,CUSA,11,243,1430,5.9,10,35,384,11.0,3,278,1814,6.5,13,deangelo-williams-1
17,Taurean Henderson*,Texas Tech,Big 12,13,124,736,5.9,10,78,611,7.8,6,202,1347,6.7,16,taurean-henderson-1
18,Anthony Davis*,Wisconsin,Big Ten,8,116,682,5.9,7,3,54,18.0,0,119,736,6.2,7,anthony-davis-3
19,Kyle Herm,Rice,WAC,10,100,589,5.9,5,,,,,100,589,5.9,5,kyle-herm-1
20,Cedric Cobbs*,Arkansas,SEC,12,227,1320,5.8,10,8,34,4.3,0,235,1354,5.8,10,cedric-cobbs-1
21,Marion Barber III*,Minnesota,Big Ten,13,207,1196,5.8,17,13,119,9.2,0,220,1315,6.0,17,marion-barber-iii-1
22,Lionel Gates*,Louisville,CUSA,13,141,817,5.8,11,25,368,14.7,0,166,1185,7.1,11,lionel-gates-1
23,Kay-Jay Harris*,West Virginia,Big East,12,91,524,5.8,4,5,111,22.2,0,96,635,6.6,4,kay-jay-harris-1
24,Reggie Bush*,USC,Pac-10,13,90,521,5.8,3,15,314,20.9,4,105,835,8.0,7,reggie-bush-1
25,Loren Wade,Arizona State,Pac-10,11,136,773,5.7,5,3,19,6.3,1,139,792,5.7,6,loren-wade-1
26,Nick Turner,Mississippi State,SEC,12,123,696,5.7,7,19,93,4.9,0,142,789,5.6,7,nick-turner-1
27,J.J. Arrington*,California,Pac-10,13,107,607,5.7,5,21,178,8.5,3,128,785,6.1,8,jj-arrington-1
28,John Randle*,Kansas,Big 12,13,88,503,5.7,2,19,136,7.2,1,107,639,6.0,3,john-randle-1
29,Reynaldo Brathwaite,Brigham Young,MWC,10,145,812,5.6,2,19,100,5.3,0,164,912,5.6,2,reynaldo-brathwaite-1
30,Reynoldo Brathwaite,Brigham Young,MWC,10,145,812,5.6,2,19,100,5.3,0,164,912,5.6,2,reynoldo-brathwaite-1
31,Patrick Cobbs,North Texas,Sun Belt,10,284,1570,5.5,17,4,43,10.8,1,288,1613,5.6,18,patrick-cobbs-1
32,Julius Jones,Notre Dame,Ind,12,229,1268,5.5,10,10,53,5.3,0,239,1321,5.5,10,julius-jones-1
33,Howard Jackson,UTEP,WAC,13,208,1146,5.5,6,27,391,14.5,2,235,1537,6.5,8,howard-jackson-1
