
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Anthony Alridge*,Houston,CUSA,14,95,959,10.1,8,19,274,14.4,1,114,1233,10.8,9,anthony-alridge-1
2,Rashard Mendenhall,Illinois,Big Ten,12,78,640,8.2,5,12,164,13.7,1,90,804,8.9,6,rashard-mendenhall-1
3,Felix Jones*,Arkansas,SEC,14,154,1168,7.6,6,15,107,7.1,3,169,1275,7.5,9,felix-jones-1
4,Nate Ilaoa*,Hawaii,WAC,13,131,990,7.6,13,67,837,12.5,5,198,1827,9.2,18,nate-ilaoa-1
5,Pat White*,West Virginia,Big East,12,165,1219,7.4,18,,,,,165,1219,7.4,18,pat-white-1
6,C.J. Spiller*,Clemson,ACC,13,129,938,7.3,10,19,210,11.1,2,148,1148,7.8,12,cj-spiller-1
7,Devin Moore,Wyoming,MWC,12,80,574,7.2,3,21,113,5.4,0,101,687,6.8,3,devin-moore-1
8,Reggie Campbell*,Navy,Ind,13,99,706,7.1,5,13,244,18.8,2,112,950,8.5,7,reggie-campbell-1
9,Steve Slaton*,West Virginia,Big East,13,248,1744,7.0,16,27,360,13.3,2,275,2104,7.7,18,steve-slaton-1
10,Mike Goodson*,Texas A&amp;M,Big 12,13,127,847,6.7,4,17,113,6.6,0,144,960,6.7,4,mike-goodson-1
11,Dantrell Savage*,Oklahoma State,Big 12,11,126,820,6.5,8,8,48,6.0,0,134,868,6.5,8,dantrell-savage-1
12,Lamarcus Coker*,Tennessee,SEC,11,108,696,6.4,5,13,168,12.9,1,121,864,7.1,6,lamarcus-coker-1
13,Jeremiah Johnson*,Oregon,Pac-10,13,103,644,6.3,10,17,100,5.9,0,120,744,6.2,10,jeremiah-johnson-1
14,Garrett Wolfe*,Northern Illinois,MAC,13,309,1928,6.2,18,28,249,8.9,1,337,2177,6.5,19,garrett-wolfe-1
15,Ian Johnson*,Boise State,WAC,12,277,1713,6.2,25,8,55,6.9,0,285,1768,6.2,25,ian-johnson-1
16,Yonus Davis*,San Jose State,WAC,13,163,1007,6.2,6,7,86,12.3,1,170,1093,6.4,7,yonus-davis-1
17,Ahmad Bradshaw,Marshall,CUSA,12,249,1523,6.1,19,17,129,7.6,2,266,1652,6.2,21,ahmad-bradshaw-1
18,Marshawn Lynch*,California,Pac-10,13,223,1356,6.1,11,34,328,9.6,4,257,1684,6.6,15,marshawn-lynch-1
19,Shannon Woods*,Texas Tech,Big 12,13,152,926,6.1,10,75,572,7.6,2,227,1498,6.6,12,shannon-woods-1
20,Jaycen Taylor*,Purdue,Big Ten,14,113,677,6.0,4,26,261,10.0,1,139,938,6.7,5,jaycen-taylor-1
