
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Derrick Lewis,San Diego State,MWC,11,31,782,25.2,3,3,20,6.7,0,34,802,23.6,3,derrick-lewis-1
2,Robert Prescott*,Oregon State,Pac-10,9,28,643,23.0,4,1,25,25.0,0,29,668,23.0,4,robert-prescott-1
3,Chad Johnson*,Oregon State,Pac-10,12,37,806,21.8,8,2,-5,-2.5,0,39,801,20.5,8,chad-johnson-1
4,Marcellus Harris,East Carolina,CUSA,10,23,496,21.6,5,6,72,12.0,0,29,568,19.6,5,marcellus-harris-1
5,Snoop Minnis,Florida State,ACC,12,63,1340,21.3,11,,,,,63,1340,21.3,11,snoop-minnis-1
6,Steve Smith Sr.,Utah,MWC,10,35,743,21.2,4,5,31,6.2,0,40,774,19.4,4,steve-smith-3
7,Roy Williams,Texas,Big 12,11,40,809,20.2,8,2,75,37.5,2,42,884,21.0,10,roy-williams-3
8,Lavel Bailey,Akron,MAC,11,44,876,19.9,8,1,8,8.0,0,45,884,19.6,8,lavel-bailey-1
9,Lou Fanucchi,Boise State,Big West,11,40,796,19.9,8,1,0,0.0,0,41,796,19.4,8,lou-fanucchi-1
10,Rashied Davis,San Jose State,WAC,12,40,785,19.6,6,1,-5,-5.0,1,41,780,19.0,7,rashied-davis-1
11,Marcus Williams,Washington State,Pac-10,11,33,643,19.5,4,,,,,33,643,19.5,4,marcus-williams-5
12,Freddie Mitchell,UCLA,Pac-10,11,68,1314,19.3,8,3,0,0.0,0,71,1314,18.5,8,freddie-mitchell-1
13,Lee Evans,Wisconsin,Big Ten,13,33,634,19.2,4,,,,,33,634,19.2,4,lee-evans-1
14,Antonio Bryant,Pitt,Big East,10,68,1302,19.1,11,,,,,68,1302,19.1,11,antonio-bryant-1
15,Versie Gaddis,Indiana,Big Ten,11,29,554,19.1,3,1,1,1.0,0,30,555,18.5,3,versie-gaddis-1
16,Jerry Dorsey,Indiana,Big Ten,11,27,514,19.0,3,,,,,27,514,19.0,3,jerry-dorsey-1
17,Rod Gardner,Clemson,ACC,11,51,956,18.7,6,4,-1,-0.3,0,55,955,17.4,6,rod-gardner-1
18,Milton Wynn,Washington State,Pac-10,11,52,964,18.5,5,2,32,16.0,1,54,996,18.4,6,milton-wynn-1
19,Jake Schifino,Akron,MAC,11,42,778,18.5,4,4,32,8.0,0,46,810,17.6,4,jake-schifino-1
20,Kerry Watkins,Georgia Tech,ACC,10,26,480,18.5,6,2,17,8.5,0,28,497,17.8,6,kerry-watkins-1
21,Matt Davison,Nebraska,Big 12,11,21,389,18.5,3,,,,,21,389,18.5,3,matt-davison-1
22,Aaron Jones,Utah State,Big West,11,63,1159,18.4,11,1,-1,-1.0,0,64,1158,18.1,11,aaron-jones-1
23,Quincy Morgan,Kansas State,Big 12,13,64,1166,18.2,14,3,11,3.7,0,67,1177,17.6,14,quincy-morgan-1
24,Jonathan Pittman,Brigham Young,MWC,12,38,691,18.2,5,,,,,38,691,18.2,5,jonathan-pittman-1
25,Atrews Bell,Florida State,ACC,12,37,675,18.2,10,2,2,1.0,1,39,677,17.4,11,atrews-bell-1
26,Troy Mason,UNLV,MWC,12,27,492,18.2,1,,,,,27,492,18.2,1,troy-mason-1
27,Ron Johnson,Minnesota,Big Ten,11,59,1067,18.1,11,,,,,59,1067,18.1,11,ron-johnson-1
28,Fabian Davis,Wake Forest,ACC,11,33,596,18.1,3,5,62,12.4,0,38,658,17.3,3,fabian-davis-1
29,Teddy Johnson*,Northwestern,Big Ten,12,33,595,18.0,7,1,5,5.0,0,34,600,17.6,7,teddy-johnson-1
30,Billy McMullen,Virginia,ACC,11,30,541,18.0,3,,,,,30,541,18.0,3,billy-mcmullen-1
31,Ryan Fleming,Air Force,MWC,11,52,930,17.9,5,,,,,52,930,17.9,5,ryan-fleming-1
32,Quentin McCord,Kentucky,SEC,11,45,799,17.8,6,2,14,7.0,0,47,813,17.3,6,quentin-mccord-1
33,Dedrick Dewalt,Boston College,Big East,11,38,676,17.8,8,1,33,33.0,0,39,709,18.2,8,dedrick-dewalt-1
34,Corey Alston,Western Michigan,MAC,12,29,516,17.8,5,,,,,29,516,17.8,5,corey-alston-1
35,Tim Fleming,Nevada,WAC,11,25,446,17.8,2,,,,,25,446,17.8,2,tim-fleming-1
36,Justin McCareins,Northern Illinois,MAC,11,66,1168,17.7,10,8,73,9.1,0,74,1241,16.8,10,justin-mccareins-1
37,Reggie Wayne,Miami (FL),Big East,11,43,755,17.6,10,2,15,7.5,0,45,770,17.1,10,reggie-wayne-1
