
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Nick Chubb*,Georgia,SEC,6,92,747,8.1,7,4,32,8.0,1,96,779,8.1,8,nick-chubb-1
2,Matt Breida*,Georgia Southern,Sun Belt,13,203,1609,7.9,17,3,6,2.0,0,206,1615,7.8,17,matt-breida-1
3,Marcus Marshall,Georgia Tech,ACC,11,85,649,7.6,4,3,42,14.0,0,88,691,7.9,4,marcus-marshall-1
4,Dalvin Cook*,Florida State,ACC,12,229,1691,7.4,19,24,244,10.2,1,253,1935,7.6,20,dalvin-cook-1
5,Johnny Jefferson*,Baylor,Big 12,11,136,1000,7.4,8,4,17,4.3,0,140,1017,7.3,8,johnny-jefferson-1
6,Jalin Moore*,Appalachian State,Sun Belt,11,99,731,7.4,5,0,0,,0,99,731,7.4,5,jalin-moore-1
7,Josh Adams*,Notre Dame,Ind,12,116,838,7.2,6,7,42,6.0,1,123,880,7.2,7,josh-adams-2
8,Mike Boone*,Cincinnati,American,11,104,749,7.2,9,15,108,7.2,0,119,857,7.2,9,mike-boone-2
9,Anthony Wales*,Western Kentucky,CUSA,11,154,1086,7.1,9,27,225,8.3,2,181,1311,7.2,11,anthony-wales-1
10,Boom Williams,Kentucky,SEC,10,121,855,7.1,6,13,74,5.7,0,134,929,6.9,6,boom-williams-1
11,D'Onta Foreman,Texas,Big 12,10,94,672,7.1,5,5,64,12.8,0,99,736,7.4,5,donta-foreman-1
12,Larry Rose III,New Mexico State,Sun Belt,12,239,1657,6.9,14,30,283,9.4,2,269,1940,7.2,16,larry-rose-iii-1
13,Shock Linwood*,Baylor,Big 12,12,196,1329,6.8,10,9,71,7.9,1,205,1400,6.8,11,shock-linwood-1
14,Wesley Fields*,Georgia Southern,Sun Belt,13,100,682,6.8,7,4,105,26.3,1,104,787,7.6,8,wesley-fields-1
15,Elijah Hood*,North Carolina,ACC,14,218,1463,6.7,17,13,71,5.5,0,231,1534,6.6,17,elijah-hood-1
16,Joe Mixon*,Oklahoma,Big 12,13,113,753,6.7,7,28,356,12.7,4,141,1109,7.9,11,joe-mixon-1
17,Khalfani Muhammad*,California,Pac-12,12,87,586,6.7,1,17,189,11.1,2,104,775,7.5,3,khalfani-muhammad-1
18,Marlon Mack*,South Florida,American,12,210,1381,6.6,8,16,111,6.9,1,226,1492,6.6,9,marlon-mack-1
19,Ito Smith*,Southern Mississippi,CUSA,14,171,1128,6.6,10,49,515,10.5,3,220,1643,7.5,13,ito-smith-1
20,C.J. Prosise*,Notre Dame,Ind,10,157,1029,6.6,11,26,308,11.8,1,183,1337,7.3,12,cj-prosise-1
21,Xavier Johnson,South Alabama,Sun Belt,12,145,956,6.6,7,9,82,9.1,1,154,1038,6.7,8,xavier-johnson-1
22,Leonard Fournette*,LSU,SEC,12,300,1953,6.5,22,19,253,13.3,1,319,2206,6.9,23,leonard-fournette-1
23,Royce Freeman*,Oregon,Pac-12,13,283,1836,6.5,17,26,348,13.4,2,309,2184,7.1,19,royce-freeman-1
24,James Butler*,Nevada,MWC,13,208,1345,6.5,10,7,44,6.3,0,215,1389,6.5,10,james-butler-4
25,Jamauri Bogan*,Western Michigan,MAC,13,162,1051,6.5,16,3,15,5.0,0,165,1066,6.5,16,jamauri-bogan-1
26,Ronald Jones*,USC,Pac-12,14,153,987,6.5,8,7,39,5.6,1,160,1026,6.4,9,ronald-jones-4
27,Terry Swanson*,Toledo,MAC,11,143,923,6.5,7,13,71,5.5,0,156,994,6.4,7,terry-swanson-1
28,Matt Dayes*,North Carolina State,ACC,8,134,865,6.5,12,24,172,7.2,0,158,1037,6.6,12,matt-dayes-1
29,Alvin Kamara*,Tennessee,SEC,13,107,698,6.5,7,34,291,8.6,3,141,989,7.0,10,alvin-kamara-1
30,Wendell Smallwood*,West Virginia,Big 12,13,238,1519,6.4,9,26,160,6.2,0,264,1679,6.4,9,wendell-smallwood-1
31,Deandre Washington*,Texas Tech,Big 12,13,233,1492,6.4,14,41,385,9.4,2,274,1877,6.9,16,deandre-washington-1
32,Michael Gordon*,Arkansas State,Sun Belt,13,167,1068,6.4,9,13,81,6.2,2,180,1149,6.4,11,michael-gordon-1
33,Brandon Ross,Maryland,Big Ten,12,150,958,6.4,10,5,17,3.4,0,155,975,6.3,10,brandon-ross-2
34,Ezekiel Elliott*,Ohio State,Big Ten,13,289,1821,6.3,23,27,206,7.6,0,316,2027,6.4,23,ezekiel-elliott-1
35,Marquis Young,Massachusetts,MAC,12,154,973,6.3,7,14,66,4.7,0,168,1039,6.2,7,marquis-young-1
36,Devon Johnson*,Marshall,CUSA,7,94,593,6.3,5,6,63,10.5,1,100,656,6.6,6,devon-johnson-1
37,Terence Williams*,Baylor,Big 12,9,88,556,6.3,3,2,7,3.5,0,90,563,6.3,3,terence-williams-2
38,Jordan Howard*,Indiana,Big Ten,9,196,1213,6.2,9,11,106,9.6,1,207,1319,6.4,10,jordan-howard-1
39,Jhurell Pressley*,New Mexico,MWC,13,147,907,6.2,11,1,2,2.0,0,148,909,6.1,11,jhurell-pressley-1
40,Kevin Ellison*,Georgia Southern,Sun Belt,11,114,712,6.2,8,0,0,,0,114,712,6.2,8,kevin-ellison-3
41,Johnston White*,Arkansas State,Sun Belt,13,99,616,6.2,14,3,12,4.0,0,102,628,6.2,14,johnston-white-1
42,Lexington Thomas,UNLV,MWC,12,81,506,6.2,3,10,100,10.0,0,91,606,6.7,3,lexington-thomas-1
43,Jared Baker*,Arizona,Pac-12,12,131,798,6.1,9,11,101,9.2,1,142,899,6.3,10,jared-baker-1
44,Izzy Matthews*,Colorado State,MWC,10,97,590,6.1,5,4,43,10.8,0,101,633,6.3,5,izzy-matthews-1
45,Christian McCaffrey*,Stanford,Pac-12,14,337,2019,6.0,8,45,645,14.3,5,382,2664,7.0,13,christian-mccaffrey-1
46,Samaje Perine*,Oklahoma,Big 12,13,226,1349,6.0,16,15,107,7.1,1,241,1456,6.0,17,samaje-perine-1
47,Jarveon Williams,UTSA,CUSA,11,173,1039,6.0,8,9,60,6.7,0,182,1099,6.0,8,jarveon-williams-1
48,Marquise Williams*,North Carolina,ACC,14,158,948,6.0,13,1,37,37.0,1,159,985,6.2,14,marquise-williams-1
49,Shannon Brooks*,Minnesota,Big Ten,11,119,709,6.0,7,17,167,9.8,0,136,876,6.4,7,shannon-brooks-1
50,Warren Wand*,Arkansas State,Sun Belt,13,117,707,6.0,5,18,135,7.5,0,135,842,6.2,5,warren-wand-1
51,Shaq Vann,Eastern Michigan,MAC,12,102,611,6.0,5,34,221,6.5,1,136,832,6.1,6,shaq-vann-1
52,Marcus Cox*,Appalachian State,Sun Belt,12,243,1428,5.9,9,18,160,8.9,2,261,1588,6.1,11,marcus-cox-2
53,Mike Warren,Iowa State,Big 12,12,227,1339,5.9,5,14,70,5.0,0,241,1409,5.8,5,mike-warren-2
54,Ray Lawry,Old Dominion,CUSA,11,194,1136,5.9,11,21,152,7.2,1,215,1288,6.0,12,ray-lawry-1
55,Jalen Richard*,Southern Mississippi,CUSA,13,185,1098,5.9,14,30,284,9.5,2,215,1382,6.4,16,jalen-richard-1
56,Saquon Barkley*,Penn State,Big Ten,11,182,1076,5.9,7,20,161,8.1,1,202,1237,6.1,8,saquon-barkley-1
57,Devante Mays*,Utah State,MWC,13,165,966,5.9,9,1,9,9.0,0,166,975,5.9,9,devante-mays-1
58,Lamar Jackson*,Louisville,ACC,12,163,960,5.9,11,0,0,,0,163,960,5.9,11,lamar-jackson-1
59,J.T. Barrett*,Ohio State,Big Ten,11,115,682,5.9,11,0,0,,0,115,682,5.9,11,jt-barrett-1
60,Brian Hill,Wyoming,MWC,12,281,1631,5.8,6,20,132,6.6,0,301,1763,5.9,6,brian-hill-4
61,Alex Collins*,Arkansas,SEC,13,271,1577,5.8,20,13,95,7.3,0,284,1672,5.9,20,alex-collins-1
62,Travis Greene*,Bowling Green State,MAC,14,222,1298,5.8,15,27,237,8.8,2,249,1535,6.2,17,travis-greene-1
63,Paul Harris,Hawaii,MWC,12,198,1143,5.8,6,14,151,10.8,0,212,1294,6.1,6,paul-harris-3
64,Teriyon Gipson*,New Mexico,MWC,12,147,850,5.8,6,17,185,10.9,0,164,1035,6.3,6,teriyon-gipson-1
65,Austin Walter,Rice,CUSA,12,75,437,5.8,1,5,8,1.6,0,80,445,5.6,1,austin-walter-1
66,Paul Perkins*,UCLA,Pac-12,13,237,1343,5.7,14,30,242,8.1,1,267,1585,5.9,15,paul-perkins-1
67,Myles Gaskin*,Washington,Pac-12,13,227,1302,5.7,14,6,19,3.2,0,233,1321,5.7,14,myles-gaskin-1
68,Greg Ward Jr.*,Houston,American,14,197,1114,5.7,21,0,0,,0,197,1114,5.7,21,greg-ward-jr-1
69,Fred Coppet*,Bowling Green State,MAC,14,146,826,5.7,5,9,75,8.3,0,155,901,5.8,5,fred-coppet-1
70,Gerard Wicks*,Washington State,Pac-12,13,107,610,5.7,3,38,128,3.4,0,145,738,5.1,3,gerard-wicks-1
71,Jordan Fredericks,Syracuse,ACC,12,107,607,5.7,4,6,55,9.2,1,113,662,5.9,5,jordan-fredericks-1
72,Jojo Kemp,Kentucky,SEC,12,98,555,5.7,6,4,12,3.0,0,102,567,5.6,6,jojo-kemp-1
73,Derrick Henry*,Alabama,SEC,15,395,2219,5.6,28,11,91,8.3,0,406,2310,5.7,28,derrick-henry-2
74,Jeremy McNichols*,Boise State,MWC,12,240,1337,5.6,20,51,460,9.0,6,291,1797,6.2,26,jeremy-mcnichols-1
75,Hosey Williams*,Cincinnati,American,13,138,777,5.6,4,6,37,6.2,0,144,814,5.7,4,hosey-williams-1
76,Algernon Brown*,Brigham Young,Ind,11,127,709,5.6,11,13,71,5.5,2,140,780,5.6,13,algernon-brown-1
77,Dontrell Hilliard,Tulane,American,12,115,646,5.6,6,23,267,11.6,1,138,913,6.6,7,dontrell-hilliard-1
78,Tre Watson*,California,Pac-12,10,88,494,5.6,3,10,106,10.6,1,98,600,6.1,4,tre-watson-2
79,Kareem Hunt*,Toledo,MAC,10,178,973,5.5,12,11,45,4.1,0,189,1018,5.4,12,kareem-hunt-1
80,Lamar Jordan*,New Mexico,MWC,12,147,807,5.5,9,0,0,,0,147,807,5.5,9,lamar-jordan-1
81,Nick Wilson*,Arizona,Pac-12,9,133,736,5.5,8,4,52,13.0,0,137,788,5.8,8,nick-wilson-2
82,Josh Ferguson,Illinois,Big Ten,9,129,708,5.5,3,37,280,7.6,2,166,988,6.0,5,josh-ferguson-3
83,Jovon Robinson*,Auburn,SEC,8,117,639,5.5,3,1,20,20.0,0,118,659,5.6,3,jovon-robinson-1
84,Paul James,Rutgers,Big Ten,10,99,544,5.5,5,6,40,6.7,0,105,584,5.6,5,paul-james-1
85,Tyler Ervin*,San Jose State,MWC,13,294,1601,5.4,13,45,334,7.4,2,339,1935,5.7,15,tyler-ervin-1
86,Wayne Gallman*,Clemson,ACC,14,282,1514,5.4,13,22,226,10.3,1,304,1740,5.7,14,wayne-gallman-1
87,Kenneth Dixon*,Louisiana Tech,CUSA,11,198,1073,5.4,19,33,464,14.1,7,231,1537,6.7,26,kenneth-dixon-1
88,Jordan Canzeri*,Iowa,Big Ten,12,183,984,5.4,12,20,208,10.4,1,203,1192,5.9,13,jordan-canzeri-1
89,Jeffery Wilson,North Texas,CUSA,10,154,829,5.4,1,12,71,5.9,0,166,900,5.4,1,jeffery-wilson-2
90,Robert Martin,Rutgers,Big Ten,12,141,763,5.4,6,5,17,3.4,0,146,780,5.3,6,robert-martin-2
91,Aaron Kemper,Army,Ind,11,102,551,5.4,3,0,0,,0,102,551,5.4,3,aaron-kemper-1
92,Ben Luckett,Louisiana-Monroe,Sun Belt,13,94,509,5.4,2,4,26,6.5,0,98,535,5.5,2,ben-luckett-1
93,Donnel Pumphrey*,San Diego State,MWC,14,309,1653,5.3,17,27,414,15.3,3,336,2067,6.2,20,donnel-pumphrey-1
94,Qadree Ollison*,Pitt,ACC,13,212,1121,5.3,11,14,77,5.5,1,226,1198,5.3,12,oadree-ollison-1
95,Deshaun Watson*,Clemson,ACC,15,207,1105,5.3,12,0,0,,0,207,1105,5.3,12,deshaun-watson-1
