
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
70,Cornell Brockington*,Connecticut,Big East,12,238,1218,5.1,11,34,231,6.8,1,272,1449,5.3,12,cornell-brockington-1
71,Uril Parrish,Tulsa,WAC,12,210,1064,5.1,8,17,109,6.4,1,227,1173,5.2,9,uril-parrish-1
72,Lee Marks*,Boise State,WAC,12,189,968,5.1,2,9,40,4.4,1,198,1008,5.1,3,lee-marks-1
73,Lorenzo Booker*,Florida State,ACC,12,173,887,5.1,4,24,160,6.7,0,197,1047,5.3,4,lorenzo-booker-1
74,Thomas Brown*,Georgia,SEC,11,172,875,5.1,8,16,150,9.4,0,188,1025,5.5,8,thomas-brown-1
75,Vashon Pearson,Ole Miss,SEC,11,158,807,5.1,3,7,88,12.6,0,165,895,5.4,3,vashon-pearson-1
76,Trinity Dawson*,Toledo,MAC,9,84,427,5.1,3,8,73,9.1,0,92,500,5.4,3,trinity-dawson-1
77,Marques Hagans*,Virginia,ACC,12,77,394,5.1,4,,,,,77,394,5.1,4,marques-hagans-1
78,Noah Herron,Northwestern,Big Ten,12,274,1381,5.0,14,36,351,9.8,1,310,1732,5.6,15,noah-herron-1
79,Dewhitt Betterson*,Troy,Sun Belt,12,256,1286,5.0,9,5,5,1.0,0,261,1291,4.9,9,dewhitt-betterson-1
80,Howard Jackson*,UTEP,WAC,12,239,1187,5.0,10,30,268,8.9,1,269,1455,5.4,11,howard-jackson-1
81,Curtis Brown,Brigham Young,MWC,11,158,789,5.0,6,27,175,6.5,0,185,964,5.2,6,curtis-brown-3
82,Danny Ware*,Georgia,SEC,10,138,692,5.0,4,7,55,7.9,0,145,747,5.2,4,danny-ware-1
83,Jovon Jackson,Tulane,CUSA,10,125,624,5.0,5,18,129,7.2,0,143,753,5.3,5,jovon-jackson-1
84,Jerad Romo,SMU,WAC,9,87,434,5.0,4,1,14,14.0,1,88,448,5.1,5,jerad-romo-1
85,Cedrick Dorsey,SMU,WAC,11,87,431,5.0,2,5,68,13.6,1,92,499,5.4,3,cedrick-dorsey-1
86,Jerry Seymour,Central Michigan,MAC,11,262,1284,4.9,5,47,413,8.8,0,309,1697,5.5,5,jerry-seymour-1
87,Carnell Williams*,Auburn,SEC,13,239,1165,4.9,12,21,152,7.2,1,260,1317,5.1,13,carnell-williams-1
88,Kyle Eckel*,Navy,Ind,12,235,1147,4.9,11,4,52,13.0,0,239,1199,5.0,11,kyle-eckel-1
89,Ed Bailey,Rice,WAC,10,208,1021,4.9,12,3,27,9.0,1,211,1048,5.0,13,ed-bailey-1
90,Wali Lundy*,Virginia,ACC,12,175,864,4.9,17,12,145,12.1,0,187,1009,5.4,17,wali-lundy-1
91,Marty Johnson*,Utah,MWC,12,165,802,4.9,14,7,46,6.6,1,172,848,4.9,15,marty-johnson-1
92,Jason Colson*,West Virginia,Big East,12,143,706,4.9,6,12,120,10.0,0,155,826,5.3,6,jason-colson-1
93,Reggie Merriweather,Clemson,ACC,11,136,670,4.9,11,7,26,3.7,0,143,696,4.9,11,reggie-merriweather-1
94,Jerry Babb,Louisiana,Sun Belt,11,101,498,4.9,4,,,,,101,498,4.9,4,jerry-babb-1
95,Ahmad Bradshaw*,Marshall,MAC,10,95,462,4.9,3,14,187,13.4,2,109,649,6.0,5,ahmad-bradshaw-1
96,Kwane Doster,Vanderbilt,SEC,11,89,437,4.9,1,8,65,8.1,0,97,502,5.2,1,kwane-doster-1
97,Lionel Gates*,Louisville,CUSA,9,76,373,4.9,7,10,71,7.1,2,86,444,5.2,9,lionel-gates-1
98,Kenneth Darby*,Alabama,SEC,12,219,1062,4.8,8,15,74,4.9,1,234,1136,4.9,9,kenneth-darby-1
99,Richard Hall*,Cincinnati,CUSA,12,210,1012,4.8,6,25,152,6.1,1,235,1164,5.0,7,richard-hall-1
100,Anthony Davis*,Wisconsin,Big Ten,8,201,973,4.8,11,13,96,7.4,0,214,1069,5.0,11,anthony-davis-3
101,Adell Givens,Ball State,MAC,10,202,963,4.8,6,13,137,10.5,1,215,1100,5.1,7,adell-givens-1
102,Frank Gore*,Miami (FL),ACC,12,197,945,4.8,8,10,106,10.6,0,207,1051,5.1,8,frank-gore-1
103,Damien Nash,Missouri,Big 12,10,164,792,4.8,7,25,176,7.0,1,189,968,5.1,8,damien-nash-1
104,Reggie McNeal*,Texas A&amp;M,Big 12,12,151,718,4.8,8,,,,,151,718,4.8,8,reggie-mcneal-1
105,Brandon Diles,Tulsa,WAC,12,124,597,4.8,7,4,59,14.8,1,128,656,5.1,8,brandon-diles-1
106,Umar Ferguson,Temple,Big East,11,103,499,4.8,2,15,119,7.9,0,118,618,5.2,2,umar-ferguson-1
107,Fred Reid,Mississippi State,SEC,11,82,393,4.8,2,13,86,6.6,0,95,479,5.0,2,fred-reid-1
108,Kevin O'Connell,San Diego State,MWC,9,73,347,4.8,1,,,,,73,347,4.8,1,kevin-oconnell-2
109,Bobby Purify*,Colorado,Big 12,13,231,1097,4.7,9,20,206,10.3,0,251,1303,5.2,9,bobby-purify-1
110,Dontrell Moore*,New Mexico,MWC,11,232,1091,4.7,5,27,198,7.3,1,259,1289,5.0,6,dontrell-moore-1
111,Brett Biggs,Akron,MAC,11,185,871,4.7,10,32,421,13.2,2,217,1292,6.0,12,brett-biggs-1
112,Earl Charles*,Marshall,MAC,12,177,824,4.7,5,18,95,5.3,0,195,919,4.7,5,earl-charles-1
113,A.J. Harris*,Northern Illinois,MAC,11,174,822,4.7,4,10,40,4.0,0,184,862,4.7,4,aj-harris-2
114,Manuel White*,UCLA,Pac-10,12,164,764,4.7,8,20,115,5.8,1,184,879,4.8,9,manuel-white-1
115,Alex Smith*,Utah,MWC,12,135,631,4.7,10,2,21,10.5,0,137,652,4.8,10,alex-smith-3
116,Cedric Humes*,Virginia Tech,ACC,13,130,605,4.7,5,8,46,5.8,0,138,651,4.7,5,cedric-humes-1
117,Steven King,Buffalo,MAC,11,94,445,4.7,7,4,9,2.3,0,98,454,4.6,7,steven-king-1
118,J.R. Lemon,Stanford,Pac-10,9,93,440,4.7,6,13,62,4.8,0,106,502,4.7,6,jr-lemon-1
119,Seymore Shaw*,Oklahoma State,Big 12,12,81,377,4.7,2,,,,,81,377,4.7,2,seymore-shaw-1
120,Mike Bell,Arizona,Pac-10,11,205,941,4.6,5,19,79,4.2,0,224,1020,4.6,5,mike-bell-1
121,Chance Kretschmer,Nevada,WAC,11,176,813,4.6,7,12,68,5.7,0,188,881,4.7,7,chance-kretschmer-1
122,Tony Hunt,Penn State,Big Ten,11,169,777,4.6,7,39,334,8.6,0,208,1111,5.3,7,tony-hunt-1
123,T.A. McLendon,North Carolina State,ACC,10,167,770,4.6,6,11,136,12.4,1,178,906,5.1,7,ta-mclendon-1
124,Mike Imoh*,Virginia Tech,ACC,10,158,720,4.6,6,8,4,0.5,0,166,724,4.4,6,mike-imoh-1
125,P.J. Daniels*,Georgia Tech,ACC,8,154,714,4.6,8,11,50,4.5,1,165,764,4.6,9,pj-daniels-1
126,Jason Teague,Michigan State,Big Ten,12,150,688,4.6,8,28,219,7.8,2,178,907,5.1,10,jason-teague-1
127,Andre Callender*,Boston College,Big East,9,138,637,4.6,2,16,118,7.4,0,154,755,4.9,2,andre-callender-1
128,Paul Mosley,Baylor,Big 12,11,127,582,4.6,4,14,111,7.9,1,141,693,4.9,5,paul-mosley-1
129,Hakim Hill*,Arizona State,Pac-10,10,122,566,4.6,5,13,81,6.2,1,135,647,4.8,6,hakim-hill-1
130,Brandon Jackson,Nebraska,Big 12,10,85,390,4.6,6,,,,,85,390,4.6,6,brandon-jackson-2
131,Matt Forte,Tulane,CUSA,11,140,624,4.5,4,20,180,9.0,2,160,804,5.0,6,matt-forte-1
132,Quinton Broussard*,Toledo,MAC,12,113,507,4.5,4,14,145,10.4,0,127,652,5.1,4,quinton-broussard-1
133,Butler Benton*,Cincinnati,CUSA,12,100,453,4.5,4,4,9,2.3,0,104,462,4.4,4,butler-benton-1
134,B.J. Mitchell,Nevada,WAC,10,100,450,4.5,7,1,3,3.0,0,101,453,4.5,7,bj-mitchell-1
135,Rashaun Grant*,Georgia Tech,ACC,10,94,425,4.5,0,10,62,6.2,0,104,487,4.7,0,rashaun-grant-1
136,Jermaine Richardson*,Troy,Sun Belt,12,76,341,4.5,2,4,75,18.8,2,80,416,5.2,4,jermaine-richardson-1
137,Anthony Sherrell,Eastern Michigan,MAC,11,194,854,4.4,11,20,183,9.2,1,214,1037,4.8,12,anthony-sherrell-1
138,L.V. Whitworth*,Boston College,Big East,9,143,623,4.4,5,15,109,7.3,1,158,732,4.6,6,lv-whitworth-1
139,Rolly Lumbala,Idaho,Sun Belt,12,141,614,4.4,6,7,42,6.0,0,148,656,4.4,6,rolly-lumbala-1
140,Norval McKenzie,Vanderbilt,SEC,11,102,446,4.4,1,11,65,5.9,0,113,511,4.5,1,norval-mckenzie-1
141,Tyrone Moss*,Miami (FL),ACC,12,102,445,4.4,6,,,,,102,445,4.4,6,tyrone-moss-1
142,Uldis Januarajs,Colorado State,MWC,9,94,418,4.4,3,6,16,2.7,0,100,434,4.3,3,uldis-januarajs-1
143,Uldis Jaunarajs,Colorado State,MWC,9,94,418,4.4,3,6,16,2.7,0,100,434,4.3,3,uldis-jaunarajs-1
144,Joseph Harris*,Wyoming,MWC,10,94,409,4.4,4,4,10,2.5,0,98,419,4.3,4,joseph-harris-1
145,B.J. Lane*,Bowling Green State,MAC,12,85,375,4.4,2,7,66,9.4,0,92,441,4.8,2,bj-lane-1
146,Brandon Bornes,San Diego State,MWC,11,133,578,4.3,6,3,27,9.0,0,136,605,4.4,6,brandon-bornes-1
147,De'Arrius Howard,Arkansas,SEC,11,124,529,4.3,6,,,,,124,529,4.3,6,dearrius-howard-1
148,Michael Franklin,San Diego State,MWC,11,107,463,4.3,2,26,220,8.5,0,133,683,5.1,2,michael-franklin-1
149,Chris McDuffie,Buffalo,MAC,10,94,404,4.3,2,11,43,3.9,0,105,447,4.3,2,chris-mcduffie-1
150,Chris Barclay,Wake Forest,ACC,11,243,1010,4.2,9,21,118,5.6,0,264,1128,4.3,9,chris-barclay-1
151,Luke Clemens*,Miami (OH),MAC,13,213,899,4.2,12,25,227,9.1,3,238,1126,4.7,15,luke-clemens-1
152,Darius Walker*,Notre Dame,Ind,11,185,786,4.2,7,10,74,7.4,0,195,860,4.4,7,darius-walker-1
153,Robert Merrill,TCU,CUSA,11,179,753,4.2,6,20,118,5.9,0,199,871,4.4,6,robert-merrill-1
154,Courtney Lewis*,Texas A&amp;M,Big 12,11,175,742,4.2,9,12,163,13.6,2,187,905,4.8,11,courtney-lewis-1
155,Scooter McDougle*,Toledo,MAC,13,146,620,4.2,7,28,260,9.3,1,174,880,5.1,8,scooter-mcdougle-1
156,Chris Johnson,East Carolina,CUSA,11,134,561,4.2,5,32,236,7.4,2,166,797,4.8,7,chris-johnson-1
157,Mason Denham,Louisiana-Monroe,Sun Belt,11,125,529,4.2,2,27,185,6.9,0,152,714,4.7,2,mason-denham-1
158,Chester Johnson,Louisiana,Sun Belt,10,117,489,4.2,2,16,146,9.1,0,133,635,4.8,2,chester-johnson-1
159,Brandon Jones*,Purdue,Big Ten,12,113,477,4.2,2,22,283,12.9,3,135,760,5.6,5,brandon-jones-4
160,E.B. Halsey,Illinois,Big Ten,10,111,461,4.2,5,19,109,5.7,0,130,570,4.4,5,eb-halsey-1
161,Marcus Woods,Missouri,Big 12,11,101,428,4.2,2,8,60,7.5,0,109,488,4.5,2,marcus-woods-1
162,Matt Bohnet,Eastern Michigan,MAC,11,100,424,4.2,0,1,4,4.0,0,101,428,4.2,0,matt-bohnet-1
163,Justin Vincent*,LSU,SEC,12,76,322,4.2,2,5,40,8.0,0,81,362,4.5,2,justin-vincent-1
164,Anthony Harris*,Southern Mississippi,CUSA,12,175,714,4.1,5,14,123,8.8,1,189,837,4.4,6,anthony-harris-1
165,Kenny James,Washington,Pac-10,11,172,702,4.1,5,8,52,6.5,0,180,754,4.2,5,kenny-james-1
166,Muammar Ali,New Mexico State,Sun Belt,10,136,561,4.1,6,6,44,7.3,0,142,605,4.3,6,muammar-ali-1
167,Sam Maldonado,Maryland,ACC,11,138,560,4.1,5,6,52,8.7,0,144,612,4.3,5,sam-maldonado-1
168,Sammy Maldonado,Maryland,ACC,11,138,560,4.1,5,6,52,8.7,0,144,612,4.3,5,sammy-maldonado-1
169,Ryan Grant*,Notre Dame,Ind,9,127,515,4.1,5,6,51,8.5,0,133,566,4.3,5,ryan-grant-1
170,Lydell Ross*,Ohio State,Big Ten,9,117,475,4.1,4,6,49,8.2,0,123,524,4.3,4,lydell-ross-1
171,Decori Birmingham,Arkansas,SEC,11,111,456,4.1,3,17,175,10.3,1,128,631,4.9,4,decori-birmingham-1
172,Sherron Moore*,Southern Mississippi,CUSA,12,103,421,4.1,4,4,13,3.3,0,107,434,4.1,4,sherron-moore-1
173,Troy Smith*,Ohio State,Big Ten,8,82,339,4.1,2,,,,,82,339,4.1,2,troy-smith-1
174,Aaron Polanco*,Navy,Ind,12,246,980,4.0,16,2,23,11.5,0,248,1003,4.0,16,aaron-polanco-1
175,Walter Washington,Temple,Big East,11,222,889,4.0,15,1,5,5.0,0,223,894,4.0,15,walter-washington-1
176,Alex Haynes,UCF,MAC,9,215,854,4.0,5,18,123,6.8,0,233,977,4.2,5,alex-haynes-1
177,Trovon Riley,Western Michigan,MAC,10,172,691,4.0,4,20,137,6.9,1,192,828,4.3,5,trovon-riley-1
178,Greg Henderson,Rice,WAC,9,140,566,4.0,6,,,,,140,566,4.0,6,greg-henderson-1
179,Kejuan Jones*,Oklahoma,Big 12,12,129,513,4.0,5,22,196,8.9,0,151,709,4.7,5,kejuan-jones-1
180,Tim Brown,Temple,Big East,10,108,432,4.0,2,33,199,6.0,1,141,631,4.5,3,tim-brown-2
181,Eugene Gross,Middle Tennessee State,Sun Belt,11,103,412,4.0,7,24,233,9.7,0,127,645,5.1,7,eugene-gross-1
182,Clenton Crossley,South Florida,CUSA,11,101,408,4.0,3,11,37,3.4,0,112,445,4.0,3,clenton-crossley-1
183,Ryan Gilbert,Houston,CUSA,10,84,332,4.0,3,16,178,11.1,2,100,510,5.1,5,ryan-gilbert-1
184,Chris Taylor,Indiana,Big Ten,11,82,329,4.0,3,4,58,14.5,0,86,387,4.5,3,chris-taylor-1
185,Adam Cole,Air Force,MWC,11,78,315,4.0,5,,,,,78,315,4.0,5,adam-cole-1
186,Stevie Hicks*,Iowa State,Big 12,12,270,1062,3.9,5,9,49,5.4,0,279,1111,4.0,5,stevie-hicks-1
187,Stevie Hicks Jr.*,Iowa State,Big 12,12,270,1062,3.9,5,9,49,5.4,0,279,1111,4.0,5,stevie-hicks-jr-1
188,Doug Parker,Florida Atlantic,Sun Belt,12,227,896,3.9,8,17,144,8.5,1,244,1040,4.3,9,doug-parker-1
189,Jerod Void*,Purdue,Big Ten,12,159,625,3.9,3,22,202,9.2,0,181,827,4.6,3,jerod-void-1
190,Steven Jyles,Louisiana-Monroe,Sun Belt,11,150,587,3.9,8,1,15,15.0,0,151,602,4.0,8,steven-jyles-1
191,Kalvin McRae,Ohio,MAC,11,142,559,3.9,4,13,172,13.2,2,155,731,4.7,6,kalvin-mcrae-1
192,Dwight Wright*,Oregon State,Pac-10,12,209,784,3.8,6,20,245,12.3,2,229,1029,4.5,8,dwight-wright-1
193,David Alston,Kent State,MAC,11,178,672,3.8,11,28,55,2.0,0,206,727,3.5,11,david-alston-1
194,Bryan Randall*,Virginia Tech,ACC,13,136,511,3.8,3,,,,,136,511,3.8,3,bryan-randall-1
195,Anthony Krieg,Baylor,Big 12,10,121,460,3.8,1,16,80,5.0,0,137,540,3.9,1,anthony-krieg-1
196,D.D. Cox*,New Mexico,MWC,12,91,344,3.8,3,,,,,91,344,3.8,3,dd-cox-1
197,Tim Murphy*,Pitt,Big East,8,88,334,3.8,1,13,118,9.1,0,101,452,4.5,1,tim-murphy-1
198,Chris Bruhn,Washington State,Pac-10,8,76,291,3.8,1,1,5,5.0,0,77,296,3.8,1,chris-bruhn-1
199,Brian Leonard,Rutgers,Big East,10,199,732,3.7,7,61,518,8.5,2,260,1250,4.8,9,brian-leonard-1
200,Shaun Carney,Air Force,MWC,10,159,596,3.7,6,,,,,159,596,3.7,6,shaun-carney-1
201,Ivan Harrison*,Wyoming,MWC,10,159,587,3.7,5,10,57,5.7,0,169,644,3.8,5,ivan-harrison-1
202,John Randle,Kansas,Big 12,10,147,540,3.7,6,35,274,7.8,3,182,814,4.5,9,john-randle-1
203,Josh Allen,Maryland,ACC,11,144,533,3.7,5,8,96,12.0,1,152,629,4.1,6,josh-allen-1
204,Cedric Dargan,Duke,ACC,7,125,462,3.7,1,9,48,5.3,0,134,510,3.8,1,cedric-dargan-1
205,Chris Forbes,Utah State,Sun Belt,11,108,396,3.7,3,12,53,4.4,1,120,449,3.7,4,chris-forbes-1
206,Dwight Lindon,Louisiana,Sun Belt,9,102,381,3.7,5,20,136,6.8,0,122,517,4.2,5,dwight-lindon-1
207,Antwaun Carter*,Boise State,WAC,12,75,278,3.7,7,1,9,9.0,0,76,287,3.8,7,antwaun-carter-1
208,Raymond Kirkley*,Pitt,Big East,10,154,560,3.6,6,23,179,7.8,0,177,739,4.2,6,raymond-kirkley-1
209,Kenneth Tolon,Stanford,Pac-10,11,116,422,3.6,3,6,37,6.2,0,122,459,3.8,3,kenneth-tolon-1
210,Dyante Perkins,UNLV,MWC,11,98,350,3.6,7,16,129,8.1,1,114,479,4.2,8,dyante-perkins-1
211,Naufahu Tahi,Brigham Young,MWC,11,93,339,3.6,5,16,139,8.7,1,109,478,4.4,6,naufahu-tahi-1
212,Clark Green,Kansas,Big 12,11,87,309,3.6,1,16,138,8.6,0,103,447,4.3,1,clark-green-1
213,Matt Bernstein*,Wisconsin,Big Ten,12,83,300,3.6,1,9,68,7.6,0,92,368,4.0,1,matt-bernstein-1
214,Donovan Woods*,Oklahoma State,Big 12,12,123,436,3.5,10,,,,,123,436,3.5,10,donovan-woods-1
215,Foy Munlin,SMU,WAC,10,95,335,3.5,2,3,37,12.3,0,98,372,3.8,2,foy-munlin-1
216,Kevin Payne,Louisiana-Monroe,Sun Belt,8,74,261,3.5,2,12,103,8.6,1,86,364,4.2,3,kevin-payne-1
217,BenJarvus Green-Ellis,Indiana,Big Ten,11,231,794,3.4,5,14,80,5.7,0,245,874,3.6,5,benjarvus-green-ellis-1
218,Brad Smith,Missouri,Big 12,11,165,553,3.4,4,2,38,19.0,0,167,591,3.5,4,brad-smith-1
219,Duane Coleman,Clemson,ACC,9,83,284,3.4,1,15,125,8.3,1,98,409,4.2,2,duane-coleman-1
