
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Deandra Cobb,Michigan State,Big Ten,12,96,728,7.6,4,7,10,1.4,0,103,738,7.2,4,deandra-cobb-1
2,Matt Jones,Arkansas,SEC,11,83,622,7.5,6,,,,,83,622,7.5,6,matt-jones-1
3,Drew Stanton,Michigan State,Big Ten,10,96,687,7.2,5,2,22,11.0,1,98,709,7.2,6,drew-stanton-1
4,J.J. Arrington*,California,Pac-10,12,289,2018,7.0,15,21,121,5.8,0,310,2139,6.9,15,jj-arrington-1
5,Leon Washington*,Florida State,ACC,10,138,951,6.9,7,14,90,6.4,0,152,1041,6.8,7,leon-washington-1
6,Ray Hudson*,Alabama,SEC,6,92,638,6.9,4,11,78,7.1,1,103,716,7.0,5,ray-hudson-2
7,Wendell Mathis*,Fresno State,WAC,11,146,995,6.8,12,4,59,14.8,0,150,1054,7.0,12,wendell-mathis-1
8,Joseph Addai*,LSU,SEC,12,101,680,6.7,3,26,294,11.3,4,127,974,7.7,7,joseph-addai-1
9,Garrett Wolfe*,Northern Illinois,MAC,11,256,1656,6.5,18,10,117,11.7,3,266,1773,6.7,21,garrett-wolfe-1
10,Andre Hall,South Florida,CUSA,11,210,1357,6.5,11,18,149,8.3,1,228,1506,6.6,12,andre-hall-1
11,Vince Young*,Texas,Big 12,12,167,1079,6.5,14,1,48,48.0,0,168,1127,6.7,14,vince-young-1
12,Eric Shelton*,Louisville,CUSA,12,146,938,6.4,20,6,35,5.8,0,152,973,6.4,20,eric-shelton-1
13,Michael Brewster*,Hawaii,WAC,13,113,722,6.4,6,34,273,8.0,1,147,995,6.8,7,michael-brewster-1
14,Jamario Thomas*,North Texas,Sun Belt,10,285,1801,6.3,17,3,14,4.7,0,288,1815,6.3,17,jamario-thomas-1
15,Maurice Drew*,UCLA,Pac-10,11,160,1007,6.3,8,18,262,14.6,3,178,1269,7.1,11,maurice-drew-1
16,Reggie Bush*,USC,Pac-10,13,143,908,6.3,6,43,509,11.8,7,186,1417,7.6,13,reggie-bush-1
17,DeAngelo Williams*,Memphis,CUSA,12,313,1948,6.2,22,18,210,11.7,1,331,2158,6.5,23,deangelo-williams-1
18,Ryan Moats,Louisiana Tech,WAC,12,288,1774,6.2,18,15,116,7.7,1,303,1890,6.2,19,ryan-moats-1
19,Laurence Maroney*,Minnesota,Big Ten,12,217,1348,6.2,12,3,16,5.3,0,220,1364,6.2,12,laurence-maroney-1
20,P.J. Pope*,Bowling Green State,MAC,12,178,1098,6.2,15,50,490,9.8,6,228,1588,7.0,21,pj-pope-1
21,Darnell Stephens,Air Force,MWC,11,73,451,6.2,8,6,133,22.2,2,79,584,7.4,10,darnell-stephens-1
22,Carlton Jones,Army,CUSA,11,209,1269,6.1,17,26,237,9.1,0,235,1506,6.4,17,carlton-jones-2
23,Alley Broussard*,LSU,SEC,12,142,867,6.1,10,1,10,10.0,0,143,877,6.1,10,alley-broussard-1
24,Ronnie Brown*,Auburn,SEC,12,153,913,6.0,8,34,313,9.2,1,187,1226,6.6,9,ronnie-brown-1
25,Quinton Ganther*,Utah,MWC,12,109,654,6.0,2,7,49,7.0,1,116,703,6.1,3,quinton-ganther-1
26,Pierre Thomas,Illinois,Big Ten,11,152,893,5.9,8,14,95,6.8,1,166,988,6.0,9,pierre-thomas-1
27,Bryson Sumlin*,Fresno State,WAC,12,191,1104,5.8,13,14,101,7.2,0,205,1205,5.9,13,bryson-sumlin-1
28,Kay-Jay Harris*,West Virginia,Big East,11,165,959,5.8,10,20,181,9.1,3,185,1140,6.2,13,kay-jay-harris-1
29,Adrian Peterson*,Oklahoma,Big 12,13,339,1925,5.7,15,5,12,2.4,0,344,1937,5.6,15,adrian-peterson-1
30,Vernand Morency*,Oklahoma State,Big 12,11,258,1474,5.7,12,5,101,20.2,1,263,1575,6.0,13,vernand-morency-1
31,Ciatrick Fason*,Florida,SEC,12,222,1267,5.7,10,35,266,7.6,2,257,1533,6.0,12,ciatrick-fason-1
32,Terrence Whitehead,Oregon,Pac-10,11,200,1144,5.7,6,44,405,9.2,2,244,1549,6.3,8,terrence-whitehead-1
33,Gerald Riggs*,Tennessee,SEC,13,193,1107,5.7,6,8,37,4.6,0,201,1144,5.7,6,gerald-riggs-2
34,Gerald Riggs Jr.*,Tennessee,SEC,13,193,1107,5.7,6,8,37,4.6,0,201,1144,5.7,6,gerald-riggs-jr-1
35,Damien Rhodes*,Syracuse,Big East,12,153,870,5.7,10,18,246,13.7,1,171,1116,6.5,11,damien-rhodes-1
36,Jayson Bird,Idaho,Sun Belt,11,151,859,5.7,8,15,93,6.2,0,166,952,5.7,8,jayson-bird-1
37,Anthony Butler,Air Force,MWC,11,72,413,5.7,3,,,,,72,413,5.7,3,anthony-butler-1
38,Cedric Benson*,Texas,Big 12,12,326,1834,5.6,19,22,179,8.1,1,348,2013,5.8,20,cedric-benson-1
39,Dominique Dorsey,UNLV,MWC,11,226,1261,5.6,6,11,55,5.0,0,237,1316,5.6,6,dominique-dorsey-1
40,Cedric Houston*,Tennessee,SEC,13,181,1005,5.6,8,16,180,11.3,1,197,1185,6.0,9,cedric-houston-1
41,Chad Scott*,North Carolina,ACC,11,143,796,5.6,8,13,107,8.2,1,156,903,5.8,9,chad-scott-2
42,Michael Bush*,Louisville,CUSA,12,132,734,5.6,7,11,155,14.1,0,143,889,6.2,7,michael-bush-1
43,Corey White*,UAB,CUSA,12,106,589,5.6,8,9,72,8.0,0,115,661,5.7,8,corey-white-2
44,Lance Martin,San Jose State,WAC,10,99,556,5.6,7,7,69,9.9,0,106,625,5.9,7,lance-martin-1
45,Marion Barber III*,Minnesota,Big Ten,12,231,1269,5.5,11,3,27,9.0,0,234,1296,5.5,11,marion-barber-iii-1
46,Jehuu Caulcrick,Michigan State,Big Ten,11,113,619,5.5,5,2,27,13.5,0,115,646,5.6,5,jehuu-caulcrick-1
47,Demetris Summers,South Carolina,SEC,9,88,487,5.5,1,11,65,5.9,0,99,552,5.6,1,demetris-summers-1
48,Darren Sproles,Kansas State,Big 12,11,244,1318,5.4,11,32,223,7.0,0,276,1541,5.6,11,darren-sproles-1
49,Lendale White*,USC,Pac-10,13,203,1103,5.4,15,11,97,8.8,2,214,1200,5.6,17,lendale-white-1
50,Jerious Norwood,Mississippi State,SEC,11,195,1050,5.4,7,11,37,3.4,0,206,1087,5.3,7,jerious-norwood-1
51,Dan Burks*,UAB,CUSA,12,164,880,5.4,4,15,160,10.7,0,179,1040,5.8,4,dan-burks-1
52,Tyson Thompson,San Jose State,WAC,11,151,811,5.4,5,16,231,14.4,2,167,1042,6.2,7,tyson-thompson-2
53,Walter Reyes*,Syracuse,Big East,9,148,803,5.4,7,14,113,8.1,0,162,916,5.7,7,walter-reyes-1
54,Tielor Robinson,Army,CUSA,10,85,457,5.4,4,22,247,11.2,2,107,704,6.6,6,tielor-robinson-1
55,Justin Roush,Ohio,MAC,6,80,433,5.4,2,7,97,13.9,1,87,530,6.1,3,justin-roush-1
56,Cory Ross,Nebraska,Big 12,11,207,1102,5.3,6,21,262,12.5,2,228,1364,6.0,8,cory-ross-1
57,Alvin Pearman*,Virginia,ACC,12,195,1037,5.3,10,29,402,13.9,1,224,1439,6.4,11,alvin-pearman-1
58,Antonio Warren,Arkansas State,Sun Belt,11,195,1036,5.3,2,8,72,9.0,0,203,1108,5.5,2,antonio-warren-1
59,Joshua Cribbs,Kent State,MAC,10,170,893,5.3,9,2,32,16.0,1,172,925,5.4,10,joshua-cribbs-1
60,Rasheed Marshall*,West Virginia,Big East,9,130,684,5.3,4,,,,,130,684,5.3,4,rasheed-marshall-1
61,Joel Armstrong,Rice,WAC,9,114,608,5.3,5,,,,,114,608,5.3,5,joel-armstrong-1
62,Dan Shaffer,Air Force,MWC,11,92,490,5.3,2,2,10,5.0,0,94,500,5.3,2,dan-shaffer-1
63,Ronnie McGill*,North Carolina,ACC,7,79,419,5.3,5,2,19,9.5,1,81,438,5.4,6,ronnie-mcgill-1
64,Michael Hart*,Michigan,Big Ten,12,282,1455,5.2,9,26,237,9.1,1,308,1692,5.5,10,michael-hart-1
65,Jerome Harrison,Washington State,Pac-10,11,174,900,5.2,9,10,69,6.9,0,184,969,5.3,9,jerome-harrison-1
66,Taurean Henderson*,Texas Tech,Big 12,12,162,840,5.2,16,60,286,4.8,2,222,1126,5.1,18,taurean-henderson-1
67,Anthony Evans,Houston,CUSA,8,153,788,5.2,4,2,40,20.0,0,155,828,5.3,4,anthony-evans-1
68,Lonta Hobbs,TCU,CUSA,8,125,647,5.2,10,12,116,9.7,2,137,763,5.6,12,lonta-hobbs-1
69,Rudy Burgess*,Arizona State,Pac-10,12,77,404,5.2,0,22,248,11.3,5,99,652,6.6,5,rudy-burgess-1
