
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Brandon Middleton,Houston,CUSA,12,28,674,24.1,6,,,,,28,674,24.1,6,brandon-middleton-1
2,Aaron Hosack*,Minnesota,Big Ten,13,29,649,22.4,3,,,,,29,649,22.4,3,aaron-hosack-1
3,Andre Johnson*,Miami (FL),Big East,12,52,1092,21.0,9,1,-2,-2.0,0,53,1090,20.6,9,andre-johnson-1
4,Jon Olinger*,Cincinnati,CUSA,14,54,1114,20.6,7,,,,,54,1114,20.6,7,jon-olinger-1
5,Maurice Brown*,Iowa,Big Ten,13,48,966,20.1,11,2,-8,-4.0,0,50,958,19.2,11,maurice-brown-1
6,Jafar Williams*,Maryland,ACC,14,28,562,20.1,2,1,-1,-1.0,0,29,561,19.3,2,jafar-williams-1
7,Joey Cuppari*,Colorado State,MWC,13,35,699,20.0,4,2,8,4.0,0,37,707,19.1,4,joey-cuppari-1
8,James Terry*,Kansas State,Big 12,12,28,561,20.0,5,1,6,6.0,0,29,567,19.6,5,james-terry-1
9,Charles Rogers,Michigan State,Big Ten,12,68,1351,19.9,13,6,74,12.3,0,74,1425,19.3,13,charles-rogers-1
10,Tab Perry*,UCLA,Pac-10,12,35,698,19.9,1,1,5,5.0,0,36,703,19.5,1,tab-perry-1
11,Keenan Howry*,Oregon,Pac-10,13,40,784,19.6,5,8,79,9.9,0,48,863,18.0,5,keenan-howry-1
12,Dan Sheldon,Northern Illinois,MAC,12,40,783,19.6,5,13,135,10.4,1,53,918,17.3,6,dan-sheldon-1
13,Richard Alston,East Carolina,CUSA,11,36,702,19.5,6,6,7,1.2,0,42,709,16.9,6,richard-alston-1
14,Jimmy Fryzel,UCF,MAC,12,58,1126,19.4,5,2,0,0.0,0,60,1126,18.8,5,jimmy-fryzel-1
15,Bryant Johnson*,Penn State,Big Ten,13,48,917,19.1,4,,,,,48,917,19.1,4,bryant-johnson-1
16,Frederick Stamps,Louisiana,Sun Belt,12,54,1002,18.6,8,4,9,2.3,0,58,1011,17.4,8,frederick-stamps-1
17,Billy Wingfield*,Boise State,WAC,13,62,1138,18.4,7,4,41,10.3,0,66,1179,17.9,7,billy-wingfield-1
18,Lou Fanucchi*,Boise State,WAC,13,38,697,18.3,5,3,26,8.7,0,41,723,17.6,5,lou-fanucchi-1
19,Lashaun Ward,California,Pac-10,12,39,709,18.2,9,5,35,7.0,0,44,744,16.9,9,lashaun-ward-1
20,Ernest Wilford*,Virginia Tech,Big East,14,51,925,18.1,7,,,,,51,925,18.1,7,ernest-wilford-1
21,Taco Wallace*,Kansas State,Big 12,13,39,704,18.1,5,2,12,6.0,0,41,716,17.5,5,taco-wallace-1
22,Kenny Farley*,Oregon State,Pac-10,13,29,526,18.1,3,,,,,29,526,18.1,3,kenny-farley-1
23,Bethel Johnson,Texas A&amp;M,Big 12,12,40,718,18.0,8,5,37,7.4,0,45,755,16.8,8,bethel-johnson-1
24,Jonathan Orr*,Wisconsin,Big Ten,14,47,842,17.9,8,,,,,47,842,17.9,8,jonathan-orr-1
25,Terrell Grindle,Mississippi State,SEC,11,34,608,17.9,3,1,8,8.0,0,35,616,17.6,3,terrell-grindle-1
26,Brian Robinson,Houston,CUSA,12,29,518,17.9,2,,,,,29,518,17.9,2,brian-robinson-1
27,Jerricho Cotchery*,North Carolina State,ACC,14,67,1192,17.8,7,4,8,2.0,0,71,1200,16.9,7,jerricho-cotchery-1
28,Roy Williams*,Texas,Big 12,12,64,1142,17.8,12,5,85,17.0,1,69,1227,17.8,13,roy-williams-3
29,Michael Jenkins*,Ohio State,Big Ten,14,61,1076,17.6,6,,,,,61,1076,17.6,6,michael-jenkins-1
30,Courtney Roby,Indiana,Big Ten,12,59,1039,17.6,4,2,37,18.5,0,61,1076,17.6,4,courtney-roby-1
31,H.B. Briscoe,New Mexico State,Sun Belt,11,50,880,17.6,5,,,,,50,880,17.6,5,hb-briscoe-1
32,Fred Gibson*,Georgia,SEC,12,43,758,17.6,4,1,-6,-6.0,0,44,752,17.1,4,fred-gibson-1
33,Aaron Alexander,Army,CUSA,11,26,454,17.5,2,,,,,26,454,17.5,2,aaron-alexander-3
34,John Standeford*,Purdue,Big Ten,13,75,1307,17.4,13,,,,,75,1307,17.4,13,john-standeford-1
35,James Newson*,Oregon State,Pac-10,13,74,1284,17.4,12,1,22,22.0,0,75,1306,17.4,12,james-newson-1
36,Willie Quinnie,UAB,CUSA,11,36,627,17.4,6,2,-13,-6.5,0,38,614,16.2,6,willie-quinnie-1
37,Mike Pinkard*,Arizona State,Pac-10,14,30,521,17.4,5,,,,,30,521,17.4,5,mike-pinkard-1
38,Curtis Jones*,Marshall,MAC,6,27,471,17.4,2,3,20,6.7,1,30,491,16.4,3,curtis-jones-1
39,Jamaar Taylor,Texas A&amp;M,Big 12,10,44,760,17.3,3,1,8,8.0,0,45,768,17.1,3,jamaar-taylor-1
40,Dallas Clark*,Iowa,Big Ten,13,43,742,17.3,4,,,,,43,742,17.3,4,dallas-clark-1
41,Jay Swillie*,Boise State,WAC,11,34,589,17.3,6,7,98,14.0,0,41,687,16.8,6,jay-swillie-1
42,Jamie Hickenbotham,Arkansas State,Sun Belt,11,27,468,17.3,3,10,46,4.6,0,37,514,13.9,3,jamie-hickenbotham-1
43,Aaron Boone,Kentucky,SEC,12,41,706,17.2,10,1,3,3.0,0,42,709,16.9,10,aaron-boone-1
44,Jermaine Lewis,Western Michigan,MAC,12,38,654,17.2,4,1,4,4.0,0,39,658,16.9,4,jermaine-lewis-2
45,Omar Jenkins*,Notre Dame,Ind,13,37,633,17.1,3,,,,,37,633,17.1,3,omar-jenkins-1
46,Richard Smith*,Arkansas,SEC,14,34,582,17.1,4,,,,,34,582,17.1,4,richard-smith-1
47,Kevin Curtis,Utah State,Ind,11,74,1258,17.0,9,6,21,3.5,1,80,1279,16.0,10,kevin-curtis-2
