
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
99,Chris Polk,Washington,Pac-10,12,226,1113,4.9,5,25,171,6.8,0,251,1284,5.1,5,chris-polk-1
100,Leonard Mason,Colorado State,MWC,10,156,766,4.9,2,6,30,5.0,0,162,796,4.9,2,leonard-mason-1
101,Armando Allen,Notre Dame,Ind,9,142,697,4.9,3,28,216,7.7,0,170,913,5.4,3,armando-allen-1
102,Darius Willis,Indiana,Big Ten,9,123,607,4.9,6,10,88,8.8,0,133,695,5.2,6,darius-willis-1
103,Mike Ford*,South Florida,Big East,11,91,450,4.9,6,3,30,10.0,0,94,480,5.1,6,mike-ford-1
104,Montario Hardesty*,Tennessee,SEC,13,282,1345,4.8,13,25,302,12.1,1,307,1647,5.4,14,montario-hardesty-1
105,Miquale Lewis,Ball State,MAC,12,181,871,4.8,5,28,151,5.4,0,209,1022,4.9,5,miquale-lewis-1
106,Terrelle Pryor*,Ohio State,Big Ten,13,162,779,4.8,7,,,,,162,779,4.8,7,terrelle-pryor-1
107,Toney Baker,North Carolina State,ACC,12,160,773,4.8,6,28,355,12.7,3,188,1128,6.0,9,toney-baker-1
108,Cyrus Gray*,Texas A&amp;M,Big 12,13,159,757,4.8,5,28,226,8.1,2,187,983,5.3,7,cyrus-gray-1
109,Bryce Beall*,Houston,CUSA,13,139,670,4.8,7,32,311,9.7,3,171,981,5.7,10,bryce-beall-1
110,Brandon Bolden*,Ole Miss,SEC,13,129,614,4.8,4,20,209,10.5,1,149,823,5.5,5,brandon-bolden-1
111,Tre' Newton*,Texas,Big 12,14,116,552,4.8,6,14,108,7.7,0,130,660,5.1,6,tre-newton-1
112,Josh Adams,Wake Forest,ACC,12,113,541,4.8,4,28,307,11.0,0,141,848,6.0,4,josh-adams-1
113,Javarris James*,Miami (FL),ACC,12,103,492,4.8,6,13,85,6.5,0,116,577,5.0,6,javarris-james-1
114,Rashawn Jackson,Virginia,ACC,11,96,461,4.8,2,25,222,8.9,0,121,683,5.6,2,rashawn-jackson-1
115,Brandon Pendergrass,Wake Forest,ACC,12,83,399,4.8,1,8,47,5.9,0,91,446,4.9,1,brandon-pendergrass-1
116,Martin Ward*,Marshall,CUSA,13,82,393,4.8,3,4,7,1.8,0,86,400,4.7,3,martin-ward-1
117,Montel Harris*,Boston College,ACC,13,308,1457,4.7,14,8,69,8.6,1,316,1526,4.8,15,montel-harris-1
118,Joe Martinek*,Rutgers,Big East,13,206,967,4.7,9,12,140,11.7,0,218,1107,5.1,9,joe-martinek-1
119,Ralph Bolden,Purdue,Big Ten,12,200,935,4.7,9,20,261,13.1,2,220,1196,5.4,11,ralph-bolden-1
120,Derrick Locke*,Kentucky,SEC,12,195,907,4.7,6,31,284,9.2,2,226,1191,5.3,8,derrick-locke-1
121,Jacquise Terry,Kent State,MAC,12,138,649,4.7,4,17,205,12.1,0,155,854,5.5,4,jacquise-terry-1
122,Alvester Alexander*,Wyoming,MWC,13,136,640,4.7,7,8,101,12.6,0,144,741,5.1,7,alvester-alexander-1
123,Charles Scott*,LSU,SEC,9,116,542,4.7,4,8,54,6.8,1,124,596,4.8,5,charles-scott-1
124,Channing Trotter,UNLV,MWC,12,114,541,4.7,9,19,103,5.4,0,133,644,4.8,9,channing-trotter-1
125,Robert Hughes,Notre Dame,Ind,11,88,416,4.7,5,19,193,10.2,0,107,609,5.7,5,robert-hughes-1
126,Jay Finley,Baylor,Big 12,9,79,370,4.7,1,6,47,7.8,0,85,417,4.9,1,jay-finley-1
127,Andre Dixon*,Connecticut,Big East,13,239,1093,4.6,14,11,112,10.2,1,250,1205,4.8,15,andre-dixon-1
128,Damion Fletcher*,Southern Mississippi,CUSA,12,219,1015,4.6,8,29,289,10.0,1,248,1304,5.3,9,damion-fletcher-1
129,Derrick Washington*,Missouri,Big 12,13,190,865,4.6,10,26,156,6.0,0,216,1021,4.7,10,derrick-washington-1
130,Adam Robinson*,Iowa,Big Ten,11,181,834,4.6,5,10,80,8.0,0,191,914,4.8,5,adam-robinson-1
131,Shaun Draughn*,North Carolina,ACC,10,124,567,4.6,1,21,125,6.0,0,145,692,4.8,1,shaun-draughn-1
132,Bryce Brown*,Tennessee,SEC,12,101,460,4.6,3,10,137,13.7,1,111,597,5.4,4,bryce-brown-1
133,Lamon Muldrow,San Jose State,WAC,12,131,592,4.5,3,19,133,7.0,0,150,725,4.8,3,lamon-muldrow-1
134,Moise Plancher*,South Florida,Big East,13,129,581,4.5,5,6,37,6.2,0,135,618,4.6,5,moise-plancher-1
135,Johnathan Franklin*,UCLA,Pac-10,13,126,566,4.5,5,6,57,9.5,0,132,623,4.7,5,johnathan-franklin-1
136,Brandon Thermilus,Buffalo,MAC,11,124,560,4.5,4,9,99,11.0,2,133,659,5.0,6,brandon-thermilus-1
137,Zac Stacy,Vanderbilt,SEC,10,107,478,4.5,3,7,72,10.3,0,114,550,4.8,3,zac-stacy-1
138,Riley Dodge,North Texas,Sun Belt,10,104,463,4.5,5,1,-18,-18.0,0,105,445,4.2,5,riley-dodge-1
139,Undre Sails,Louisiana,Sun Belt,6,97,432,4.5,2,9,122,13.6,1,106,554,5.2,3,undre-sails-1
140,Undrea Sails,Louisiana,Sun Belt,6,97,432,4.5,2,9,122,13.6,1,106,554,5.2,3,undrea-sails-1
141,Richard Samuel*,Georgia,SEC,11,88,395,4.5,2,6,39,6.5,0,94,434,4.6,2,richard-samuel-1
142,Mikell Simpson,Virginia,ACC,10,85,386,4.5,5,27,236,8.7,1,112,622,5.6,6,mikell-simpson-1
143,B.J. Daniels*,South Florida,Big East,13,175,772,4.4,9,,,,,175,772,4.4,9,bj-daniels-1
144,Meco Brown*,Northern Illinois,MAC,11,148,645,4.4,4,10,81,8.1,0,158,726,4.6,4,meco-brown-1
145,Andy Dalton*,TCU,MWC,13,116,512,4.4,3,,,,,116,512,4.4,3,andy-dalton-1
146,Darius Ashley,Louisville,Big East,9,106,462,4.4,4,8,23,2.9,0,114,485,4.3,4,darius-ashley-1
147,Deonte Jackson*,Idaho,WAC,13,87,387,4.4,2,10,101,10.1,1,97,488,5.0,3,deonte-jackson-1
148,Delone Carter,Syracuse,Big East,12,236,1021,4.3,11,11,117,10.6,1,247,1138,4.6,12,delone-carter-1
149,Andre Anderson,Tulane,CUSA,12,238,1016,4.3,8,30,230,7.7,1,268,1246,4.6,9,andre-anderson-2
150,Reggie Arnold,Arkansas State,Sun Belt,12,168,723,4.3,12,18,112,6.2,0,186,835,4.5,12,reggie-arnold-1
151,Broderick Green*,Arkansas,SEC,13,104,442,4.3,11,8,104,13.0,1,112,546,4.9,12,broderick-green-1
152,Kendall Hunter*,Oklahoma State,Big 12,8,89,382,4.3,1,11,83,7.5,0,100,465,4.7,1,kendall-hunter-1
153,Walter Kazee,San Diego State,MWC,11,86,371,4.3,2,9,64,7.1,0,95,435,4.6,2,walter-kazee-1
154,Brynn Harvey*,UCF,CUSA,12,261,1109,4.2,14,14,83,5.9,0,275,1192,4.3,14,brynn-harvey-1
155,Tim Tebow*,Florida,SEC,14,217,910,4.2,14,,,,,217,910,4.2,14,tim-tebow-1
156,Dimitri Nance,Arizona State,Pac-10,12,188,795,4.2,6,28,216,7.7,1,216,1011,4.7,7,dimitri-nance-1
157,Chris Garrett*,Ohio,MAC,12,147,621,4.2,2,16,65,4.1,0,163,686,4.2,2,chris-garrett-1
158,Toben Opurum,Kansas,Big 12,11,133,554,4.2,9,13,105,8.1,1,146,659,4.5,10,toben-opurum-1
159,Jake Sharp,Kansas,Big 12,10,102,429,4.2,4,34,266,7.8,3,136,695,5.1,7,jake-sharp-1
160,Tyler Smith,Rice,CUSA,8,101,428,4.2,1,9,38,4.2,0,110,466,4.2,1,tyler-smith-1
161,Kevin Whaley*,Minnesota,Big Ten,11,88,367,4.2,2,1,6,6.0,0,89,373,4.2,2,kevin-whaley-1
162,Seth Smith,New Mexico State,WAC,13,246,1016,4.1,1,11,48,4.4,0,257,1064,4.1,1,seth-smith-1
163,Jared Tew*,Air Force,MWC,13,238,970,4.1,9,10,79,7.9,0,248,1049,4.2,9,jared-tew-1
164,Rodney Stewart,Colorado,Big 12,11,198,804,4.1,9,12,65,5.4,0,210,869,4.1,9,rodney-stewart-1
165,Chris Brown*,Oklahoma,Big 12,13,182,749,4.1,7,19,131,6.9,1,201,880,4.4,8,chris-brown-4
166,Demarco Murray*,Oklahoma,Big 12,12,171,705,4.1,8,41,522,12.7,4,212,1227,5.8,12,demarco-murray-1
167,Kingsley Ehie,Army,Ind,12,114,473,4.1,2,,,,,114,473,4.1,2,kingsley-ehie-1
168,T.J. Pitts,Memphis,CUSA,10,83,343,4.1,0,2,8,4.0,0,85,351,4.1,0,tj-pitts-1
169,Willie Geter*,Bowling Green State,MAC,13,176,705,4.0,9,42,407,9.7,1,218,1112,5.1,10,willie-geter-1
170,Brandon Wegher*,Iowa,Big Ten,12,162,641,4.0,8,13,112,8.6,0,175,753,4.3,8,brandon-wegher-1
171,Brandon Stewart*,Wyoming,MWC,13,123,498,4.0,2,16,152,9.5,2,139,650,4.7,4,brandon-stewart-2
172,Jarrett Brown*,West Virginia,Big East,13,117,466,4.0,6,,,,,117,466,4.0,6,jarrett-brown-1
173,Montee Ball*,Wisconsin,Big Ten,9,98,391,4.0,4,9,92,10.2,0,107,483,4.5,4,montee-ball-1
174,Daunte Owens,Florida International,Sun Belt,10,93,376,4.0,5,9,87,9.7,0,102,463,4.5,5,daunte-owens-1
175,Dan Lefevour*,Central Michigan,MAC,14,183,713,3.9,15,1,24,24.0,0,184,737,4.0,15,dan-lefevour-1
176,Dan Herron*,Ohio State,Big Ten,10,153,600,3.9,7,11,66,6.0,1,164,666,4.1,8,dan-herron-1
177,Dujuan Harris*,Troy,Sun Belt,13,151,583,3.9,10,27,242,9.0,2,178,825,4.6,12,dujuan-harris-1
178,Larry Caper*,Michigan State,Big Ten,12,120,468,3.9,6,3,47,15.7,0,123,515,4.2,6,larry-caper-1
179,Dwight Tardy,Washington State,Pac-10,12,107,417,3.9,2,18,114,6.3,0,125,531,4.2,2,dwight-tardy-1
180,Jamad Williams,Tulsa,CUSA,12,101,389,3.9,1,11,86,7.8,1,112,475,4.2,2,jamad-williams-1
181,Ricky Dobbs*,Navy,Ind,13,315,1203,3.8,27,,,,,315,1203,3.8,27,ricky-dobbs-1
182,Austen Arnaud*,Iowa State,Big 12,12,147,561,3.8,8,,,,,147,561,3.8,8,austen-arnaud-1
183,Duane Bennett*,Minnesota,Big Ten,13,98,376,3.8,6,16,194,12.1,2,114,570,5.0,8,duane-bennett-1
184,Josh Nesbitt*,Georgia Tech,ACC,14,279,1037,3.7,18,0,0,,0,279,1037,3.7,18,josh-nesbitt-1
185,Ryan Houston*,North Carolina,ACC,13,191,713,3.7,9,11,82,7.5,0,202,795,3.9,9,ryan-houston-1
186,Trey Revell,Louisiana-Monroe,Sun Belt,10,95,354,3.7,5,,,,,95,354,3.7,5,trey-revell-1
187,Terrance Cain*,Utah,MWC,12,87,318,3.7,2,,,,,87,318,3.7,2,terrance-cain-1
188,Arby Fields*,Northwestern,Big Ten,13,82,302,3.7,5,17,79,4.6,0,99,381,3.8,5,arby-fields-1
189,Dwayne Priest,Eastern Michigan,MAC,11,175,633,3.6,7,9,84,9.3,0,184,717,3.9,7,dwayne-priest-1
190,Brandon Sullivan,San Diego State,MWC,10,154,558,3.6,4,16,117,7.3,0,170,675,4.0,4,brandon-sullivan-1
191,Yobes Walker,Louisiana,Sun Belt,10,116,412,3.6,2,4,31,7.8,0,120,443,3.7,2,yobes-walker-1
192,Bilal Powell,Louisville,Big East,11,108,392,3.6,4,12,103,8.6,0,120,495,4.1,4,bilal-powell-1
193,Trent Steelman,Army,Ind,12,202,706,3.5,5,1,1,1.0,0,203,707,3.5,5,trent-steelman-1
194,Juice Williams,Illinois,Big Ten,11,143,507,3.5,4,2,-1,-0.5,0,145,506,3.5,4,juice-williams-1
195,Jerrod Johnson*,Texas A&amp;M,Big 12,13,145,506,3.5,8,,,,,145,506,3.5,8,jerrod-johnson-1
196,Jake Locker,Washington,Pac-10,12,112,388,3.5,7,,,,,112,388,3.5,7,jake-locker-1
197,Tyrod Taylor*,Virginia Tech,ACC,13,106,370,3.5,5,,,,,106,370,3.5,5,tyrod-taylor-1
198,Davin Meggett,Maryland,ACC,12,99,338,3.4,6,14,175,12.5,1,113,513,4.5,7,davin-meggett-1
199,Zach Maynard,Buffalo,MAC,12,87,300,3.4,1,,,,,87,300,3.4,1,zach-maynard-1
200,Jamelle Eugene,North Carolina State,ACC,10,99,309,3.1,2,16,120,7.5,0,115,429,3.7,2,jamelle-eugene-1
201,Joey Elliott,Purdue,Big Ten,12,87,268,3.1,4,,,,,87,268,3.1,4,joey-elliott-1
202,Omar Clayton,UNLV,MWC,11,76,238,3.1,3,,,,,76,238,3.1,3,omar-clayton-1
203,Kawaun Jakes,Western Kentucky,Sun Belt,11,124,366,3.0,5,1,11,11.0,0,125,377,3.0,5,kawaun-jakes-1
204,Brian Maddox*,South Carolina,SEC,13,102,307,3.0,6,17,135,7.9,2,119,442,3.7,8,brian-maddox-1
205,Grant Gregory,Kansas State,Big 12,11,106,308,2.9,3,0,0,,0,106,308,2.9,3,grant-gregory-1
206,Darriet Perry,Florida International,Sun Belt,10,103,301,2.9,3,17,137,8.1,0,120,438,3.7,3,darriet-perry-1
207,Tim Jefferson*,Air Force,MWC,10,88,254,2.9,4,,,,,88,254,2.9,4,tim-jefferson-1
208,Thomas Merriweather,Miami (OH),MAC,12,105,291,2.8,3,15,63,4.2,0,120,354,3.0,3,thomas-merriweather-1
209,Colt McCoy*,Texas,Big 12,14,129,348,2.7,3,,,,,129,348,2.7,3,colt-mccoy-1
210,Zac Robinson*,Oklahoma State,Big 12,12,111,305,2.7,4,,,,,111,305,2.7,4,zac-robinson-1
211,Diondre Borel,Utah State,WAC,12,173,458,2.6,6,,,,,173,458,2.6,6,diondre-borel-1
212,G.J. Kinne,Tulsa,CUSA,12,151,393,2.6,5,,,,,151,393,2.6,5,gj-kinne-1
213,Austyn Carta-Samuels*,Wyoming,MWC,13,142,366,2.6,3,1,30,30.0,1,143,396,2.8,4,austyn-carta-samuels-1
214,Chandler Harnish*,Northern Illinois,MAC,10,89,229,2.6,2,,,,,89,229,2.6,2,chandler-harnish-1
215,Russell Wilson,North Carolina State,ACC,12,103,260,2.5,4,,,,,103,260,2.5,4,russell-wilson-1
216,Larry Smith,Vanderbilt,SEC,9,85,213,2.5,2,,,,,85,213,2.5,2,larry-smith-1
217,Daryll Clark*,Penn State,Big Ten,13,84,211,2.5,7,,,,,84,211,2.5,7,daryll-clark-1
218,Mike Kafka*,Northwestern,Big Ten,13,150,295,2.0,8,1,24,24.0,1,151,319,2.1,9,mike-kafka-1
219,Tate Forcier,Michigan,Big Ten,12,118,240,2.0,3,,,,,118,240,2.0,3,tate-forcier-1
220,Blaine Gabbert*,Missouri,Big 12,13,103,204,2.0,3,1,-10,-10.0,0,104,194,1.9,3,blaine-gabbert-1
