
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Vai Taua*,Nevada,WAC,11,172,1345,7.8,10,12,99,8.3,2,184,1444,7.8,12,vai-taua-1
2,Luke Lippincott*,Nevada,WAC,12,134,1034,7.7,9,10,109,10.9,2,144,1143,7.9,11,luke-lippincott-1
3,Jeff Demps*,Florida,SEC,14,99,745,7.5,7,8,52,6.5,0,107,797,7.4,7,jeff-demps-1
4,Colin Kaepernick*,Nevada,WAC,13,161,1183,7.3,16,1,6,6.0,1,162,1189,7.3,17,colin-kaepernick-1
5,Lance Dunbar,North Texas,Sun Belt,12,200,1378,6.9,17,28,300,10.7,2,228,1678,7.4,19,lance-dunbar-1
6,Mikel Leshoure,Illinois,Big Ten,11,108,734,6.8,5,14,177,12.6,2,122,911,7.5,7,mikel-leshoure-1
7,LaMichael James*,Oregon,Pac-10,13,230,1546,6.7,14,17,168,9.9,0,247,1714,6.9,14,lamichael-james-1
8,Isaiah Pead*,Cincinnati,Big East,13,121,806,6.7,9,20,201,10.1,2,141,1007,7.1,11,isaiah-pead-1
9,Ryan Mathews*,Fresno State,WAC,12,276,1808,6.6,19,11,122,11.1,0,287,1930,6.7,19,ryan-mathews-1
10,Damien Berry*,Miami (FL),ACC,13,93,616,6.6,8,5,68,13.6,0,98,684,7.0,8,damien-berry-1
11,Chris Relf,Mississippi State,SEC,10,76,500,6.6,2,,,,,76,500,6.6,2,chris-relf-1
12,Dexter McCluster*,Ole Miss,SEC,13,181,1169,6.5,8,44,520,11.8,3,225,1689,7.5,11,dexter-mccluster-1
13,Bobby Rainey,Western Kentucky,Sun Belt,12,144,939,6.5,6,13,83,6.4,1,157,1022,6.5,7,bobby-rainey-1
14,Chris Rainey*,Florida,SEC,14,89,575,6.5,5,10,161,16.1,1,99,736,7.4,6,chris-rainey-1
15,Matthew Tucker*,TCU,MWC,13,105,676,6.4,8,3,19,6.3,0,108,695,6.4,8,matthew-tucker-1
16,Joe Webb,UAB,CUSA,12,227,1427,6.3,11,2,12,6.0,1,229,1439,6.3,12,joe-webb-2
17,Robert Turbin,Utah State,WAC,12,207,1296,6.3,13,30,418,13.9,5,237,1714,7.2,18,robert-turbin-1
18,Curtis Steele,Memphis,CUSA,10,198,1239,6.3,15,18,123,6.8,1,216,1362,6.3,16,curtis-steele-1
19,Ed Wesley*,TCU,MWC,13,101,638,6.3,4,8,170,21.3,3,109,808,7.4,7,ed-wesley-1
20,Edward Wesley*,TCU,MWC,13,101,638,6.3,4,8,170,21.3,3,109,808,7.4,7,edward-wesley-1
21,Donald Buckram,UTEP,CUSA,12,259,1594,6.2,18,30,453,15.1,3,289,2047,7.1,21,donald-buckram-1
22,Joe McKnight*,USC,Pac-10,12,164,1014,6.2,8,22,146,6.6,0,186,1160,6.2,8,joe-mcknight-1
23,D.D. Kyles*,Middle Tennessee State,Sun Belt,12,139,857,6.2,3,14,182,13.0,1,153,1039,6.8,4,dd-kyles-1
24,Tory Harrison*,Southern Mississippi,CUSA,13,105,647,6.2,10,13,69,5.3,0,118,716,6.1,10,tory-harrison-1
25,Ike Nduka,Buffalo,MAC,8,96,598,6.2,6,9,86,9.6,0,105,684,6.5,6,ike-nduka-1
26,Cory Sykes,Ball State,MAC,12,90,559,6.2,3,,,,,90,559,6.2,3,cory-sykes-1
27,Mark Ingram*,Alabama,SEC,14,271,1658,6.1,17,32,334,10.4,3,303,1992,6.6,20,mark-ingram-1
28,Noel Devine*,West Virginia,Big East,13,241,1465,6.1,13,22,177,8.0,1,263,1642,6.2,14,noel-devine-1
29,Jahvid Best*,California,Pac-10,9,141,867,6.1,12,22,213,9.7,4,163,1080,6.6,16,jahvid-best-1
30,Patrick Mealy,Army,Ind,12,110,673,6.1,3,2,41,20.5,0,112,714,6.4,3,patrick-mealy-1
31,Jason Ford,Illinois,Big Ten,12,97,588,6.1,4,11,128,11.6,0,108,716,6.6,4,jason-ford-1
32,Randall Cobb*,Kentucky,SEC,12,94,573,6.1,10,39,447,11.5,4,133,1020,7.7,14,randall-cobb-1
33,Jonathan Dwyer*,Georgia Tech,ACC,14,235,1395,5.9,14,5,37,7.4,0,240,1432,6.0,14,jonathan-dwyer-1
34,Doug Martin*,Boise State,WAC,14,129,765,5.9,15,8,68,8.5,0,137,833,6.1,15,doug-martin-1
35,Princeton McCarty*,Idaho,WAC,13,115,680,5.9,3,11,202,18.4,2,126,882,7.0,5,princeton-mccarty-1
36,Matt Brown*,Temple,MAC,11,89,529,5.9,5,5,18,3.6,0,94,547,5.8,5,matt-brown-1
37,Carlos Brown,Michigan,Big Ten,11,81,480,5.9,4,10,122,12.2,1,91,602,6.6,5,carlos-brown-1
38,Bernard Pierce*,Temple,MAC,12,236,1361,5.8,16,8,39,4.9,0,244,1400,5.7,16,bernard-pierce-1
39,Chad Spann*,Northern Illinois,MAC,13,179,1038,5.8,19,10,122,12.2,1,189,1160,6.1,20,chad-spann-1
40,Allen Bradford*,USC,Pac-10,13,115,668,5.8,8,1,2,2.0,0,116,670,5.8,8,allen-bradford-1
41,Robbie Rouse*,Fresno State,WAC,13,82,479,5.8,4,,,,,82,479,5.8,4,robbie-rouse-1
42,Evan Royster*,Penn State,Big Ten,13,205,1169,5.7,6,16,187,11.7,2,221,1356,6.1,8,evan-royster-1
43,Demaundray Woolridge*,Idaho,WAC,13,171,980,5.7,18,3,20,6.7,0,174,1000,5.7,18,demaundray-woolridge-1
44,Asher Clark*,Air Force,MWC,13,151,865,5.7,7,5,41,8.2,0,156,906,5.8,7,asher-clark-1
45,Washaun Ealey*,Georgia,SEC,9,125,717,5.7,3,3,23,7.7,0,128,740,5.8,3,washaun-ealey-1
46,Ryan Williams*,Virginia Tech,ACC,13,293,1655,5.6,21,16,180,11.3,1,309,1835,5.9,22,ryan-williams-2
47,C.J. Spiller*,Clemson,ACC,14,216,1212,5.6,12,36,503,14.0,4,252,1715,6.8,16,cj-spiller-1
48,Dajuane Collins,Toledo,MAC,12,178,991,5.6,14,17,116,6.8,0,195,1107,5.7,14,dajuane-collins-1
49,Keola Antolin*,Arizona,Pac-10,13,114,637,5.6,4,17,83,4.9,0,131,720,5.5,4,keola-antolin-1
50,Bryan Schroeder*,Central Michigan,MAC,11,100,559,5.6,5,34,284,8.4,3,134,843,6.3,8,bryan-schroeder-1
51,Toby Gerhart*,Stanford,Pac-10,13,343,1871,5.5,28,11,157,14.3,0,354,2028,5.7,28,toby-gerhart-1
52,Dion Lewis*,Pitt,Big East,13,325,1799,5.5,17,25,189,7.6,1,350,1988,5.7,18,dion-lewis-1
53,Jeremy Avery*,Boise State,WAC,14,209,1151,5.5,6,23,257,11.2,1,232,1408,6.1,7,jeremy-avery-1
54,Jeremiah Masoli*,Oregon,Pac-10,12,121,668,5.5,13,,,,,121,668,5.5,13,jeremiah-masoli-1
55,Shawn Southward*,Troy,Sun Belt,13,110,602,5.5,12,13,123,9.5,0,123,725,5.9,12,shawn-southward-1
56,Demond Dennis,New Mexico,MWC,10,78,427,5.5,3,18,133,7.4,0,96,560,5.8,3,demond-dennis-1
57,Anthony Dixon,Mississippi State,SEC,11,257,1391,5.4,12,18,123,6.8,0,275,1514,5.5,12,anthony-dixon-1
58,Keith Toston*,Oklahoma State,Big 12,13,227,1218,5.4,11,25,261,10.4,1,252,1479,5.9,12,keith-toston-1
59,Brandon West,Western Michigan,MAC,12,214,1164,5.4,10,27,217,8.0,1,241,1381,5.7,11,brandon-west-1
60,Daniel Porter,Louisiana Tech,WAC,12,211,1132,5.4,11,21,142,6.8,0,232,1274,5.5,11,daniel-porter-1
61,Warren Norman,Vanderbilt,SEC,12,145,783,5.4,3,19,108,5.7,1,164,891,5.4,4,warren-norman-1
62,Kenny Miles*,South Carolina,SEC,13,117,626,5.4,1,21,137,6.5,0,138,763,5.5,1,kenny-miles-1
63,Onterio McCalebb*,Auburn,SEC,11,105,565,5.4,4,6,58,9.7,0,111,623,5.6,4,onterio-mccalebb-1
64,John Clay*,Wisconsin,Big Ten,13,287,1517,5.3,18,9,61,6.8,0,296,1578,5.3,18,john-clay-1
65,Jacquizz Rodgers*,Oregon State,Pac-10,13,273,1440,5.3,21,78,522,6.7,1,351,1962,5.6,22,jacquizz-rodgers-1
66,Alfred Morris,Florida Atlantic,Sun Belt,12,263,1392,5.3,11,7,114,16.3,2,270,1506,5.6,13,alfred-morris-1
67,Eddie Wide*,Utah,MWC,13,203,1069,5.3,12,17,154,9.1,1,220,1223,5.6,13,eddie-wide-1
68,Vince Murray*,Navy,Ind,13,182,971,5.3,6,3,31,10.3,0,185,1002,5.4,6,vince-murray-1
69,Baron Batch*,Texas Tech,Big 12,13,168,884,5.3,14,57,395,6.9,1,225,1279,5.7,15,baron-batch-1
70,Charles Sims*,Houston,CUSA,14,132,698,5.3,9,70,759,10.8,1,202,1457,7.2,10,charles-sims-1
71,Vic Anderson,Louisville,Big East,8,89,473,5.3,5,12,89,7.4,0,101,562,5.6,5,vic-anderson-1
72,Alex Green,Hawaii,WAC,13,86,453,5.3,2,11,98,8.9,1,97,551,5.7,3,alex-green-2
73,Ben Tate*,Auburn,SEC,13,263,1362,5.2,10,20,105,5.3,0,283,1467,5.2,10,ben-tate-1
74,Alexander Robinson*,Iowa State,Big 12,12,232,1195,5.2,6,17,261,15.4,3,249,1456,5.8,9,alexander-robinson-1
75,Dwight Dasher*,Middle Tennessee State,Sun Belt,13,224,1154,5.2,13,,,,,224,1154,5.2,13,dwight-dasher-1
76,Roy Helu Jr.*,Nebraska,Big 12,14,220,1147,5.2,10,19,149,7.8,0,239,1296,5.4,10,roy-helu-jr-1
77,Harvey Unga*,Brigham Young,MWC,12,208,1087,5.2,11,16,121,7.6,1,224,1208,5.4,12,harvey-unga-1
78,Shane Vereen*,California,Pac-10,13,183,952,5.2,12,25,244,9.8,2,208,1196,5.8,14,shane-vereen-1
79,Trent Richardson*,Alabama,SEC,14,145,751,5.2,8,16,126,7.9,0,161,877,5.4,8,trent-richardson-1
80,Graig Cooper*,Miami (FL),ACC,12,134,695,5.2,4,18,132,7.3,1,152,827,5.4,5,graig-cooper-1
81,John Mosure,Colorado State,MWC,11,124,650,5.2,7,13,155,11.9,1,137,805,5.9,8,john-mosure-1
82,Caleb King*,Georgia,SEC,10,114,594,5.2,7,10,108,10.8,1,124,702,5.7,8,caleb-king-1
83,Brandon Minor,Michigan,Big Ten,9,96,502,5.2,8,1,1,1.0,0,97,503,5.2,8,brandon-minor-1
84,Daniel Thomas,Kansas State,Big 12,12,247,1265,5.1,11,25,257,10.3,0,272,1522,5.6,11,daniel-thomas-1
85,Jordan Todman*,Connecticut,Big East,13,235,1188,5.1,14,21,185,8.8,0,256,1373,5.4,14,jordan-todman-1
86,Frank Goodin,Louisiana-Monroe,Sun Belt,12,219,1126,5.1,13,18,138,7.7,0,237,1264,5.3,13,frank-goodin-1
87,Christine Michael*,Texas A&amp;M,Big 12,12,166,844,5.1,10,15,66,4.4,0,181,910,5.0,10,christine-michael-1
88,Jermaine Thomas*,Florida State,ACC,13,163,832,5.1,9,17,129,7.6,1,180,961,5.3,10,jermaine-thomas-1
89,Joseph Turner*,TCU,MWC,13,147,754,5.1,11,3,31,10.3,0,150,785,5.2,11,joseph-turner-1
90,Brandon Saine*,Ohio State,Big Ten,13,145,739,5.1,4,17,224,13.2,2,162,963,5.9,6,brandon-saine-1
91,Charles Ross,Rice,CUSA,12,97,491,5.1,11,16,130,8.1,0,113,621,5.5,11,charles-ross-1
92,Alex Gillett,Eastern Michigan,MAC,9,95,484,5.1,2,,,,,95,484,5.1,2,alex-gillett-1
93,Shawnbrey McNeal*,SMU,CUSA,13,236,1188,5.0,12,31,283,9.1,2,267,1471,5.5,14,shawnbrey-mcneal-1
94,Darius Marshall*,Marshall,CUSA,10,227,1131,5.0,11,12,27,2.3,0,239,1158,4.8,11,darius-marshall-1
95,Edwin Baker*,Michigan State,Big Ten,8,85,427,5.0,1,7,43,6.1,0,92,470,5.1,1,edwin-baker-1
96,Da'Rel Scott,Maryland,ACC,7,85,425,5.0,4,12,111,9.3,0,97,536,5.5,4,darel-scott-1
97,Savier Stephens*,Air Force,MWC,12,84,417,5.0,3,,,,,84,417,5.0,3,savier-stephens-1
98,Dominique Lindsay*,East Carolina,CUSA,12,239,1180,4.9,6,19,151,7.9,1,258,1331,5.2,7,dominique-lindsay-1
