
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Santonio Beard,Alabama,SEC,8,77,633,8.2,4,1,8,8.0,0,78,641,8.2,4,santonio-beard-1
2,Luke Staley,Brigham Young,MWC,11,196,1596,8.1,24,32,334,10.4,4,228,1930,8.5,28,luke-staley-1
3,Matt Jones,Arkansas,SEC,8,74,592,8.0,5,2,21,10.5,0,76,613,8.1,5,matt-jones-1
4,Leonard Henry,East Carolina,CUSA,11,184,1432,7.8,16,26,210,8.1,2,210,1642,7.8,18,leonard-henry-1
5,Reshard Lee,Middle Tennessee State,Sun Belt,11,108,790,7.3,4,9,87,9.7,0,117,877,7.5,4,reshard-lee-1
6,Thunder Collins,Nebraska,Big 12,12,94,647,6.9,5,19,189,9.9,0,113,836,7.4,5,thunder-collins-1
7,Levron Williams,Indiana,Big Ten,11,212,1401,6.6,17,26,289,11.1,2,238,1690,7.1,19,levron-williams-1
8,Shanderrick Charles,SMU,WAC,10,134,860,6.4,7,10,38,3.8,0,144,898,6.2,7,shanderrick-charles-1
9,Lew Thomas,Vanderbilt,SEC,7,105,675,6.4,5,10,80,8.0,0,115,755,6.6,5,lew-thomas-1
10,Cortlen Johnson,Colorado,Big 12,12,89,567,6.4,4,24,382,15.9,1,113,949,8.4,5,cortlen-johnson-1
11,Marion Barber III,Minnesota,Big Ten,11,118,742,6.3,7,2,19,9.5,0,120,761,6.3,7,marion-barber-iii-1
12,Joshua Cribbs,Kent State,MAC,11,164,1019,6.2,5,1,32,32.0,1,165,1051,6.4,6,joshua-cribbs-1
13,Josh Holden,Army,CUSA,9,83,515,6.2,4,15,120,8.0,0,98,635,6.5,4,josh-holden-1
14,Tom Pace,Arizona State,Pac-10,11,72,438,6.1,5,11,72,6.5,0,83,510,6.1,5,tom-pace-1
15,Dwone Hicks,Middle Tennessee State,Sun Belt,11,191,1143,6.0,20,18,230,12.8,4,209,1373,6.6,24,dwone-hicks-1
16,Onterrio Smith*,Oregon,Pac-10,12,175,1058,6.0,7,11,71,6.5,2,186,1129,6.1,9,onterrio-smith-1
17,William Green,Boston College,Big East,10,265,1559,5.9,15,23,260,11.3,2,288,1819,6.3,17,william-green-1
18,Clarence Farmer,Arizona,Pac-10,11,209,1229,5.9,10,4,42,10.5,1,213,1271,6.0,11,clarence-farmer-1
19,Tellis Redmon,Minnesota,Big Ten,11,185,1091,5.9,6,15,83,5.5,0,200,1174,5.9,6,tellis-redmon-1
20,Chante Murphy,Kent State,MAC,9,81,480,5.9,1,4,15,3.8,0,85,495,5.8,1,chante-murphy-1
21,Maurice Morris*,Oregon,Pac-10,11,180,1049,5.8,9,12,99,8.3,1,192,1148,6.0,10,maurice-morris-1
22,Bobby Purify,Colorado,Big 12,12,157,916,5.8,5,11,92,8.4,0,168,1008,6.0,5,bobby-purify-1
23,Chance Kretschmer,Nevada,WAC,11,302,1732,5.7,15,10,55,5.5,0,312,1787,5.7,15,chance-kretschmer-1
24,Bruce Perry,Maryland,ACC,11,219,1242,5.7,10,40,359,9.0,2,259,1601,6.2,12,bruce-perry-1
25,Jeremi Johnson,Indiana,Big Ten,11,95,546,5.7,7,16,213,13.3,1,111,759,6.8,8,jeremi-johnson-1
26,Chris Porter,UTEP,WAC,9,79,454,5.7,4,3,15,5.0,0,82,469,5.7,4,chris-porter-1
27,Dahrran Diedrick,Nebraska,Big 12,11,233,1299,5.6,15,1,-5,-5.0,0,234,1294,5.5,15,dahrran-diedrick-1
28,Clinton Portis,Miami (FL),Big East,11,220,1200,5.5,10,12,125,10.4,1,232,1325,5.7,11,clinton-portis-1
29,Eric Crouch,Nebraska,Big 12,12,203,1115,5.5,18,1,63,63.0,1,204,1178,5.8,19,eric-crouch-1
30,Delvon Flowers,Arizona State,Pac-10,11,188,1041,5.5,11,4,10,2.5,0,192,1051,5.5,11,delvon-flowers-1
31,Kevin Jones,Virginia Tech,Big East,11,175,957,5.5,5,6,47,7.8,0,181,1004,5.5,5,kevin-jones-3
32,Verron Haynes,Georgia,SEC,10,126,691,5.5,7,19,242,12.7,2,145,933,6.4,9,verron-haynes-1
33,Jamel Patterson,Ohio,MAC,11,117,638,5.5,5,2,15,7.5,0,119,653,5.5,5,jamel-patterson-1
34,Bradlee Van Pelt,Colorado State,MWC,11,100,546,5.5,4,1,56,56.0,1,101,602,6.0,5,bradlee-van-pelt-1
35,Mewelde Moore,Tulane,CUSA,12,262,1421,5.4,8,65,756,11.6,7,327,2177,6.7,15,mewelde-moore-1
36,T.J. Duckett*,Michigan State,Big Ten,12,263,1420,5.4,12,12,80,6.7,1,275,1500,5.5,13,tj-duckett-1
37,Dameon Hunter,Utah,MWC,11,257,1396,5.4,9,6,70,11.7,0,263,1466,5.6,9,dameon-hunter-1
38,Emmett White,Utah State,Ind,11,250,1361,5.4,13,48,408,8.5,3,298,1769,5.9,16,emmett-white-1
39,Jonathan Wells,Ohio State,Big Ten,11,232,1257,5.4,15,11,117,10.6,0,243,1374,5.7,15,jonathan-wells-1
40,Andrew Pinnock*,South Carolina,SEC,12,115,622,5.4,12,5,40,8.0,0,120,662,5.5,12,andrew-pinnock-1
41,Domanick Davis,LSU,SEC,12,75,406,5.4,5,3,49,16.3,1,78,455,5.8,6,domanick-davis-1
42,Chester Taylor,Toledo,MAC,11,268,1430,5.3,20,26,242,9.3,3,294,1672,5.7,23,chester-taylor-1
43,Josh Scobey,Kansas State,Big 12,11,240,1263,5.3,15,9,52,5.8,0,249,1315,5.3,15,josh-scobey-1
44,Keith Boyea,Air Force,MWC,12,230,1216,5.3,18,1,24,24.0,0,231,1240,5.4,18,keith-boyea-1
45,Greg Jones,Florida State,ACC,11,134,713,5.3,6,3,11,3.7,0,137,724,5.3,6,greg-jones-1
46,David Alston,Kent State,MAC,10,119,633,5.3,6,11,133,12.1,1,130,766,5.9,7,david-alston-1
47,Keeon Johnson,New Mexico State,Sun Belt,11,107,569,5.3,8,3,19,6.3,0,110,588,5.3,8,keeon-johnson-1
48,Steven Jackson,Oregon State,Pac-10,11,74,390,5.3,5,5,45,9.0,1,79,435,5.5,6,steven-jackson-3
49,Brian Allen,Stanford,Pac-10,11,174,899,5.2,9,4,63,15.8,0,178,962,5.4,9,brian-allen-2
50,Franklin Wallace,Marshall,MAC,10,152,796,5.2,9,16,108,6.8,1,168,904,5.4,10,franklin-wallace-1
51,Earnest Graham,Florida,SEC,9,125,650,5.2,9,12,129,10.8,0,137,779,5.7,9,earnest-graham-1
52,David Mikell,Boise State,WAC,11,107,560,5.2,5,7,164,23.4,3,114,724,6.4,8,david-mikell-1
53,Mike Bass,Hawaii,WAC,12,108,558,5.2,3,29,220,7.6,1,137,778,5.7,4,mike-bass-1
54,Blair Lewis,Idaho,Sun Belt,11,98,509,5.2,2,19,142,7.5,0,117,651,5.6,2,blair-lewis-1
55,Tyler Gooch,Tulsa,WAC,9,70,361,5.2,2,,,,,70,361,5.2,2,tyler-gooch-1
56,Deshaun Foster,UCLA,Pac-10,8,216,1109,5.1,12,9,129,14.3,1,225,1238,5.5,13,deshaun-foster-1
57,Joe Haro,UNLV,MWC,11,218,1107,5.1,10,,,,,218,1107,5.1,10,joe-haro-1
58,Antwaan Randle El,Indiana,Big Ten,11,188,964,5.1,8,4,30,7.5,0,192,994,5.2,8,antwaan-randle-el-1
59,Ahmaad Galloway,Alabama,SEC,11,174,881,5.1,6,3,20,6.7,0,177,901,5.1,6,ahmaad-galloway-1
60,Joe Smith,Louisiana Tech,WAC,10,172,874,5.1,7,7,87,12.4,1,179,961,5.4,8,joe-smith-2
61,Henri Childs,Colorado State,MWC,11,166,841,5.1,4,13,117,9.0,1,179,958,5.4,5,henri-childs-1
62,Adam Tate,Utah,MWC,11,160,819,5.1,12,11,158,14.4,1,171,977,5.7,13,adam-tate-1
63,Bobby Hendry,Akron,MAC,9,160,819,5.1,10,3,21,7.0,0,163,840,5.2,10,bobby-hendry-1
64,Tanardo Sharps,Temple,Big East,10,150,771,5.1,1,7,65,9.3,0,157,836,5.3,1,tanardo-sharps-1
65,Ricky Williams,Texas Tech,Big 12,11,142,726,5.1,14,92,617,6.7,4,234,1343,5.7,18,ricky-williams-2
66,Dicenzo Miller,Mississippi State,SEC,9,132,676,5.1,4,19,337,17.7,3,151,1013,6.7,7,dicenzo-miller-1
67,Carnell Williams,Auburn,SEC,9,120,614,5.1,6,13,140,10.8,0,133,754,5.7,6,carnell-williams-1
68,Tyler Watts,Alabama,SEC,9,111,564,5.1,5,,,,,111,564,5.1,5,tyler-watts-1
69,Ivan Williams,Texas,Big 12,10,101,519,5.1,5,1,7,7.0,0,102,526,5.2,5,ivan-williams-1
