
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Terry Moss,Ball State,MAC,12,27,685,25.4,8,,,,,27,685,25.4,8,terry-moss-1
2,Tony Burks,Mississippi State,SEC,12,35,850,24.3,5,,,,,35,850,24.3,5,tony-burks-1
3,David Harvey,Akron,MAC,12,43,914,21.3,10,2,7,3.5,0,45,921,20.5,10,david-harvey-1
4,Najah Pruden,Kent State,MAC,12,39,808,20.7,6,,,,,39,808,20.7,6,najah-pruden-1
5,Derrick Stewart*,Cincinnati,Big East,13,33,675,20.5,5,3,-4,-1.3,0,36,671,18.6,5,derrick-stewart-1
6,Dustin Woods,Miami (OH),MAC,12,25,506,20.2,4,2,-3,-1.5,0,27,503,18.6,4,dustin-woods-1
7,Eron Riley,Duke,ACC,12,32,643,20.1,3,,,,,32,643,20.1,3,eron-riley-1
8,Josh Wheeler,Louisiana Tech,WAC,12,25,503,20.1,4,,,,,25,503,20.1,4,josh-wheeler-1
9,Adarius Bowman*,Oklahoma State,Big 12,13,60,1181,19.7,12,1,1,1.0,0,61,1182,19.4,12,adarius-bowman-1
10,McKay Jacobson*,Brigham Young,MWC,13,28,547,19.5,3,,,,,28,547,19.5,3,mckay-jacobson-1
11,Marcus Monk*,Arkansas,SEC,14,50,962,19.2,11,,,,,50,962,19.2,11,marcus-monk-1
12,Mike Williams,Syracuse,Big East,10,24,461,19.2,4,,,,,24,461,19.2,4,mike-williams-4
13,Andy Brodell*,Iowa,Big Ten,12,39,724,18.6,5,,,,,39,724,18.6,5,andy-brodell-1
14,Lagregory Sapp,Louisiana-Monroe,Sun Belt,12,43,796,18.5,3,1,0,0.0,0,44,796,18.1,3,lagregory-sapp-1
15,Mario Manningham*,Michigan,Big Ten,10,38,703,18.5,9,6,19,3.2,0,44,722,16.4,9,mario-manningham-1
16,Maurice Purify*,Nebraska,Big 12,14,34,630,18.5,7,1,1,1.0,0,35,631,18.0,7,maurice-purify-1
17,Willie Edwards,UAB,CUSA,12,39,719,18.4,2,,,,,39,719,18.4,2,willie-edwards-1
18,Joe West,UTEP,CUSA,12,27,496,18.4,3,,,,,27,496,18.4,3,joe-west-1
19,Robert Meachem*,Tennessee,SEC,13,71,1298,18.3,11,4,3,0.8,0,75,1301,17.3,11,robert-meachem-1
20,Greg Carr*,Florida State,ACC,13,34,619,18.2,12,,,,,34,619,18.2,12,greg-carr-1
21,Harry Douglas*,Louisville,Big East,13,70,1265,18.1,6,7,49,7.0,0,77,1314,17.1,6,harry-douglas-1
22,Drisan James*,Boise State,WAC,13,36,650,18.1,4,7,54,7.7,0,43,704,16.4,4,drisan-james-1
23,Desean Jackson*,California,Pac-10,13,59,1060,18.0,9,5,19,3.8,0,64,1079,16.9,9,desean-jackson-1
24,Mykeal Terry*,Troy,Sun Belt,13,27,477,17.7,5,2,18,9.0,0,29,495,17.1,5,mykeal-terry-1
25,Darius Hill,Ball State,MAC,12,42,741,17.6,10,,,,,42,741,17.6,10,darius-hill-1
26,Selwyn Lymon*,Purdue,Big Ten,13,33,580,17.6,3,,,,,33,580,17.6,3,selwyn-lymon-1
27,Sammie Stroughter*,Oregon State,Pac-10,14,74,1293,17.5,5,3,8,2.7,0,77,1301,16.9,5,sammie-stroughter-1
28,Marlon Haynes,Idaho,WAC,11,27,473,17.5,1,,,,,27,473,17.5,1,marlon-haynes-1
29,Limas Sweed*,Texas,Big 12,13,46,801,17.4,12,0,5,,0,46,806,17.5,12,limas-sweed-1
30,Rodgeriqus Smith*,Auburn,SEC,13,26,452,17.4,4,,,,,26,452,17.4,4,rodgeriqus-smith-1
31,Kenny McKinley*,South Carolina,SEC,13,51,880,17.3,5,1,0,0.0,0,52,880,16.9,5,kenny-mckinley-1
